ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-47202,A,Coriariaceae,,Coriaria,,"angustissima",,"","Hook.f.",Accepted,,H,WCSP,47202,271350-1,"Handb. N. Zeal. Fl.","47","","1864"
kew-47203,A,Coriariaceae,,Coriaria,,"arborea",,"","Linds.",Accepted,,H,WCSP,47203,271351-1,"Contr. New Zealand Bot.","84","","1868"
kew-457003,A,Coriariaceae,,Coriaria,,"duthiei",,"","D.K.Singh & Pusalkar",Accepted,,H,WCSP,457003,77099889-1,"Nordic J. Bot.","27: 203","","2009"
kew-47210,A,Coriariaceae,,Coriaria,,"japonica",,"","A.Gray",Accepted,,H,WCSP,47210,271356-1,"Mem. Amer. Acad. Arts","n.s., 6: 383","","1859"
kew-47211,A,Coriariaceae,,Coriaria,,"japonica",subsp.,"intermedia","(Matsum.) T.C.Huang",Accepted,,L,WCSP,47211,972261-1,"Taiwania","37: 134","","1992"
kew-47213,A,Coriariaceae,,Coriaria,,"kingiana",,"","Colenso",Accepted,,H,WCSP,47213,,"J. Bot.","3: 20","","1844"
kew-47214,A,Coriariaceae,,Coriaria,,"kweichovensis",,"","Hu",Accepted,,H,WCSP,47214,271357-1,"Bull. Fan Mem. Inst. Biol.","7: 213","","1936"
kew-47216,A,Coriariaceae,,Coriaria,,"lurida",,"","Kirk",Accepted,,H,WCSP,47216,271359-1,"Stud. Fl. New Zealand","98","","1899"
kew-47220,A,Coriariaceae,,Coriaria,,"myrtifolia",,"","L.",Accepted,,H,WCSP,47220,271361-1,"Sp. Pl.","1037","","1753"
kew-47221,A,Coriariaceae,,Coriaria,,"nepalensis",,"","Wall.",Accepted,,H,WCSP,47221,271362-1,"Pl. Asiat. Rar.","3: 67","","1832"
kew-47224,A,Coriariaceae,,Coriaria,,"plumosa",,"","W.R.B.Oliv.",Accepted,,H,WCSP,47224,271365-1,"Rec. Domin. Mus.","1: 27","","1942"
kew-47225,A,Coriariaceae,,Coriaria,,"pottsiana",,"","W.R.B.Oliv.",Accepted,,H,WCSP,47225,271366-1,"Rec. Domin. Mus.","1: 24","","1942"
kew-47226,A,Coriariaceae,,Coriaria,,"pteridoides",,"","W.R.B.Oliv.",Accepted,,H,WCSP,47226,271368-1,"Rec. Domin. Mus.","1: 30","","1942"
kew-47227,A,Coriariaceae,,Coriaria,,"ruscifolia",,"","L.",Accepted,,H,WCSP,47227,271369-1,"Sp. Pl.","1037","","1753"
kew-47228,A,Coriariaceae,,Coriaria,,"ruscifolia",subsp.,"microphylla","(Poir.) J.E.Skog",Accepted,,L,WCSP,47228,66026-2,"Rhodora","74: 249","","1972"
kew-47229,A,Coriariaceae,,Coriaria,,"ruscifolia",subsp.,"ruscifolia","",Accepted,,L,WCSP,47229,,"Unknown","","",""
kew-47230,A,Coriariaceae,,Coriaria,×,"sarlurida",,"","Cockayne & Allan",Accepted,,H,WCSP,47230,271370-1,"Trans. & Proc. New Zealand Inst.","57: 51","","1927"
kew-47231,A,Coriariaceae,,Coriaria,×,"sarmangusta",,"","Allan",Accepted,,H,WCSP,47231,271371-1,"Genetica","9: 154","","1927"
kew-47235,A,Coriariaceae,,Coriaria,,"terminalis",,"","Hemsl.",Accepted,,H,WCSP,47235,271375-1,"Hooker's Icon. Pl.","24: t. 2220","","1892"
