ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-300036,A,Corsiaceae,,Arachnitis,,"uniflora",,"","Phil.",Accepted,,H,WCSP,300036,126551-1,"Bot. Zeitung (Berlin)","22: 217","","1864"
kew-303254,A,Corsiaceae,,Corsia,,"acuminata",,"","L.O.Williams",Accepted,,H,WCSP,303254,126668-1,"Bot. Mus. Leafl.","12: 180","","1946"
kew-303255,A,Corsiaceae,,Corsia,,"arfakensis",,"","Gibbs",Accepted,,H,WCSP,303255,126669-1,"Fl. Arfak Mts.","104","","1917"
kew-303256,A,Corsiaceae,,Corsia,,"boridiensis",,"","P.Royen",Accepted,,H,WCSP,303256,272084-1,"Webbia","27: 250","","1972"
kew-303257,A,Corsiaceae,,Corsia,,"brassii",,"","P.Royen",Accepted,,H,WCSP,303257,272085-1,"Webbia","27: 244","","1972"
kew-303258,A,Corsiaceae,,Corsia,,"clypeata",,"","P.Royen",Accepted,,H,WCSP,303258,272086-1,"Webbia","27: 249","","1972"
kew-303259,A,Corsiaceae,,Corsia,,"cordata",,"","Schltr.",Accepted,,H,WCSP,303259,126670-1,"Bot. Jahrb. Syst.","49: 110","","1912"
kew-303260,A,Corsiaceae,,Corsia,,"cornuta",,"","P.Royen",Accepted,,H,WCSP,303260,272087-1,"Webbia","27: 233","","1972"
kew-303261,A,Corsiaceae,,Corsia,,"crenata",,"","J.J.Sm.",Accepted,,H,WCSP,303261,126671-1,"Nova Guinea","12: 171","","1914"
kew-303262,A,Corsiaceae,,Corsia,,"cyclopensis",,"","P.Royen",Accepted,,H,WCSP,303262,272088-1,"Webbia","27: 238","","1972"
kew-457004,A,Corsiaceae,,Corsia,,"dispar",,"","D.L.Jones & B.Gray",Accepted,,H,WCSP,457004,77094954-1,"Austrobaileya","7: 719","","2008"
kew-303263,A,Corsiaceae,,Corsia,,"haianjensis",,"","P.Royen",Accepted,,H,WCSP,303263,272089-1,"Webbia","27: 242","","1972"
kew-303264,A,Corsiaceae,,Corsia,,"huonensis",,"","P.Royen",Accepted,,H,WCSP,303264,272090-1,"Webbia","27: 251","","1972"
kew-303265,A,Corsiaceae,,Corsia,,"lamellata",,"","Schltr.",Accepted,,H,WCSP,303265,126672-1,"Bot. Jahrb. Syst.","49: 112","","1912"
kew-303266,A,Corsiaceae,,Corsia,,"merimantaensis",,"","P.Royen",Accepted,,H,WCSP,303266,272091-1,"Webbia","27: 252","","1972"
kew-303267,A,Corsiaceae,,Corsia,,"ornata",,"","Becc.",Accepted,,H,WCSP,303267,126673-1,"Malesia","1: 238","","1878"
kew-303268,A,Corsiaceae,,Corsia,,"papuana",,"","P.Royen",Accepted,,H,WCSP,303268,272092-1,"Webbia","27: 239","","1972"
kew-303269,A,Corsiaceae,,Corsia,,"purpurata",,"","L.O.Williams",Accepted,,H,WCSP,303269,126674-1,"Bot. Mus. Leafl.","12: 179","","1946"
kew-303271,A,Corsiaceae,,Corsia,,"pyramidata",,"","P.Royen",Accepted,,H,WCSP,303271,272093-1,"Webbia","27: 243","","1972"
kew-303272,A,Corsiaceae,,Corsia,,"resiensis",,"","P.Royen",Accepted,,H,WCSP,303272,272094-1,"Webbia","27: 246","","1972"
kew-303273,A,Corsiaceae,,Corsia,,"torricellensis",,"","Schltr.",Accepted,,H,WCSP,303273,126675-1,"Fl. Schutzgeb. Südsee","Nachtr.: 74","","1905"
kew-303274,A,Corsiaceae,,Corsia,,"triceratops",,"","P.Royen",Accepted,,H,WCSP,303274,272095-1,"Webbia","27: 235","","1972"
kew-303275,A,Corsiaceae,,Corsia,,"unguiculata",,"","Schltr.",Accepted,,H,WCSP,303275,126676-1,"Fl. Schutzgeb. Südsee","Nachtr.: 74","","1905"
kew-303276,A,Corsiaceae,,Corsia,,"viridopurpurea",,"","P.Royen",Accepted,,H,WCSP,303276,272096-1,"Webbia","27: 236","","1972"
kew-457005,A,Corsiaceae,,Corsia,,"wiakabui",,"","(W.N.Takeuchi & Pipoly) D.L.Jones & B.Gray",Accepted,,H,WCSP,457005,77094955-1,"Austrobaileya","7: 721","","2008"
kew-303277,A,Corsiaceae,,Corsia,,"wubungu",,"","P.Royen",Accepted,,H,WCSP,303277,272097-1,"Webbia","27: 245","","1972"
kew-303279,A,Corsiaceae,,Corsiopsis,,"chinensis",,"","D.X.Zhang, R.M.K.Saunders & C.M.Hu",Accepted,,H,WCSP,303279,1011152-1,"Syst. Bot.","24: 313","","1999"
