ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-343820,A,Costaceae,,Chamaecostus,,"congestiflorus",,"","(Rich. ex Gagnep.) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343820,77074289-1,"Taxon","55: 158","","2006"
kew-343821,A,Costaceae,,Chamaecostus,,"curcumoides",,"","(Maas) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343821,77074284-1,"Taxon","55: 158","","2006"
kew-343822,A,Costaceae,,Chamaecostus,,"cuspidatus",,"","(Nees & Mart.) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343822,77074283-1,"Taxon","55: 158","","2006"
kew-343823,A,Costaceae,,Chamaecostus,,"fragilis",,"","(Maas) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343823,77074286-1,"Taxon","55: 158","","2006"
kew-343824,A,Costaceae,,Chamaecostus,,"fusiformis",,"","(Maas) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343824,77074285-1,"Taxon","55: 158","","2006"
kew-343825,A,Costaceae,,Chamaecostus,,"lanceolatus",,"","(Petersen) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343825,77074287-1,"Taxon","55: 158","","2006"
kew-234668,A,Costaceae,,Chamaecostus,,"lanceolatus",subsp.,"lanceolatus","",Accepted,,L,WCSP,234668,,"Unknown","","",""
kew-343826,A,Costaceae,,Chamaecostus,,"lanceolatus",subsp.,"pulchriflorus","(Ducke) C.Specht & D.W.Stev.",Accepted,,L,WCSP,343826,,"Taxon","55: 158","","2006"
kew-343827,A,Costaceae,,Chamaecostus,,"subsessilis",,"","(Nees & Mart.) C.Specht & D.W.Stev.",Accepted,,H,WCSP,343827,77074282-1,"Taxon","55: 158","","2006"
kew-343832,A,Costaceae,,Cheilocostus,,"globosus",,"","(Blume) C.Specht",Accepted,,H,WCSP,343832,77074293-1,"Taxon","55: 160","","2006"
kew-343833,A,Costaceae,,Cheilocostus,,"lacerus",,"","(Gagnep.) C.Specht",Accepted,,H,WCSP,343833,77074292-1,"Taxon","55: 160","","2006"
kew-343834,A,Costaceae,,Cheilocostus,,"sopuensis",,"","(Maas & H.Maas) C.Specht",Accepted,,H,WCSP,343834,77074294-1,"Taxon","55: 160","","2006"
kew-343835,A,Costaceae,,Cheilocostus,,"speciosus",,"","(J.König) C.Specht",Accepted,,H,WCSP,343835,77074291-1,"Taxon","55: 159","","2006"
kew-234549,A,Costaceae,,Costus,,"acanthocephalus",,"","K.Schum.",Accepted,,H,WCSP,234549,796258-1,"Bot. Jahrb. Syst.","27: 345","","1899"
kew-234551,A,Costaceae,,Costus,,"acreanus",,"","(Loes.) Maas",Accepted,,H,WCSP,234551,66815-2,"Fl. Neotrop. Monogr.","8: 66","","1972"
kew-234552,A,Costaceae,,Costus,,"adolphi-friderici",,"","Loes.",Accepted,,H,WCSP,234552,872278-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 66","","1910"
kew-234553,A,Costaceae,,Costus,,"afer",,"","Ker Gawl.",Accepted,,H,WCSP,234553,796260-1,"Bot. Reg.","8: t. 683","","1823"
kew-234556,A,Costaceae,,Costus,,"allenii",,"","Maas",Accepted,,H,WCSP,234556,66816-2,"Fl. Neotrop. Monogr.","8: 61","","1972"
kew-234557,A,Costaceae,,Costus,,"amazonicus",,"","(Loes.) J.F.Macbr.",Accepted,,H,WCSP,234557,66817-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11: 13","","1931"
kew-234565,A,Costaceae,,Costus,,"arabicus",,"","L.",Accepted,,H,WCSP,234565,796267-1,"Sp. Pl.","2","","1753"
kew-234566,A,Costaceae,,Costus,,"araneosus",,"","Gagnep.",Accepted,,H,WCSP,234566,796269-1,"Bull. Soc. Bot. France","49: 95","","1902"
kew-234570,A,Costaceae,,Costus,,"asplundii",,"","(Maas) Maas",Accepted,,H,WCSP,234570,66821-2,"Acta Bot. Neerl.","24: 470","","1975 publ. 1976"
kew-234571,A,Costaceae,,Costus,,"asteranthus",,"","Maas & H.Maas",Accepted,,H,WCSP,234571,275161-2,"Notes Roy. Bot. Gard. Edinburgh","46: 307","","1990"
kew-234573,A,Costaceae,,Costus,,"barbatus",,"","Suess.",Accepted,,H,WCSP,234573,66823-2,"Bot. Jahrb. Syst.","72: 295","","1942"
kew-234574,A,Costaceae,,Costus,,"beckii",,"","Maas & H.Maas",Accepted,,H,WCSP,234574,275162-2,"Notes Roy. Bot. Gard. Edinburgh","46: 309","","1990"
kew-234575,A,Costaceae,,Costus,,"bicolor",,"","J.Braun & K.Schum.",Accepted,,H,WCSP,234575,796274-1,"Ber. Deutsch. Schutzgeb.","2: 151","","1889"
kew-234577,A,Costaceae,,Costus,,"bracteatus",,"","Rowlee",Accepted,,H,WCSP,234577,66825-2,"Bull. Torrey Bot. Club","49: 285","","1922"
kew-346583,A,Costaceae,,Costus,,"bullatus",,"","Meekiong, Muliati & Ipor",Accepted,,H,WCSP,346583,77079758-1,"Folia Malaysiana","7: 65","","2006"
kew-234580,A,Costaceae,,Costus,,"chartaceus",,"","Maas",Accepted,,H,WCSP,234580,66828-2,"Fl. Neotrop. Monogr.","8: 98","","1972"
kew-234582,A,Costaceae,,Costus,,"chrysocephalus",,"","K.Schum.",Accepted,,H,WCSP,234582,796277-1,"Pflanzenr.","IV, 46: 410","","1904"
kew-234585,A,Costaceae,,Costus,,"claviger",,"","Benoist",Accepted,,H,WCSP,234585,66830-2,"Bull. Mus. Natl. Hist. Nat.","33: 270","","1927"
kew-234586,A,Costaceae,,Costus,,"clemensiae",,"","Ridl.",Accepted,,H,WCSP,234586,872292-1,"Philipp. J. Sci., C","4: 193","","1909"
kew-234587,A,Costaceae,,Costus,,"comosus",,"","(Jacq.) Roscoe",Accepted,,H,WCSP,234587,796280-1,"Trans. Linn. Soc. London","8: 350","","1807"
kew-234588,A,Costaceae,,Costus,,"comosus",var.,"bakeri","(K.Schum.) Maas",Accepted,,L,WCSP,234588,66831-2,"Fl. Neotrop. Monogr.","8: 85","","1972"
kew-234594,A,Costaceae,,Costus,,"cordatus",,"","Maas",Accepted,,H,WCSP,234594,66835-2,"Acta Bot. Neerl.","24: 472","","1975 publ. 1976"
kew-234596,A,Costaceae,,Costus,,"cupreifolius",,"","Maas",Accepted,,H,WCSP,234596,66836-2,"Acta Bot. Neerl.","24: 471","","1975 publ. 1976"
kew-234598,A,Costaceae,,Costus,,"curvibracteatus",,"","Maas",Accepted,,H,WCSP,234598,66838-2,"Acta Bot. Neerl.","24: 473","","1975 publ. 1976"
kew-234605,A,Costaceae,,Costus,,"deistelii",,"","K.Schum.",Accepted,,H,WCSP,234605,796286-1,"Pflanzenr.","IV, 46: 393","","1904"
kew-234606,A,Costaceae,,Costus,,"dendrophilus",,"","K.Schum.",Accepted,,H,WCSP,234606,796287-1,"Pflanzenr.","IV, 46: 416","","1904"
kew-234607,A,Costaceae,,Costus,,"dewevrei",,"","De Wild. & T.Durand",Accepted,,H,WCSP,234607,796288-1,"Bull. Soc. Roy. Bot. Belgique","Compt. Rend. 38: 139","","1899"
kew-234609,A,Costaceae,,Costus,,"dinklagei",,"","K.Schum.",Accepted,,H,WCSP,234609,796289-1,"Pflanzenr.","IV, 46: 408","","1904"
kew-234610,A,Costaceae,,Costus,,"dirzoi",,"","García-Mend. & G.Ibarra",Accepted,,H,WCSP,234610,960216-1,"Ann. Missouri Bot. Gard.","78: 1081","","1991"
kew-234612,A,Costaceae,,Costus,,"dubius",,"","(Afzel.) K.Schum.",Accepted,,H,WCSP,234612,167523-3,"Pflanzenr.","IV, 46: 409","","1904"
kew-346584,A,Costaceae,,Costus,,"eburneus",,"","Meekiong, Muliati & Tawan",Accepted,,H,WCSP,346584,77079759-1,"Folia Malaysiana","7: 66","","2006"
kew-234618,A,Costaceae,,Costus,,"erythrocoryne",,"","K.Schum.",Accepted,,H,WCSP,234618,66844-2,"Pflanzenr.","IV, 46: 410","","1904"
kew-234619,A,Costaceae,,Costus,,"erythrophyllus",,"","Loes.",Accepted,,H,WCSP,234619,66845-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 707","","1929"
kew-234620,A,Costaceae,,Costus,,"erythrothyrsus",,"","Loes.",Accepted,,H,WCSP,234620,66846-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 713","","1929"
kew-457006,A,Costaceae,,Costus,,"fissicalyx",,"","N.R.Salinas, Clavijo & Betancur",Accepted,,H,WCSP,457006,77096013-1,"Caldasia","29: 196","","2007"
kew-234622,A,Costaceae,,Costus,,"fissiligulatus",,"","Gagnep.",Accepted,,H,WCSP,234622,796298-1,"Bull. Soc. Bot. France","49: 93","","1902"
kew-234626,A,Costaceae,,Costus,,"foliaceus",,"","Lock & A.D.Poulsen",Accepted,,H,WCSP,234626,997852-1,"Kew Bull.","52: 614","","1997"
kew-234629,A,Costaceae,,Costus,,"fortalezae",,"","K.Schum.",Accepted,,H,WCSP,234629,872304-1,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 708","","1929"
kew-234633,A,Costaceae,,Costus,,"gabonensis",,"","Koechlin",Accepted,,H,WCSP,234633,872305-1,"in Fl. Gabon","9: 82","","1964"
kew-234635,A,Costaceae,,Costus,,"geothyrsus",,"","K.Schum.",Accepted,,H,WCSP,234635,66852-2,"Pflanzenr.","IV, 46: 410","","1904"
kew-234636,A,Costaceae,,Costus,,"giganteus",,"","Welw. ex Ridl.",Accepted,,H,WCSP,234636,796304-1,"J. Bot.","25: 131","","1887"
kew-234641,A,Costaceae,,Costus,,"glaucus",,"","Maas",Accepted,,H,WCSP,234641,66854-2,"Acta Bot. Neerl.","24: 470","","1975 publ. 1976"
kew-234648,A,Costaceae,,Costus,,"guanaiensis",,"","Rusby",Accepted,,H,WCSP,234648,66856-2,"Bull. Torrey Bot. Club","29: 694","","1902"
