ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623242,A,Crassulaceae,,Adromischus,,"alstonii",,"","(Schönland & E.G.Baker) C.A.Sm.",Accepted,,M,WCSP (in review),747099,272114-1,"Bothalia","3: 638","","1939"
kew-2623246,A,Crassulaceae,,Adromischus,,"bicolor",,"","Hutchison",Accepted,,M,WCSP (in review),747103,272118-1,"Cact. Succ. J. (Los Angeles)","29: 15","","1957"
kew-2623249,A,Crassulaceae,,Adromischus,,"caryophyllaceus",,"","(Burm.f.) Lem.",Accepted,,M,WCSP (in review),747106,272121-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623252,A,Crassulaceae,,Adromischus,,"cooperi",,"","(Baker) A.Berger",Accepted,,M,WCSP (in review),747109,272124-1,"Nat. Pflanzenfam. ed. 2","18a: 416","","1930"
kew-2623253,A,Crassulaceae,,Adromischus,,"cristatus",,"","(Haw.) Lem.",Accepted,,M,WCSP (in review),747110,272125-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623254,A,Crassulaceae,,Adromischus,,"cristatus",var.,"clavifolius","(Haw.) Toelken",Accepted,,L,WCSP (in review),747111,878697-1,"Bothalia","12: 385","","1978"
kew-2623256,A,Crassulaceae,,Adromischus,,"cristatus",var.,"schonlandii","(E.Phillips) Toelken",Accepted,,L,WCSP (in review),747113,878698-1,"Bothalia","12: 390","","1978"
kew-2623257,A,Crassulaceae,,Adromischus,,"cristatus",var.,"zeyheri","(Harv.) Toelken",Accepted,,L,WCSP (in review),747114,878699-1,"Bothalia","12: 390","","1978"
kew-2623259,A,Crassulaceae,,Adromischus,,"diabolicus",,"","Toelken",Accepted,,M,WCSP (in review),747116,272128-1,"Bothalia","12: 633","","1979"
kew-2623260,A,Crassulaceae,,Adromischus,,"fallax",,"","Toelken",Accepted,,M,WCSP (in review),747117,272129-1,"Bothalia","12: 387","","1978"
kew-2623262,A,Crassulaceae,,Adromischus,,"filicaulis",,"","(Eckl. & Zeyh.) C.A.Sm.",Accepted,,M,WCSP (in review),747119,272131-1,"Bothalia","3: 630","","1939"
kew-2623263,A,Crassulaceae,,Adromischus,,"filicaulis",subsp.,"marlothii","(Schönland) Toelken",Accepted,,L,WCSP (in review),747120,878700-1,"Bothalia","12: 385","","1978"
kew-2623272,A,Crassulaceae,,Adromischus,,"hemisphaericus",,"","(L.) Lem.",Accepted,,M,WCSP (in review),747129,,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623275,A,Crassulaceae,,Adromischus,,"humilis",,"","(Mart.) Poelln.",Accepted,,M,WCSP (in review),747132,272142-1,"Repert. Spec. Nov. Regni Veg.","48: 91","","1940"
kew-2623276,A,Crassulaceae,,Adromischus,,"inamoenus",,"","Toelken",Accepted,,M,WCSP (in review),747133,272143-1,"Bothalia","12: 388","","1978"
kew-2623283,A,Crassulaceae,,Adromischus,,"leucophyllus",,"","Uitewaal",Accepted,,M,WCSP (in review),747140,272150-1,"Natl. Cact. Succ. J.","9: 58","","1954"
kew-2623285,A,Crassulaceae,,Adromischus,,"liebenbergii",,"","Hutchison",Accepted,,M,WCSP (in review),747142,272152-1,"Cact. Succ. J. (Los Angeles)","31: 80","","1959"
kew-2623287,A,Crassulaceae,,Adromischus,,"maculatus",,"","(Salm-Dyck) Lem.",Accepted,,M,WCSP (in review),747144,272153-1,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623288,A,Crassulaceae,,Adromischus,,"mammillaris",,"","(L.f.) Lem.",Accepted,,M,WCSP (in review),747145,,"Jard. Fleur.","2(Misc.): 60","","1852"
kew-2623293,A,Crassulaceae,,Adromischus,,"marianae",,"","(Marloth) A.Berger",Accepted,,M,WCSP (in review),747150,272155-1,"Nat. Pflanzenfam. ed. 2","18a: 416","","1930"
kew-2623296,A,Crassulaceae,,Adromischus,,"marianae",var.,"hallii","(Hutchison) Toelken",Accepted,,L,WCSP (in review),747153,878701-1,"Bothalia","12: 391","","1978"
kew-2623298,A,Crassulaceae,,Adromischus,,"marianae",var.,"immaculatus","Uitewaal",Accepted,,L,WCSP (in review),747155,,"Succulenta (Netherlands)","1953: 10","","1953"
kew-2623299,A,Crassulaceae,,Adromischus,,"marianae",var.,"kubusensis","(Uitewaal) Toelken",Accepted,,L,WCSP (in review),747156,878702-1,"Bothalia","12: 391","","1978"
kew-2623302,A,Crassulaceae,,Adromischus,,"maximus",,"","Hutchison",Accepted,,M,WCSP (in review),747159,272157-1,"Cact. Succ. J. (Los Angeles)","31: 133","","1959"
kew-2623303,A,Crassulaceae,,Adromischus,,"montium-klinghardtii",,"","(Dinter) A.Berger",Accepted,,M,WCSP (in review),747160,272158-1,"Nat. Pflanzenfam. ed. 2","18a: 416","","1930"
kew-2623305,A,Crassulaceae,,Adromischus,,"nanus",,"","(N.E.Br.) Poelln.",Accepted,,M,WCSP (in review),747162,272160-1,"Desert Pl. Life","10: 222","","1938"
kew-2623309,A,Crassulaceae,,Adromischus,,"phillipsiae",,"","(Marloth) Poelln.",Accepted,,M,WCSP (in review),747166,272164-1,"Repert. Spec. Nov. Regni Veg.","48: 88","","1940"
