ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-18521,A,Crypteroniaceae,,Axinandra,,"alata",,"","Baill.",Accepted,,H,WCSP,18521,552816-1,"Adansonia","12: 86","","1876"
kew-18522,A,Crypteroniaceae,,Axinandra,,"beccariana",,"","Baill.",Accepted,,H,WCSP,18522,552817-1,"Adansonia","12: 85","","1876"
kew-18524,A,Crypteroniaceae,,Axinandra,,"coriacea",,"","Baill.",Accepted,,H,WCSP,18524,552818-1,"Adansonia","12: 85","","1876"
kew-18526,A,Crypteroniaceae,,Axinandra,,"zeylanica",,"","Thwaites",Accepted,,H,WCSP,18526,552820-1,"Hooker's J. Bot. Kew Gard. Misc.","6: 67","","1854"
kew-51888,A,Crypteroniaceae,,Crypteronia,,"borneensis",,"","J.T.Pereira & K.M.Wong",Accepted,,H,WCSP,51888,985709-1,"Sandakania","6: 45","","1995"
kew-51889,A,Crypteroniaceae,,Crypteronia,,"cumingii",,"","(Planch.) Endl.",Accepted,,H,WCSP,51889,552852-1,"Gen. Pl.","Suppl. 4(2): 39","","1848"
kew-51890,A,Crypteroniaceae,,Crypteronia,,"elegans",,"","J.T.Pereira & K.M.Wong",Accepted,,H,WCSP,51890,985710-1,"Sandakania","6: 48","","1995"
kew-51892,A,Crypteroniaceae,,Crypteronia,,"glabriflora",,"","J.T.Pereira & K.M.Wong",Accepted,,H,WCSP,51892,985711-1,"Sandakania","6: 50","","1995"
kew-51893,A,Crypteroniaceae,,Crypteronia,,"griffithii",,"","C.B.Clarke",Accepted,,H,WCSP,51893,552854-1,"Fl. Brit. India","2: 574","","1869"
kew-51899,A,Crypteroniaceae,,Crypteronia,,"macrophylla",,"","Beus.-Osinga",Accepted,,H,WCSP,51899,291166-1,"Blumea","22: 261","","1975"
kew-51900,A,Crypteroniaceae,,Crypteronia,,"paniculata",,"","Blume",Accepted,,H,WCSP,51900,552858-1,"Bijdr.","1151","","1827"
kew-51904,A,Crypteroniaceae,,Crypteronia,,"paniculata",var.,"paniculata","",Accepted,,L,WCSP,51904,,"Unknown","","",""
kew-51905,A,Crypteroniaceae,,Crypteronia,,"paniculata",var.,"pubescens","(Wall.) Kurz",Accepted,,L,WCSP,51905,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","46(2): 86","","1877"
kew-55031,A,Crypteroniaceae,,Dactylocladus,,"stenostachys",,"","Oliv.",Accepted,,H,WCSP,55031,568142-1,"Hooker's Icon. Pl.","24: t. 2341","","1895"
