ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610155,A,Cucurbitaceae,,Abobra,,"tenuifolia",,"","(Gillies ex Hook. & Arn.) Cogn.",Accepted,,M,WCSP (in review),734026,,"Diagn. Cucurb.","2: 69","","1878"
kew-2615175,A,Cucurbitaceae,,Acanthosicyos,,"horridus",,"","Welw. ex Hook.f.",Accepted,,M,WCSP (in review),739046,291170-1,"Gen. Pl.","1: 824","","1867"
kew-2615176,A,Cucurbitaceae,,Acanthosicyos,,"naudinianus",,"","(Sond.) C.Jeffrey",Accepted,,M,WCSP (in review),739047,291171-1,"Kew Bull.","15: 346","","1962"
kew-2621017,A,Cucurbitaceae,,Actinostemma,,"lobatum",,"","(Maxim.) Maxim. ex Franch. & Sav.",Accepted,,M,WCSP (in review),744885,,"Enum. Pl. Jap.","1: 175","","1875"
kew-2621026,A,Cucurbitaceae,,Actinostemma,,"paniculatum",,"","Maxim. ex Cogn.",Accepted,,M,WCSP (in review),744894,291178-1,"Monogr. Phan.","3: 920","","1881"
kew-2621027,A,Cucurbitaceae,,Actinostemma,,"parvifolium",,"","Cogn.",Accepted,,M,WCSP (in review),744895,291179-1,"Pflanzenr.","IV, 275 I: 35","","1916"
kew-2621029,A,Cucurbitaceae,,Actinostemma,,"tenerum",,"","Griff.",Accepted,,M,WCSP (in review),744897,291181-1,"Pl. Cantor.","25","","1837"
tro-50043452,A,Cucurbitaceae,,Actinostemma,,"tenerum",var.,"tenerum","",Accepted,,L,TRO,50043452,,"","","",""
kew-2630967,A,Cucurbitaceae,,Alsomitra,,"macrocarpa",,"","(Blume) M.Roem.",Accepted,,M,WCSP (in review),754690,291224-1,"Fam. Nat. Syn. Monogr.","2: 117","","1846"
kew-2634607,A,Cucurbitaceae,,Ampelosicyos,,"humblotii",,"","(Cogn.) Jum. & H.Perrier",Accepted,,M,WCSP (in review),758317,291244-1,"Ann. Fac. Sci. Marseille","23: 29","","1915"
kew-2634608,A,Cucurbitaceae,,Ampelosicyos,,"major",,"","Jum. & H.Perrier",Accepted,,M,WCSP (in review),758318,291245-1,"Ann. Fac. Sci. Marseille","23: 24","","1915"
kew-2634609,A,Cucurbitaceae,,Ampelosicyos,,"meridionalis",,"","Keraudren",Accepted,,M,WCSP (in review),758319,291246-1,"Bull. Soc. Bot. France","112: 71","","1965"
kew-2634610,A,Cucurbitaceae,,Ampelosicyos,,"scandens",,"","Thouars",Accepted,,M,WCSP (in review),758320,291247-1,"Hist. Vég. Îsles Austral. Afriq.","68","","1808"
tro-9200412,A,Cucurbitaceae,,Ampelosycios,,"scandens",,"","Thouars",Accepted,,M,TRO,9200412,,"Hist. Vég. Isles Austral. Afriq.","68, t. 22","68","1808"
kew-2635886,A,Cucurbitaceae,,Anacaona,,"sphaerica",,"","Alain",Accepted,,M,WCSP (in review),759595,12221-2,"Phytologia","47: 192","","1980"
kew-2603447,A,Cucurbitaceae,,Anangia,,"macrosepala",,"","W.J.de Wilde & Duyfjes",Accepted,,M,WCSP (in review),728130,77080249-1,"Reinwardtia","12: 219","","2006"
kew-2644186,A,Cucurbitaceae,,Apodanthera,,"anatuyana",,"","(Mart.Crov.) Pozner",Accepted,,L,WCSP (in review),767852,1039711-2,"Hickenia","2: 186","","1996"
kew-2644187,A,Cucurbitaceae,,Apodanthera,,"argentea",,"","Cogn.",Accepted,,M,WCSP (in review),767853,291406-1,"Mém. Couronnés Mém. Savants Étrangers Acad. Roy. Sci. Bruxelles (8vo)","28: 42","","1878"
