ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620347,A,Cunoniaceae,,Acrophyllum,,"australe",,"","(A.Cunn.) Hoogland",Accepted,,M,WCSP (in review),744215,909910-1,"Brunonia","4: 216","","1981 publ. 1982"
kew-2620348,A,Cunoniaceae,,Acrophyllum,,"venosum",,"","Benth.",Accepted,,M,WCSP (in review),744216,790201-1,"Botanist","2: t. 95","","1838"
kew-2620479,A,Cunoniaceae,,Acsmithia,,"austrocaledonica",,"","(Brongn. & Gris) Hoogland",Accepted,,M,WCSP (in review),744347,294500-1,"Blumea","25: 495","","1979"
kew-2620480,A,Cunoniaceae,,Acsmithia,,"brongniartiana",,"","(Schltr.) Hoogland",Accepted,,M,WCSP (in review),744348,294502-1,"Blumea","25: 495","","1979"
kew-2620481,A,Cunoniaceae,,Acsmithia,,"collina",,"","Hoogland",Accepted,,M,WCSP (in review),744349,934910-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","9: 396","","1987 publ. 1988"
kew-2620482,A,Cunoniaceae,,Acsmithia,,"davidsonii",,"","(F.Muell.) Hoogland",Accepted,,L,WCSP (in review),744350,294503-1,"Blumea","25: 496","","1979"
kew-2620483,A,Cunoniaceae,,Acsmithia,,"densiflora",,"","(Brongn. & Gris.) Hoogland",Accepted,,M,WCSP (in review),744351,294506-1,"Blumea","25: 496","","1979"
kew-2620484,A,Cunoniaceae,,Acsmithia,,"elliptica",,"","(Vieill. ex Pamp.) Hoogland",Accepted,,M,WCSP (in review),744352,294507-1,"Blumea","25: 496","","1979"
kew-2620485,A,Cunoniaceae,,Acsmithia,,"integrifolia",,"","(Pulle) Hoogland",Accepted,,L,WCSP (in review),744353,294508-1,"Blumea","25: 496","","1979"
kew-2620486,A,Cunoniaceae,,Acsmithia,,"laxiflora",,"","Hoogland",Accepted,,M,WCSP (in review),744354,294509-1,"Blumea","25: 498","","1979"
kew-2620487,A,Cunoniaceae,,Acsmithia,,"meridionalis",,"","Hoogland",Accepted,,M,WCSP (in review),744355,934911-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","9: 396","","1987 publ. 1988"
kew-2620488,A,Cunoniaceae,,Acsmithia,,"parvifolia",,"","(Schltr.) Hoogland",Accepted,,L,WCSP (in review),744356,294510-1,"Blumea","25: 498","","1979"
kew-2620489,A,Cunoniaceae,,Acsmithia,,"pedunculata",,"","(Schltr.) Hoogland",Accepted,,M,WCSP (in review),744357,294511-1,"Blumea","25: 498","","1979"
