ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-275691,A,Cyclanthaceae,,Asplundia,,"acuminata",,"","(Ruiz & Pav.) Harling",Accepted,,H,WCSP,275691,22875-2,"Acta Horti Berg.","17: 41","","1954"
kew-275692,A,Cyclanthaceae,,Asplundia,,"ahlneri",,"","Harling",Accepted,,H,WCSP,275692,22876-2,"Acta Horti Berg.","18: 176","","1958"
kew-275693,A,Cyclanthaceae,,Asplundia,,"alata",,"","Harling",Accepted,,H,WCSP,275693,22877-2,"Acta Horti Berg.","18: 223","","1958"
kew-300100,A,Cyclanthaceae,,Asplundia,,"albicarpa",,"","Hammel",Accepted,,H,WCSP,300100,327096-2,"Novon","13: 52","","2003"
kew-300101,A,Cyclanthaceae,,Asplundia,,"allenii",,"","Hammel",Accepted,,H,WCSP,300101,327097-2,"Novon","13: 55","","2003"
kew-275694,A,Cyclanthaceae,,Asplundia,,"antioquiae",,"","Harling",Accepted,,H,WCSP,275694,22878-2,"Acta Horti Berg.","18: 184","","1958"
kew-275695,A,Cyclanthaceae,,Asplundia,,"aulacostigma",,"","Harling",Accepted,,H,WCSP,275695,22879-2,"Acta Horti Berg.","18: 174","","1958"
kew-275696,A,Cyclanthaceae,,Asplundia,,"aurantiaca",,"","Harling",Accepted,,H,WCSP,275696,22880-2,"Opera Bot., B","1(216): 24","","1973"
kew-275697,A,Cyclanthaceae,,Asplundia,,"australis",,"","Harling",Accepted,,H,WCSP,275697,22881-2,"Acta Horti Berg.","18: 192","","1958"
kew-275698,A,Cyclanthaceae,,Asplundia,,"brachyphylla",,"","Harling",Accepted,,H,WCSP,275698,22882-2,"Acta Horti Berg.","18: 231","","1958"
kew-275699,A,Cyclanthaceae,,Asplundia,,"brachypus",,"","(Drude) Harling",Accepted,,H,WCSP,275699,22883-2,"Acta Horti Berg.","17: 41","","1954"
kew-275700,A,Cyclanthaceae,,Asplundia,,"brasiliensis",,"","Harling",Accepted,,H,WCSP,275700,22884-2,"Acta Horti Berg.","18: 214","","1958"
kew-300102,A,Cyclanthaceae,,Asplundia,,"brunneistigma",,"","Hammel",Accepted,,H,WCSP,300102,327098-2,"Novon","13: 57","","2003"
