ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-299021,A,Cymodoceaceae,,Amphibolis,,"antarctica",,"","(Labill.) Asch.",Accepted,,H,WCSP,299021,602835-1,"Linnaea","35: 164","","1867"
kew-299024,A,Cymodoceaceae,,Amphibolis,,"griffithii",,"","(J.M.Black) Hartog",Accepted,,H,WCSP,299024,871793-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","59(1): 208","","1970"
kew-303778,A,Cymodoceaceae,,Cymodocea,,"angustata",,"","Ostenf.",Accepted,,H,WCSP,303778,699610-1,"Dansk Bot. Ark.","2(6): 10","","1916"
kew-303788,A,Cymodoceaceae,,Cymodocea,,"nodosa",,"","(Ucria) Asch.",Accepted,,H,WCSP,303788,602935-1,"Sitzungsber. Ges. Naturf. Freunde Berlin","1869: 4","","1869"
kew-303790,A,Cymodoceaceae,,Cymodocea,,"rotundata",,"","Asch. & Schweinf.",Accepted,,H,WCSP,303790,602937-1,"Sitzungsber. Ges. Naturf. Freunde Berlin","1870: 84","","1870"
kew-303791,A,Cymodoceaceae,,Cymodocea,,"serrulata",,"","(R.Br.) Asch. & Magnus",Accepted,,H,WCSP,303791,602938-1,"Sitzungsber. Ges. Naturf. Freunde Berlin","1870: 84","","1870"
kew-308058,A,Cymodoceaceae,,Halodule,,"bermudensis",,"","Hartog",Accepted,,H,WCSP,308058,117123-2,"Blumea","12: 308","","1964"
kew-308059,A,Cymodoceaceae,,Halodule,,"ciliata",,"","(Hartog) Hartog",Accepted,,H,WCSP,308059,117124-2,"Blumea","12: 309","","1964"
kew-308060,A,Cymodoceaceae,,Halodule,,"emarginata",,"","Hartog",Accepted,,H,WCSP,308060,117125-2,"Blumea","18: 65","","1970"
kew-308062,A,Cymodoceaceae,,Halodule,,"pinifolia",,"","(Miki) Hartog",Accepted,,H,WCSP,308062,602955-1,"Blumea","12: 309","","1964"
kew-308064,A,Cymodoceaceae,,Halodule,,"uninervis",,"","(Forssk.) Boiss.",Accepted,,H,WCSP,308064,602956-1,"Fl. Orient.","5: 24","","1882"
kew-308065,A,Cymodoceaceae,,Halodule,,"wrightii",,"","Asch.",Accepted,,H,WCSP,308065,602957-1,"Sitzungsber. Ges. Naturf. Freunde Berlin","1868: 19","","1868"
kew-288211,A,Cymodoceaceae,,Syringodium,,"filiforme",,"","Kütz.",Accepted,,H,WCSP,288211,248576-2,"Alg. Mar. Exsicc.","9: 426","","1860"
kew-288222,A,Cymodoceaceae,,Syringodium,,"isoetifolium",,"","(Asch.) Dandy",Accepted,,H,WCSP,288222,699866-1,"J. Bot.","77: 116","","1939"
kew-293259,A,Cymodoceaceae,,Thalassodendron,,"ciliatum",,"","(Forssk.) Hartog",Accepted,,H,WCSP,293259,871797-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","59(1): 188","","1970"
kew-293255,A,Cymodoceaceae,,Thalassodendron,,"pachyrhizum",,"","Hartog",Accepted,,H,WCSP,293255,871798-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","59(1): 194","","1970"
