ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-217749,A,Cyperaceae,,Actinoschoenus,,"repens",,"","J.Raynal",Accepted,,H,WCSP,217749,297856-1,"Adansonia","n.s., 7: 92","","1967"
kew-217750,A,Cyperaceae,,Actinoschoenus,,"thouarsii",,"","(Kunth) Benth.",Accepted,,H,WCSP,217750,297857-1,"Hooker's Icon. Pl.","14: 33","","1881"
kew-217752,A,Cyperaceae,,Actinoscirpus,,"grossus",,"","(L.f.) Goetgh. & D.A.Simpson",Accepted,,H,WCSP,217752,962435-1,"Kew Bull.","46: 171","","1991"
kew-217753,A,Cyperaceae,,Actinoscirpus,,"grossus",var.,"grossus","",Accepted,,L,WCSP,217753,,"Unknown","","",""
kew-217754,A,Cyperaceae,,Actinoscirpus,,"grossus",var.,"kysoor","(Roxb.) Noltie",Accepted,,L,WCSP,217754,978945-1,"Edinburgh J. Bot.","51: 173","","1994"
kew-218444,A,Cyperaceae,,Afrotrilepis,,"jaegeri",,"","J.Raynal",Accepted,,H,WCSP,218444,297858-1,"Adansonia","n.s., 3: 259","","1963"
kew-218445,A,Cyperaceae,,Afrotrilepis,,"pilosa",,"","(Boeckeler) J.Raynal",Accepted,,H,WCSP,218445,297859-1,"Adansonia","n.s., 3: 258","","1963"
kew-218580,A,Cyperaceae,,Alinula,,"lipocarphioides",,"","(Kük.) J.Raynal",Accepted,,H,WCSP,218580,297866-1,"Adansonia","n.s., 17: 43","","1977"
kew-218581,A,Cyperaceae,,Alinula,,"malawica",,"","(J.Raynal) Goetgh. & Vorster",Accepted,,H,WCSP,218581,945910-1,"Bull. Jard. Bot. Natl. Belg.","58: 462","","1988"
kew-218582,A,Cyperaceae,,Alinula,,"paradoxa",,"","(Cherm.) Goetgh. & Vorster",Accepted,,H,WCSP,218582,945909-1,"Bull. Jard. Bot. Natl. Belg.","58: 461","","1988"
kew-218583,A,Cyperaceae,,Alinula,,"peteri",,"","(Kük.) Goetgh. & Vorster",Accepted,,H,WCSP,218583,945911-1,"Bull. Jard. Bot. Natl. Belg.","58: 464","","1988"
kew-219577,A,Cyperaceae,,Amphiscirpus,,"nevadensis",,"","(S.Watson) Oteng-Yeb.",Accepted,,H,WCSP,219577,11614-2,"Notes Roy. Bot. Gard. Edinburgh","33: 308","","1974"
kew-219954,A,Cyperaceae,,Androtrichum,,"giganteum",,"","(Kunth) H.Pfeiff.",Accepted,,H,WCSP,219954,13191-2,"Revista Sudamer. Bot.","6: 185","","1940"
kew-219958,A,Cyperaceae,,Androtrichum,,"trigynum",,"","(Spreng.) H.Pfeiff.",Accepted,,H,WCSP,219958,13194-2,"Repert. Spec. Nov. Regni Veg.","42: 10","","1937"
kew-220893,A,Cyperaceae,,Arthrostylis,,"aphylla",,"","R.Br.",Accepted,,H,WCSP,220893,297913-1,"Prodr. Fl. Nov. Holl.","229","","1810"
kew-220917,A,Cyperaceae,,Ascolepis,,"ampullacea",,"","J.Raynal",Accepted,,H,WCSP,220917,297922-1,"Adansonia","n.s., 13: 159","","1973"
kew-220920,A,Cyperaceae,,Ascolepis,,"brasiliensis",,"","(Kunth) Benth. ex C.B.Clarke",Accepted,,H,WCSP,220920,21348-2,"Consp. Fl. Afric.","5: 651","","1894"
kew-220921,A,Cyperaceae,,Ascolepis,,"capensis",,"","(Kunth) Ridl.",Accepted,,H,WCSP,220921,297927-1,"Trans. Linn. Soc. London, Bot.","2: 164","","1884"
kew-220923,A,Cyperaceae,,Ascolepis,,"densa",,"","Goetgh.",Accepted,,H,WCSP,220923,297929-1,"Adansonia","n.s., 19: 285","","1980"
kew-220924,A,Cyperaceae,,Ascolepis,,"dipsacoides",,"","(Schumach.) J.Raynal",Accepted,,H,WCSP,220924,297930-1,"Adansonia","n.s., 8: 99","","1968"
kew-220925,A,Cyperaceae,,Ascolepis,,"dipsacoides",subsp.,"dipsacoides","",Accepted,,L,WCSP,220925,,"Unknown","","",""
kew-220926,A,Cyperaceae,,Ascolepis,,"dipsacoides",subsp.,"siamensis","(C.B.Clarke) J.Raynal",Accepted,,L,WCSP,220926,,"Adansonia","n.s., 8: 99","","1968"
kew-220927,A,Cyperaceae,,Ascolepis,,"elata",,"","Welw.",Accepted,,H,WCSP,220927,297931-1,"Trans. Linn. Soc. London","27: 79","","1869"
kew-220928,A,Cyperaceae,,Ascolepis,,"eriocauloides",,"","(Steud.) Nees ex Steud.",Accepted,,H,WCSP,220928,,"Syn. Pl. Glumac.","2: 105","","1855"
kew-220929,A,Cyperaceae,,Ascolepis,,"erythrocephala",,"","S.S.Hooper",Accepted,,H,WCSP,220929,901516-1,"Kew Bull.","37: 605","","1983"
kew-220930,A,Cyperaceae,,Ascolepis,,"fibrillosa",,"","Goetgh.",Accepted,,H,WCSP,220930,297933-1,"Bull. Jard. Bot. Natl. Belg.","47: 439","","1977"
kew-220932,A,Cyperaceae,,Ascolepis,,"hemisphaerica",,"","Peter ex Goethg.",Accepted,,H,WCSP,220932,,"Adansonia","n.s., 19: 283","","1980"
kew-220935,A,Cyperaceae,,Ascolepis,,"lineariglumis",,"","Lye",Accepted,,H,WCSP,220935,901517-1,"Nordic J. Bot.","2: 561","","1983"
kew-220937,A,Cyperaceae,,Ascolepis,,"majestuosus",,"","P.A.Duvign. & G.Léonard",Accepted,,H,WCSP,220937,297939-1,"Bull. Soc. Roy. Bot. Belgique","90: 188","","1958"
kew-220938,A,Cyperaceae,,Ascolepis,,"menonguensis",,"","Meneses",Accepted,,H,WCSP,220938,297940-1,"Garcia de Orta","4: 259","","1956"
kew-220939,A,Cyperaceae,,Ascolepis,,"metallorum",,"","P.A.Duvign. & G.Léonard",Accepted,,H,WCSP,220939,297941-1,"Bull. Soc. Roy. Bot. Belgique","90: 268","","1958"
kew-220940,A,Cyperaceae,,Ascolepis,,"neglecta",,"","Goetgh.",Accepted,,H,WCSP,220940,297942-1,"Bull. Jard. Bot. Natl. Belg.","47: 441","","1977"
kew-220943,A,Cyperaceae,,Ascolepis,,"pinguis",,"","C.B.Clarke",Accepted,,H,WCSP,220943,297945-1,"Ann. Mus. Congo Belge, Bot.","II, 1(2): 69","","1900"
kew-220944,A,Cyperaceae,,Ascolepis,,"protea",,"","Welw.",Accepted,,H,WCSP,220944,297947-1,"Trans. Linn. Soc. London","27: 75","","1868"
tro-9908382,A,Cyperaceae,,Ascolepis,,"protea",var.,"anthemidiflora","Welw.",Accepted,,L,TRO,9908382,,"Trans. Linn. Soc. London","27: 78","78","1869"
kew-220945,A,Cyperaceae,,Ascolepis,,"protea",subsp.,"anthemiflora","(Welw.) Lye",Accepted,,L,WCSP,220945,,"Nordic J. Bot.","2: 566","","1983"
kew-220947,A,Cyperaceae,,Ascolepis,,"protea",subsp.,"bellidiflora","(Welw.) Lye",Accepted,,L,WCSP,220947,,"Nordic J. Bot.","2: 566","","1983"
kew-220952,A,Cyperaceae,,Ascolepis,,"protea",subsp.,"protea","",Accepted,,L,WCSP,220952,,"Unknown","","",""
kew-220959,A,Cyperaceae,,Ascolepis,,"pseudopeteri",,"","Goetgh.",Accepted,,H,WCSP,220959,297948-1,"Adansonia","n.s., 19: 286","","1980"
kew-220960,A,Cyperaceae,,Ascolepis,,"pusilla",,"","Ridl.",Accepted,,H,WCSP,220960,297949-1,"Trans. Linn. Soc. London, Bot.","2: 164","","1884"
kew-220964,A,Cyperaceae,,Ascolepis,,"pusilla",var.,"pusilla","",Accepted,,L,WCSP,220964,,"Unknown","","",""
kew-220966,A,Cyperaceae,,Ascolepis,,"speciosa",,"","Welw.",Accepted,,H,WCSP,220966,297951-1,"Trans. Linn. Soc. London","27: 78","","1869"
kew-220968,A,Cyperaceae,,Ascolepis,,"spinulosa",,"","Goetgh.",Accepted,,H,WCSP,220968,297952-1,"Bull. Jard. Bot. Natl. Belg.","47: 438","","1977"
kew-220970,A,Cyperaceae,,Ascolepis,,"trigona",,"","Goetgh.",Accepted,,H,WCSP,220970,297954-1,"Adansonia","n.s., 19: 286","","1980"
kew-221272,A,Cyperaceae,,Becquerelia,,"bullata",,"","C.B.Clarke & H.Pfeiff.",Accepted,,H,WCSP,221272,30286-2,"Repert. Spec. Nov. Regni Veg.","18: 382","","1922"
kew-221273,A,Cyperaceae,,Becquerelia,,"clarkei",,"","T.Koyama",Accepted,,H,WCSP,221273,298044-1,"Mem. New York Bot. Gard.","16: 49","","1967"
kew-221274,A,Cyperaceae,,Becquerelia,,"cymosa",,"","Brongn.",Accepted,,H,WCSP,221274,298046-1,"Voy. Monde","Phan.: 161","","1833"
kew-221277,A,Cyperaceae,,Becquerelia,,"discolor",,"","Kunth",Accepted,,H,WCSP,221277,298047-1,"Enum. Pl.","2: 362","","1837"
kew-221278,A,Cyperaceae,,Becquerelia,,"divaricata",,"","(Nees) Palla",Accepted,,H,WCSP,221278,30288-2,"Abh. Math.-Naturwiss. Kl. Akad. Wiss. Mainz","79: 198","","1908"
kew-221289,A,Cyperaceae,,Becquerelia,,"martii",,"","(Nees) H.Pfeiff.",Accepted,,H,WCSP,221289,30292-2,"Repert. Spec. Nov. Regni Veg.","18: 381","","1922"
kew-221293,A,Cyperaceae,,Becquerelia,,"muricata",,"","(Boeckeler) Nees",Accepted,,H,WCSP,221293,298054-1,"Fl. Bras.","2(1): 192","","1842"
kew-221294,A,Cyperaceae,,Becquerelia,,"tuberculata",,"","(Boeckeler) H.Pfeiff.",Accepted,,H,WCSP,221294,30296-2,"Repert. Spec. Nov. Regni Veg.","18: 379","","1922"
kew-221747,A,Cyperaceae,,Bisboeckelera,,"irrigua",,"","(Nees) Kuntze",Accepted,,H,WCSP,221747,33284-2,"Revis. Gen. Pl.","2: 747","","1891"
kew-221750,A,Cyperaceae,,Bisboeckelera,,"longifolia",,"","(Rudge) Kuntze",Accepted,,H,WCSP,221750,33287-2,"Revis. Gen. Pl.","2: 747","","1891"
kew-221752,A,Cyperaceae,,Bisboeckelera,,"microcephala",,"","(Boeckeler) T.Koyama",Accepted,,H,WCSP,221752,33289-2,"Mem. New York Bot. Gard.","16: 50","","1967"
kew-221754,A,Cyperaceae,,Bisboeckelera,,"vinacea",,"","Standl.",Accepted,,H,WCSP,221754,33291-2,"Contr. U. S. Natl. Herb.","17: 429","","1914"
kew-221788,A,Cyperaceae,,Blysmus,,"compressus",,"","(L.) Panz. ex Link",Accepted,,H,WCSP,221788,1144343-2,"Hort. Berol.","1: 278","","1827"
kew-221789,A,Cyperaceae,,Blysmus,,"compressus",var.,"brevifolius","(Decne.) Karth.",Accepted,,L,WCSP,221789,,"Fl. Ind. Enumerat. - Monocot.","32","","1989"
kew-221791,A,Cyperaceae,,Blysmus,,"compressus",subsp.,"compressus","",Accepted,,L,WCSP,221791,,"Unknown","","",""
kew-221792,A,Cyperaceae,,Blysmus,,"compressus",var.,"dissitus","(Duthie) Karth.",Accepted,,L,WCSP,221792,,"Fl. Ind. Enumerat. - Monocot.","32","","1989"
kew-221798,A,Cyperaceae,,Blysmus,,"mongolicola",,"","Kitag.",Accepted,,H,WCSP,221798,298082-1,"J. Jap. Bot.","44: 274","","1969"
kew-221799,A,Cyperaceae,,Blysmus,,"rufus",,"","(Huds.) Link",Accepted,,H,WCSP,221799,298083-1,"Hort. Berol.","1: 278","","1827"
kew-371961,A,Cyperaceae,×,Bolboschoenoplectus,,"mariqueter",,"","(Tang & F.T.Wang) Tatanov",Accepted,,H,WCSP,371961,77086394-1,"Novosti Sist. Vyssh. Rast.","39: 154","","2007"
kew-221893,A,Cyperaceae,,Bolboschoenus,,"caldwellii",,"","(V.J.Cook) Soják",Accepted,,H,WCSP,221893,298088-1,"Cas. Nár. Mus., Odd. Prír.","141: 62","","1972"
