ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50148927,A,Cytinaceae,,Bdallophyton,,"bambusarum",,"","Liebm.",Accepted,,M,TRO,50148927,,"","","",""
kew-2672244,A,Cytinaceae,,Bdallophytum,,"americanum",,"","(R.Br.) Eichler ex Solms",Accepted,,M,WCSP (in review),795739,,"Nat. Pflanzenfam.","3(1): 282","","1889"
kew-2672245,A,Cytinaceae,,Bdallophytum,,"andrieuxii",,"","(Hemsl.) Eichler",Accepted,,M,WCSP (in review),795740,316021-1,"Bot. Zeitung (Berlin)","30: 715","","1872"
kew-2672248,A,Cytinaceae,,Bdallophytum,,"oxylepis",,"","(B.L.Rob.) Harms",Accepted,,M,WCSP (in review),795743,30218-2,"Nat. Pflanzenfam. ed. 2","16b: 281","","1935"
kew-2754456,A,Cytinaceae,,Cytinus,,"baronii",,"","Baker f.",Accepted,,M,WCSP (in review),875950,316028-1,"J. Linn. Soc., Bot.","24: 469","","1888"
kew-2754458,A,Cytinaceae,,Cytinus,,"capensis",,"","Marloth",Accepted,,M,WCSP (in review),875952,707063-1,"Trans. Roy. Soc. South Africa","2: 237","","1912"
kew-2754460,A,Cytinaceae,,Cytinus,,"glandulosus",,"","Jum.",Accepted,,M,WCSP (in review),875954,707064-1,"Compt. Rend. Hebd. Séances Acad. Sci.","177: 1432","","1923"
kew-2754461,A,Cytinaceae,,Cytinus,,"hypocistis",,"","(L.) L.",Accepted,,M,WCSP (in review),875955,316032-1,"Gen. Pl. ed. 6","566","","1764"
kew-2754475,A,Cytinaceae,,Cytinus,,"malagasicus",,"","Jum. & H.Perrier",Accepted,,M,WCSP (in review),875969,707065-1,"Ann. Fac. Sci. Marseille","23: 38","","1915"
kew-2754477,A,Cytinaceae,,Cytinus,,"ruber",,"","(Fourr.) Fritsch",Accepted,,M,WCSP (in review),875971,707066-1,"Excursionsfl. Oesterreich","ed. 3: 69","","1922"
kew-2754478,A,Cytinaceae,,Cytinus,,"ruber",subsp.,"canariensis","(Webb & Berthel.) Finschow ex G.Kunkel",Accepted,,L,WCSP (in review),875972,,"Vieraea","8: 361","","1978 publ. 1980"
kew-2754479,A,Cytinaceae,,Cytinus,,"sanguineus",,"","(Thunb.) Fourc.",Accepted,,M,WCSP (in review),875973,707068-1,"Trans. Roy. Soc. South Africa","21: 97","","1932"
kew-2604125,A,Cytinaceae,,Cytinus,,"visseri",,"","Burgoyne",Accepted,,M,WCSP (in review),728783,60445997-2,"Novon","16: 316","","2006"
