ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-56340,A,Daphniphyllaceae,,Daphniphyllum,,"atrobadium",,"","Croizat & Metcalf",Accepted,,H,WCSP,56340,344206-1,"Lingnan Sci. J.","20: 108","","1941"
kew-56342,A,Daphniphyllaceae,,Daphniphyllum,,"beddomei",,"","Craib",Accepted,,H,WCSP,56342,344208-1,"Bull. Misc. Inform. Kew","1916: 268","","1916"
kew-56346,A,Daphniphyllaceae,,Daphniphyllum,,"borneense",,"","Stapf",Accepted,,H,WCSP,56346,344212-1,"Trans. Linn. Soc. London, Bot.","4: 224","","1894"
kew-56347,A,Daphniphyllaceae,,Daphniphyllum,,"buchananiifolium",,"","Hallier f.",Accepted,,H,WCSP,56347,344213-1,"Meded. Rijks-Herb.","37: 13","","1918"
kew-56350,A,Daphniphyllaceae,,Daphniphyllum,,"calycinum",,"","Benth.",Accepted,,H,WCSP,56350,344216-1,"Fl. Hongk.","316","","1861"
kew-56354,A,Daphniphyllaceae,,Daphniphyllum,,"celebense",,"","K.Rosenthal",Accepted,,H,WCSP,56354,344220-1,"Pflanzenr.","IV, 147a: 5","","1919"
kew-56355,A,Daphniphyllaceae,,Daphniphyllum,,"ceramense",,"","(T.C.Huang) T.C.Huang",Accepted,,H,WCSP,56355,989552-1,"Blumea","41: 237","","1996"
kew-56359,A,Daphniphyllaceae,,Daphniphyllum,,"dichotomum",,"","(T.C.Huang) T.C.Huang",Accepted,,H,WCSP,56359,989553-1,"Blumea","41: 238","","1996"
kew-56360,A,Daphniphyllaceae,,Daphniphyllum,,"divaricatum",,"","(T.C.Huang) J.X.Wang",Accepted,,H,WCSP,56360,908660-1,"Acta Phytotax. Sin.","19: 82","","1981"
kew-56364,A,Daphniphyllaceae,,Daphniphyllum,,"glaucescens",,"","Blume",Accepted,,H,WCSP,56364,344227-1,"Bijdr.","1153","","1827"
kew-56368,A,Daphniphyllaceae,,Daphniphyllum,,"glaucescens",var.,"blumeanum","(Baill. ex Müll.Arg.) J.J.Sm.",Accepted,,L,WCSP,56368,,"Bijdr. Boomsoort. Java","12: 328","","1910"
kew-372546,A,Daphniphyllaceae,,Daphniphyllum,,"glaucescens",var.,"lancifolium","(Hook.f.) Rafidah",Accepted,,L,WCSP,372546,77093294-1,"Blumea","53: 444","","2008"
kew-56395,A,Daphniphyllaceae,,Daphniphyllum,,"gracile",,"","Gage",Accepted,,H,WCSP,56395,344229-1,"Nova Guinea","12: 480","","1917"
kew-343943,A,Daphniphyllaceae,,Daphniphyllum,,"griffithianum",,"","(Wight) Noltie",Accepted,,H,WCSP,343943,60440839-2,"Regnum Veg.","145: 246","","2005"
kew-56400,A,Daphniphyllaceae,,Daphniphyllum,,"himalayense",,"","(Benth.) Müll.Arg.",Accepted,,H,WCSP,56400,344230-1,"Prodr.","16(1): 4","","1869"
kew-56401,A,Daphniphyllaceae,,Daphniphyllum,,"himalayense",subsp.,"angustifolium","(Hutch.) T.C.Huang",Accepted,,L,WCSP,56401,,"Taiwania","12: 211","","1966"
kew-56404,A,Daphniphyllaceae,,Daphniphyllum,,"himalayense",subsp.,"himalayense","",Accepted,,L,WCSP,56404,,"Unknown","","",""
tro-10100001,A,Daphniphyllaceae,,Daphniphyllum,,"himalense",,"","(Benth.) Müll. Arg.",Accepted,,M,TRO,10100001,,"Prodr.","16(1): 4","4","1869"
kew-56417,A,Daphniphyllaceae,,Daphniphyllum,,"luzonense",,"","Elmer",Accepted,,H,WCSP,56417,344241-1,"Leafl. Philipp. Bot.","1: 309","","1908"
