ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-221266,A,Dasypogonaceae,,Baxteria,,"australis",,"","R.Br. ex Hook.",Accepted,,H,WCSP,221266,161455-3,"London J. Bot.","2: 494","","1843"
kew-223370,A,Dasypogonaceae,,Calectasia,,"browneana",,"","Keighery & K.W.Dixon & R.L.Barrett",Accepted,,H,WCSP,223370,1018667-1,"Nuytsia","13: 419","","2001"
kew-223371,A,Dasypogonaceae,,Calectasia,,"cyanea",,"","R.Br.",Accepted,,H,WCSP,223371,442526-1,"Prodr. Fl. Nov. Holl.","264","","1810"
kew-223373,A,Dasypogonaceae,,Calectasia,,"gracilis",,"","Keighery",Accepted,,H,WCSP,223373,1018668-1,"Nuytsia","13: 424","","2001"
kew-223374,A,Dasypogonaceae,,Calectasia,,"grandiflora",,"","Preiss",Accepted,,H,WCSP,223374,442527-1,"Pl. Preiss.","2: 53","","1846"
kew-223375,A,Dasypogonaceae,,Calectasia,,"hispida",,"","R.L.Barrett & K.W.Dixon",Accepted,,H,WCSP,223375,1018669-1,"Nuytsia","13: 431","","2001"
kew-223376,A,Dasypogonaceae,,Calectasia,,"intermedia",,"","Sond.",Accepted,,H,WCSP,223376,442528-1,"Linnaea","28: 222","","1856"
kew-223377,A,Dasypogonaceae,,Calectasia,,"keigheryi",,"","R.L.Barrett & K.W.Dixon",Accepted,,H,WCSP,223377,1018670-1,"Nuytsia","13: 435","","2001"
kew-223378,A,Dasypogonaceae,,Calectasia,,"narragara",,"","R.L.Barrett & K.W.Dixon",Accepted,,H,WCSP,223378,1018671-1,"Nuytsia","13: 437","","2001"
kew-223379,A,Dasypogonaceae,,Calectasia,,"obtusa",,"","R.L.Barrett & K.W.Dixon",Accepted,,H,WCSP,223379,1018672-1,"Nuytsia","13: 429","","2001"
kew-223380,A,Dasypogonaceae,,Calectasia,,"palustris",,"","R.L.Barrett & K.W.Dixon",Accepted,,H,WCSP,223380,1018673-1,"Nuytsia","13: 442","","2001"
kew-223381,A,Dasypogonaceae,,Calectasia,,"pignattiana",,"","K.W.Dixon & R.L.Barrett",Accepted,,H,WCSP,223381,1018674-1,"Nuytsia","13: 444","","2001"
kew-239183,A,Dasypogonaceae,,Dasypogon,,"bromeliifolius",,"","R.Br.",Accepted,,H,WCSP,239183,442534-1,"Prodr. Fl. Nov. Holl.","263","","1810"
kew-239185,A,Dasypogonaceae,,Dasypogon,,"hookeri",,"","J.Drumm.",Accepted,,H,WCSP,239185,442536-1,"London J. Bot.","2: 169","","1843"
kew-239186,A,Dasypogonaceae,,Dasypogon,,"obliquifolius",,"","Lehm. ex Nees",Accepted,,H,WCSP,239186,100350-3,"Pl. Preiss.","2: 52","","1846"
kew-250932,A,Dasypogonaceae,,Kingia,,"australis",,"","R.Br.",Accepted,,H,WCSP,250932,80031-3,"Ann. Sci. Nat. (Paris)","8: 211","","1826"
