ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2765732,A,Dichapetalaceae,,Dichapetalum,,"acuminatum",,"","De Wild.",Accepted,,M,WCSP (in review),887091,,"Études Fl. Bangala Ubangi","221","","1911"
kew-2765738,A,Dichapetalaceae,,Dichapetalum,,"affine",,"","(Planch. ex Benth.) Breteler",Accepted,,M,WCSP (in review),887097,316168-1,"Meded. Landbouwhoogeschool","73(13): 45","","1973"
kew-2765739,A,Dichapetalaceae,,Dichapetalum,,"alaotrense",,"","Desc.",Accepted,,M,WCSP (in review),887098,316169-1,"Bull. Soc. Bot. France","119: 511","","1972 publ. 1973"
kew-2765740,A,Dichapetalaceae,,Dichapetalum,,"albidum",,"","A.Chev. ex Pellegr.",Accepted,,M,WCSP (in review),887099,316170-1,"Bull. Soc. Bot. France","59: 645","","1912 publ. 1913"
kew-2765741,A,Dichapetalaceae,,Dichapetalum,,"altescandens",,"","Engl.",Accepted,,M,WCSP (in review),887100,163172-1,"Bot. Jahrb. Syst.","33: 80","","1902"
kew-2765744,A,Dichapetalaceae,,Dichapetalum,,"angolense",,"","Chodat",Accepted,,M,WCSP (in review),887103,163174-1,"Bull. Herb. Boissier","3: 672","","1895"
kew-2765748,A,Dichapetalaceae,,Dichapetalum,,"arachnoideum",,"","Breteler",Accepted,,M,WCSP (in review),887107,316173-1,"Meded. Landbouwhoogeschool","73(13): 61","","1973"
kew-2765749,A,Dichapetalaceae,,Dichapetalum,,"arenarium",,"","Breteler",Accepted,,M,WCSP (in review),887108,316174-1,"Meded. Landbouwhoogeschool","73(13): 64","","1973"
kew-2765752,A,Dichapetalaceae,,Dichapetalum,,"asplundeanum",,"","Prance",Accepted,,M,WCSP (in review),887111,79406-2,"in Fl. Ecuador","12(121): 5","","1980"
kew-2765756,A,Dichapetalaceae,,Dichapetalum,,"axillare",,"","Woodson",Accepted,,M,WCSP (in review),887115,79407-2,"Ann. Missouri Bot. Gard.","29: 353","","1942"
kew-2765759,A,Dichapetalaceae,,Dichapetalum,,"bangii",,"","(Didr.) Engl.",Accepted,,M,WCSP (in review),887118,163178-1,"Nat. Pflanzenfam.","3(4): 349","","1896"
kew-2765760,A,Dichapetalaceae,,Dichapetalum,,"barbatum",,"","Breteler",Accepted,,M,WCSP (in review),887119,316182-1,"Meded. Landbouwhoogeschool","73(13): 76","","1973"
kew-2765761,A,Dichapetalaceae,,Dichapetalum,,"barbosae",,"","Torre",Accepted,,M,WCSP (in review),887120,316183-1,"Bol. Soc. Brot.","II, 36: 68","","1962"
kew-2765763,A,Dichapetalaceae,,Dichapetalum,,"barteri",,"","Engl.",Accepted,,M,WCSP (in review),887122,163179-1,"Nat. Pflanzenfam.","3(4): 348","","1896"
kew-2765768,A,Dichapetalaceae,,Dichapetalum,,"beckii",,"","Fern.Casas",Accepted,,M,WCSP (in review),887127,928579-1,"Fontqueria","2: 15","","1982"
kew-2765769,A,Dichapetalaceae,,Dichapetalum,,"beilschmiedioides",,"","Breteler",Accepted,,M,WCSP (in review),887128,316188-1,"Meded. Landbouwhoogeschool","73(13): 87","","1973"
