ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-6231,A,Didiereaceae,,Alluaudia,,"ascendens",,"","(Drake) Drake",Accepted,,H,WCSP,6231,316429-1,"Bull. Mus. Hist. Nat. (Paris)","9: 37","","1903"
kew-6232,A,Didiereaceae,,Alluaudia,,"comosa",,"","(Drake) Drake",Accepted,,H,WCSP,6232,316430-1,"Bull. Mus. Hist. Nat. (Paris)","9: 37","","1903"
kew-6234,A,Didiereaceae,,Alluaudia,,"dumosa",,"","(Drake) Drake",Accepted,,H,WCSP,6234,316431-1,"Bull. Mus. Hist. Nat. (Paris)","9: 37","","1903"
kew-6236,A,Didiereaceae,,Alluaudia,,"humbertii",,"","Choux",Accepted,,H,WCSP,6236,316433-1,"Mém. Acad. Malgache","17: 30 60","","1934"
kew-6237,A,Didiereaceae,,Alluaudia,,"montagnacii",,"","Rauh",Accepted,,H,WCSP,6237,316434-1,"Adansonia","n.s., 1: 43","","1961"
kew-6238,A,Didiereaceae,,Alluaudia,,"procera",,"","(Drake) Drake",Accepted,,H,WCSP,6238,316435-1,"Bull. Mus. Hist. Nat. (Paris)","9: 37","","1903"
kew-6240,A,Didiereaceae,,Alluaudiopsis,,"fiherenensis",,"","Humbert & Choux",Accepted,,H,WCSP,6240,316436-1,"Compt. Rend. Hebd. Séances Acad. Sci.","199: 1651","","1934"
kew-6241,A,Didiereaceae,,Alluaudiopsis,,"marnieriana",,"","Rauh",Accepted,,H,WCSP,6241,316437-1,"Adansonia","n.s., 1: 49","","1961"
kew-56643,A,Didiereaceae,,Decarya,,"madagascariensis",,"","Choux",Accepted,,H,WCSP,56643,316438-1,"Mém. Acad. Malagache","17: 62","","1934"
kew-61531,A,Didiereaceae,,Didierea,,"madagascariensis",,"","Baill.",Accepted,,H,WCSP,61531,69521-1,"Bull. Mens. Soc. Linn. Paris","1: 258","","1880"
kew-61534,A,Didiereaceae,,Didierea,,"trollii",,"","Capuron & Rauh",Accepted,,H,WCSP,61534,316439-1,"Kakteen And. Sukk.","12: 87","","1961"
