ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2603411,A,Dilleniaceae,,Acrotrema,,"agastyamalayanum",,"","E.S.S.Kumar, Dan & G.M.Nair",Accepted,,M,WCSP (in review),728095,77078133-1,"Nordic J. Bot.","24: 543","","2006 publ. 2007"
kew-2620425,A,Dilleniaceae,,Acrotrema,,"arnottianum",,"","Wight",Accepted,,M,WCSP (in review),744293,316445-1,"Ill. Ind. Bot.","1: 9","","1840"
kew-2620427,A,Dilleniaceae,,Acrotrema,,"costatum",,"","Jack",Accepted,,M,WCSP (in review),744295,316447-1,"Malayan Misc.","1(5): 36","","1820"
kew-2620428,A,Dilleniaceae,,Acrotrema,,"dissectum",,"","Thwaites",Accepted,,M,WCSP (in review),744296,316449-1,"Hooker's J. Bot. Kew Gard. Misc.","8: 242","","1856"
kew-2620430,A,Dilleniaceae,,Acrotrema,,"intermedium",,"","Thwaites",Accepted,,M,WCSP (in review),744298,316451-1,"Enum. Pl. Zeyl.","3","","1858"
kew-2620431,A,Dilleniaceae,,Acrotrema,,"lanceolatum",,"","Hook.",Accepted,,M,WCSP (in review),744299,316452-1,"Hooker's Icon. Pl.","2: t. 157","","1837"
kew-2620432,A,Dilleniaceae,,Acrotrema,,"lyratum",,"","Thwaites",Accepted,,M,WCSP (in review),744300,316453-1,"Hooker's J. Bot. Kew Gard. Misc.","8: 242","","1856"
kew-2620434,A,Dilleniaceae,,Acrotrema,,"thwaitesii",,"","Hook.f. & Thomson",Accepted,,M,WCSP (in review),744302,316455-1,"Hooker's J. Bot. Kew Gard. Misc.","8: 241","","1856"
kew-2620436,A,Dilleniaceae,,Acrotrema,,"uniflorum",,"","Hook.",Accepted,,M,WCSP (in review),744304,316456-1,"Hooker's Icon. Pl.","2: t. 157","","1837"
kew-2620438,A,Dilleniaceae,,Acrotrema,,"uniflorum",var.,"bullatum","(Thwaites) Hook.f. & Thomson",Accepted,,L,WCSP (in review),744306,,"Fl. Brit. India","1: 33","","1872"
kew-2620444,A,Dilleniaceae,,Acrotrema,,"uniflorum",var.,"sylvaticum","(Thwaites) Hook.f. & Thomson",Accepted,,L,WCSP (in review),744312,,"Fl. Brit. India","1: 33","","1872"
kew-2620446,A,Dilleniaceae,,Acrotrema,,"walkeri",,"","Wight ex Thwaites",Accepted,,M,WCSP (in review),744314,316457-1,"Enum. Pl. Zeyl.","3","","1858"
kew-2748841,A,Dilleniaceae,,Curatella,,"americana",,"","L.",Accepted,,M,WCSP (in review),870539,321019-2,"Syst. Nat. ed. 10","2: 1079","","1759"
kew-2758391,A,Dilleniaceae,,Davilla,,"alata",,"","(Vent.) Briq.",Accepted,,L,WCSP (in review),879790,77008-2,"Annuaire Conserv. Jard. Bot. Genève","4: 217","","1900"
