ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-239725,A,Dioscoreaceae,,Dioscorea,,"abysmophila",,"","Maguire & Steyerm.",Accepted,,H,WCSP,239725,275900-2,"Mem. New York Bot. Gard.","51: 105","","1989"
kew-239726,A,Dioscoreaceae,,Dioscorea,,"abyssinica",,"","Hochst. ex Kunth",Accepted,,H,WCSP,239726,317602-1,"Enum. Pl.","5: 387","","1850"
kew-239727,A,Dioscoreaceae,,Dioscorea,,"acanthogene",,"","Rusby",Accepted,,H,WCSP,239727,80658-2,"Bull. New York Bot. Gard.","6: 492","","1910"
kew-239729,A,Dioscoreaceae,,Dioscorea,,"acerifolia",,"","Phil.",Accepted,,H,WCSP,239729,80659-2,"Anales Univ. Chile","93: 15","","1896"
kew-239736,A,Dioscoreaceae,,Dioscorea,,"acuminata",,"","Baker",Accepted,,H,WCSP,239736,317613-1,"J. Linn. Soc., Bot.","21: 449","","1885"
kew-239739,A,Dioscoreaceae,,Dioscorea,,"adenantha",,"","Uline",Accepted,,H,WCSP,239739,80661-2,"Nat. Pflanzenfam.","Nachtr. 1: 86","","1897"
kew-239743,A,Dioscoreaceae,,Dioscorea,,"aesculifolia",,"","R.Knuth",Accepted,,H,WCSP,239743,80662-2,"Pflanzenr.","IV, 43: 170","","1924"
kew-239745,A,Dioscoreaceae,,Dioscorea,,"aguilarii",,"","Standl. & Steyerm.",Accepted,,H,WCSP,239745,80663-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","22: 133","","1940"
kew-239747,A,Dioscoreaceae,,Dioscorea,,"alata",,"","L.",Accepted,,H,WCSP,239747,317625-1,"Sp. Pl.","1033","","1753"
kew-239750,A,Dioscoreaceae,,Dioscorea,,"alatipes",,"","Burkill & H.Perrier",Accepted,,H,WCSP,239750,317627-1,"Notul. Syst. (Paris)","14: 136","","1951"
kew-239754,A,Dioscoreaceae,,Dioscorea,,"althaeoides",,"","R.Knuth",Accepted,,H,WCSP,239754,317632-1,"Pflanzenr.","IV, 43: 180","","1924"
kew-239755,A,Dioscoreaceae,,Dioscorea,,"altissima",,"","Lam.",Accepted,,H,WCSP,239755,323906-2,"Encycl.","3: 231","","1789"
kew-239757,A,Dioscoreaceae,,Dioscorea,,"amaranthoides",,"","C.Presl",Accepted,,H,WCSP,239757,323907-2,"Reliq. Haenk.","1: 134","","1827"
kew-239767,A,Dioscoreaceae,,Dioscorea,,"amazonum",,"","Mart. ex Griseb.",Accepted,,H,WCSP,239767,324013-2,"Fl. Bras.","3(1): 39","","1842"
kew-239768,A,Dioscoreaceae,,Dioscorea,,"amazonum",var.,"amazonum","",Accepted,,L,WCSP,239768,,"Unknown","","",""
kew-239771,A,Dioscoreaceae,,Dioscorea,,"amazonum",var.,"klugii","(R.Knuth) Ayala",Accepted,,L,WCSP,239771,1120558-2,"Diosc. Peru","16","","1998"
kew-239775,A,Dioscoreaceae,,Dioscorea,,"amoena",,"","R.Knuth",Accepted,,H,WCSP,239775,80682-2,"Pflanzenr.","IV, 43: 67","","1924"
kew-239776,A,Dioscoreaceae,,Dioscorea,,"analalavensis",,"","Jum. & H.Perrier",Accepted,,H,WCSP,239776,317641-1,"Ann. Inst. Bot.-Géol. Colon. Marseille","II, 8: 399","","1910"
kew-239777,A,Dioscoreaceae,,Dioscorea,,"ancachsensis",,"","R.Knuth",Accepted,,H,WCSP,239777,80683-2,"Pflanzenr.","IV, 43: 202","","1924"
kew-239782,A,Dioscoreaceae,,Dioscorea,,"andina",,"","Phil.",Accepted,,H,WCSP,239782,80685-2,"Anales Univ. Chile","93: 16","","1896"
kew-239784,A,Dioscoreaceae,,Dioscorea,,"andromedusae",,"","O.Téllez",Accepted,,H,WCSP,239784,303030-2,"Brittonia","48: 103","","1996"
kew-239792,A,Dioscoreaceae,,Dioscorea,,"anomala",,"","Griseb.",Accepted,,H,WCSP,239792,1188313-2,"Fl. Bras.","3(1): 31","","1842"
kew-239793,A,Dioscoreaceae,,Dioscorea,,"antaly",,"","Jum. & H.Perrier",Accepted,,H,WCSP,239793,317660-1,"Compt. Rend. Hebd. Séances Acad. Sci.","149: 485","","1909"
kew-239795,A,Dioscoreaceae,,Dioscorea,,"antucoana",,"","Uline ex R.Knuth",Accepted,,H,WCSP,239795,317665-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 207","","1917"
kew-239799,A,Dioscoreaceae,,Dioscorea,,"arachidna",,"","Prain & Burkill",Accepted,,H,WCSP,239799,317669-1,"J. Proc. Asiat. Soc. Bengal","10: 21","","1914"
kew-239800,A,Dioscoreaceae,,Dioscorea,,"araucana",,"","Phil.",Accepted,,H,WCSP,239800,80690-2,"Anales Univ. Chile","1873: 540","","1873"
kew-239802,A,Dioscoreaceae,,Dioscorea,,"arcuatinervis",,"","Hochr.",Accepted,,H,WCSP,239802,317672-1,"Annuaire Conserv. Jard. Bot. Genève","11-12: 52","","1908"
kew-239804,A,Dioscoreaceae,,Dioscorea,,"argyrogyna",,"","Uline ex R.Knuth",Accepted,,H,WCSP,239804,317674-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 204","","1917"
kew-239805,A,Dioscoreaceae,,Dioscorea,,"arifolia",,"","C.Presl",Accepted,,H,WCSP,239805,324016-2,"Reliq. Haenk.","1: 134","","1827"
kew-239806,A,Dioscoreaceae,,Dioscorea,,"aristolochiifolia",,"","Poepp.",Accepted,,H,WCSP,239806,317676-1,"Fragm. Syn. Pl.","11","","1833"
tro-11000563,A,Dioscoreaceae,,Dioscorea,,"arnensis",,"","R. Knuth",Accepted,,M,TRO,11000563,,"Nov. Stirp. Pug.","","",""
kew-239810,A,Dioscoreaceae,,Dioscorea,,"asclepiadea",,"","Prain & Burkill",Accepted,,H,WCSP,239810,317679-1,"Bull. Misc. Inform. Kew","1916: 190","","1916"
kew-239811,A,Dioscoreaceae,,Dioscorea,,"aspera",,"","Humb. & Bonpl. ex Willd.",Accepted,,H,WCSP,239811,317680-1,"Sp. Pl.","4: 794","","1806"
kew-239812,A,Dioscoreaceae,,Dioscorea,,"aspersa",,"","Prain & Burkill",Accepted,,H,WCSP,239812,317681-1,"J. Proc. Asiat. Soc. Bengal","4: 447","","1908"
kew-239813,A,Dioscoreaceae,,Dioscorea,,"asperula",,"","Pedralli",Accepted,,H,WCSP,239813,302897-2,"Napaea","8: 29","","1992"
kew-239814,A,Dioscoreaceae,,Dioscorea,,"asteriscus",,"","Burkill",Accepted,,H,WCSP,239814,317682-1,"Bull. Jard. Bot. État","15: 356","","1939"
kew-239816,A,Dioscoreaceae,,Dioscorea,,"atrescens",,"","R.Knuth",Accepted,,H,WCSP,239816,80696-2,"Pflanzenr.","IV, 43: 245","","1924"
kew-239818,A,Dioscoreaceae,,Dioscorea,,"auriculata",,"","Poepp.",Accepted,,H,WCSP,239818,317686-1,"Fragm. Syn. Pl.","13","","1833"
kew-239820,A,Dioscoreaceae,,Dioscorea,,"bahiensis",,"","R.Knuth",Accepted,,H,WCSP,239820,80698-2,"Pflanzenr.","IV, 43: 351","","1924"
kew-372595,A,Dioscoreaceae,,Dioscorea,,"bako",,"","Wilkin",Accepted,,H,WCSP,372595,77090327-1,"Kew Bull.","63: 114","","2008"
kew-239821,A,Dioscoreaceae,,Dioscorea,,"balcanica",,"","Koanin",Accepted,,H,WCSP,239821,,"Oesterr. Bot. Z.","64: 37","","1914"
kew-239823,A,Dioscoreaceae,,Dioscorea,,"bancana",,"","Prain & Burkill",Accepted,,H,WCSP,239823,317692-1,"Bull. Misc. Inform. Kew","1925: 62","","1925"
kew-239825,A,Dioscoreaceae,,Dioscorea,,"banzhuana",,"","S.J.Pei & C.T.Ting",Accepted,,H,WCSP,239825,317694-1,"Acta Phytotax. Sin.","14(1): 70","","1976"
kew-239828,A,Dioscoreaceae,,Dioscorea,,"bartlettii",,"","C.V.Morton",Accepted,,H,WCSP,239828,80701-2,"Publ. Carnegie Inst. Wash.","461: 242","","1936"
kew-239829,A,Dioscoreaceae,,Dioscorea,,"basiclavicaulis",,"","Rizzini & A.Mattos",Accepted,,H,WCSP,239829,302153-2,"Revista Brasil. Biol.","46: 317","","1986"
kew-239831,A,Dioscoreaceae,,Dioscorea,,"baya",,"","De Wild.",Accepted,,H,WCSP,239831,317699-1,"Ann. Mus. Congo Belge, Bot.","V, 3: 357","","1912"
kew-239832,A,Dioscoreaceae,,Dioscorea,,"baya",var.,"baya","",Accepted,,L,WCSP,239832,,"Unknown","","",""
kew-239836,A,Dioscoreaceae,,Dioscorea,,"beecheyi",,"","R.Knuth",Accepted,,H,WCSP,239836,80702-2,"Pflanzenr.","IV, 43: 58","","1924"
kew-239838,A,Dioscoreaceae,,Dioscorea,,"belophylla",,"","(Prain) Voigt ex Haines",Accepted,,H,WCSP,239838,60444719-2,"Forest Fl. Chota Nagpur","530","","1910"
kew-239840,A,Dioscoreaceae,,Dioscorea,,"bemandry",,"","Jum. & H.Perrier",Accepted,,H,WCSP,239840,317705-1,"Compt. Rend. Hebd. Séances Acad. Sci.","149: 484","","1909"
