ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-62161,A,Dipentodontaceae,,Dipentodon,,"sinicus",,"","Dunn",Accepted,,H,WCSP,62161,324296-2,"Bull. Misc. Inform. Kew","1911: 311","","1911"
tro-50003038,A,Dipentodontaceae,,Perrottetia,,"arisanensis",,"","Hayata",Accepted,,M,TRO,50003038,162338-1,"Icon. Pl. Formosan.","5: 26-28, pl. 4","26","1915"
tro-6600254,A,Dipentodontaceae,,Perrottetia,,"distichophylla",,"","Cuatrec.",Accepted,,M,TRO,6600254,190584-2,"Lloydia","11(3): 224–225","224","1948"
tro-6600341,A,Dipentodontaceae,,Perrottetia,,"excelsa",,"","Lundell",Accepted,,M,TRO,6600341,282528-2,"Phytologia","57(1): 236","236","1985"
kew-2408434,A,Dipentodontaceae,,Perrottetia,,"gentryi",,"","Lundell",Accepted,,H,WCSP,378270,282529-2,"Phytologia","57: 453","","1985"
kew-2408430,A,Dipentodontaceae,,Perrottetia,,"lanceolata",,"","H.Karst.",Accepted,,H,WCSP,378266,162346-1,"Fl. Columb.","2: 47","","1863"
kew-2408428,A,Dipentodontaceae,,Perrottetia,,"longistylis",,"","Rose",Accepted,,H,WCSP,378264,190586-2,"Contr. U. S. Natl. Herb.","5: 110","","1897"
tro-6600342,A,Dipentodontaceae,,Perrottetia,,"multiflora",,"","Lundell",Accepted,,M,TRO,6600342,282530-2,"Phytologia","57(1): 234","234","1985"
tro-6600732,A,Dipentodontaceae,,Perrottetia,,"ovata",,"","Hemsl.",Accepted,,M,TRO,6600732,162352-1,"Diagn. Pl. Nov. Mexic.","1: 6","6","1878"
tro-6600617,A,Dipentodontaceae,,Perrottetia,,"panamensis",,"","Lundell",Accepted,,M,TRO,6600617,,"Nov. Stirp. Pug.","","",""
tro-6600343,A,Dipentodontaceae,,Perrottetia,,"quinduensis",,"","Kunth",Accepted,,M,TRO,6600343,162353-1,"Nov. Gen. Sp. (quarto ed.)","7: 75-76, t. 622","75","1825"
tro-6600344,A,Dipentodontaceae,,Perrottetia,,"sessiliflora",,"","Lundell",Accepted,,M,TRO,6600344,190588-2,"Phytologia","1(14): 451-452","451","1940"
