ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2640334,A,Dipterocarpaceae,,Anisoptera,,"aurea",,"","Foxw.",Accepted,,M,WCSP (in review),764020,320541-1,"Philipp. J. Sci.","67: 271","","1938"
kew-2640339,A,Dipterocarpaceae,,Anisoptera,,"costata",,"","Korth.",Accepted,,M,WCSP (in review),764025,320546-1,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","65","","1839"
kew-2640340,A,Dipterocarpaceae,,Anisoptera,,"curtisii",,"","Dyer ex King",Accepted,,M,WCSP (in review),764026,320548-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","62(2): 100","","1893"
kew-2640344,A,Dipterocarpaceae,,Anisoptera,,"grossivenia",,"","V.Sloot.",Accepted,,M,WCSP (in review),764030,320552-1,"Bull. Jard. Bot. Buitenzorg","III, 16: 431","","1940"
kew-2640347,A,Dipterocarpaceae,,Anisoptera,,"laevis",,"","Ridl.",Accepted,,M,WCSP (in review),764033,320555-1,"Fl. Malay Penins.","1: 219","","1922"
kew-2640350,A,Dipterocarpaceae,,Anisoptera,,"marginata",,"","Korth.",Accepted,,M,WCSP (in review),764036,320558-1,"Verh. Nat. Gesch. Ned. Bezitt., Bot.","66","","1841"
kew-2640352,A,Dipterocarpaceae,,Anisoptera,,"megistocarpa",,"","Slooten",Accepted,,M,WCSP (in review),764038,320560-1,"Bull. Jard. Bot. Buitenzorg","III, 8: 12","","1926"
kew-2640361,A,Dipterocarpaceae,,Anisoptera,,"reticulata",,"","P.S.Ashton",Accepted,,M,WCSP (in review),764047,320569-1,"Gard. Bull. Singapore","22: 260","","1967"
kew-2640363,A,Dipterocarpaceae,,Anisoptera,,"scaphula",,"","(Roxb.) Kurz",Accepted,,M,WCSP (in review),764049,320572-1,"Forest Fl. Burma","1: 547","","1877"
kew-2640364,A,Dipterocarpaceae,,Anisoptera,,"thurifera",,"","(Blanco) Blume",Accepted,,M,WCSP (in review),764050,320573-1,"Mus. Bot.","2: 42","","1856"
kew-2640365,A,Dipterocarpaceae,,Anisoptera,,"thurifera",subsp.,"polyandra","(Blume) P.S.Ashton",Accepted,,L,WCSP (in review),764051,,"Gard. Bull. Singapore","31: 16","","1978"
kew-2740421,A,Dipterocarpaceae,,Cotylelobium,,"burckii",,"","(Heim) Heim",Accepted,,M,WCSP (in review),862419,320610-1,"Rech. Dipterocarp.","122","","1892"
kew-2740425,A,Dipterocarpaceae,,Cotylelobium,,"lanceolatum",,"","Craib",Accepted,,L,WCSP (in review),862423,320614-1,"Bull. Misc. Inform. Kew","1913: 113","","1913"
kew-2740427,A,Dipterocarpaceae,,Cotylelobium,,"lewisianum",,"","(Trimen ex Hook.f.) P.S.Ashton",Accepted,,M,WCSP (in review),862425,320616-1,"Blumea","20: 358","","1972 publ. 1973"
kew-2740429,A,Dipterocarpaceae,,Cotylelobium,,"melanoxylon",,"","(Hook.f.) Pierre",Accepted,,M,WCSP (in review),862427,320618-1,"Fl. Forest. Cochinch.","t. 235","","1889"
kew-2740431,A,Dipterocarpaceae,,Cotylelobium,,"scabriusculum",,"","(A.DC.) Brandis",Accepted,,M,WCSP (in review),862429,320620-1,"J. Linn. Soc., Bot.","31: 114","","1895"
kew-2772113,A,Dipterocarpaceae,,Dipterocarpus,,"acutangulus",,"","Vesque",Accepted,,M,WCSP (in review),891994,320622-1,"Compt. Rend. Hebd. Séances Acad. Sci.","78: 626","","1874"
