ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-5903,A,Droseraceae,,Aldrovanda,,"vesiculosa",,"","L.",Accepted,,H,WCSP,5903,321755-1,"Sp. Pl.","281","","1753"
kew-62109,A,Droseraceae,,Dionaea,,"muscipula",,"","J.Ellis",Accepted,,H,WCSP,62109,,"Nova Acta Regiae Soc. Sci. Upsal.","1: 98","","1773"
kew-372599,A,Droseraceae,,Drosera,,"aberrans",,"","(Lowrie & Carlquist) Lowrie & Conran",Accepted,,H,WCSP,372599,77093779-1,"Telopea","12: 151","","2008"
kew-64232,A,Droseraceae,,Drosera,,"acaulis",,"","L.f.",Accepted,,H,WCSP,64232,,"Suppl. Pl.","188","","1782"
kew-64233,A,Droseraceae,,Drosera,,"adelae",,"","F.Muell.",Accepted,,H,WCSP,64233,321769-1,"Fragm.","4: 154","","1864"
kew-64234,A,Droseraceae,,Drosera,,"admirabilis",,"","Debbert",Accepted,,H,WCSP,64234,933536-1,"Mitt. Bot. Staatssamml. München","23: 431","","1987"
kew-64236,A,Droseraceae,,Drosera,,"affinis",,"","Welw. ex Oliv.",Accepted,,H,WCSP,64236,321771-1,"Fl. Trop. Afr.","2: 402","","1871"
kew-241499,A,Droseraceae,,Drosera,,"afra",,"","Debbert",Accepted,,H,WCSP,241499,20008083-1,"Linzer Biol. Beitr.","34: 794","","2002"
kew-64237,A,Droseraceae,,Drosera,,"alba",,"","E.Phillips",Accepted,,H,WCSP,64237,321772-1,"Ann. S. African Mus.","9: 105","","1913"
kew-64240,A,Droseraceae,,Drosera,,"aliciae",,"","Raym.-Hamet",Accepted,,H,WCSP,64240,321775-1,"J. Bot. (Morot)","19: 114","","1905"
kew-346752,A,Droseraceae,,Drosera,,"allantostigma",,"","(N.G.Marchant & Lowrie) Lowrie & Conran",Accepted,,H,WCSP,346752,77080089-1,"Taxon","56: 538","","2007"
kew-64242,A,Droseraceae,,Drosera,,"andersoniana",,"","Fitzg. ex Ewart & Jean White",Accepted,,H,WCSP,64242,321777-1,"Proc. Roy. Soc. Victoria","n.s., 22: 98","","1909"
kew-64244,A,Droseraceae,,Drosera,,"anglica",,"","Huds.",Accepted,,H,WCSP,64244,321780-1,"Fl. Angl.","ed. 2: 135","","1778"
kew-64248,A,Droseraceae,,Drosera,,"arcturi",,"","Hook.",Accepted,,H,WCSP,64248,321785-1,"J. Bot. (Hooker)","1: 247","","1834"
kew-64249,A,Droseraceae,,Drosera,,"arenicola",,"","Steyerm.",Accepted,,H,WCSP,64249,84133-2,"Fieldiana, Bot.","28(2): 243","","1952"
kew-64253,A,Droseraceae,,Drosera,,"atrostyla",,"","Debbert",Accepted,,H,WCSP,64253,960786-1,"Mitt. Bot. Staatssamml. München","30: 375","","1991 publ. 1992"
kew-64254,A,Droseraceae,,Drosera,,"auriculata",,"","Backh. ex Planch.",Accepted,,H,WCSP,64254,321789-1,"Ann. Sci. Nat., Bot.","III, 9: 295","","1848"
kew-64255,A,Droseraceae,,Drosera,×,"badgerupii",,"","Cheek",Accepted,,H,WCSP,64255,972612-1,"Bot. Mag. (Kew Mag.)","10: 140","","1993"
kew-64256,A,Droseraceae,,Drosera,,"banksii",,"","R.Br. ex DC.",Accepted,,H,WCSP,64256,130998-3,"Prodr.","1: 319","","1824"
kew-64257,A,Droseraceae,,Drosera,,"barbigera",,"","Planch.",Accepted,,H,WCSP,64257,321791-1,"Ann. Sci. Nat., Bot.","III, 9: 287","","1848"
kew-64258,A,Droseraceae,,Drosera,,"barbigera",subsp.,"barbigera","",Accepted,,L,WCSP,64258,,"Unknown","","",""
kew-64259,A,Droseraceae,,Drosera,,"barbigera",subsp.,"silvicola","(Lowrie & Carlquist) Schlauer",Accepted,,L,WCSP,64259,1005927-1,"Carniv. Pl. Newslett.","25: 72","","1996"
kew-64260,A,Droseraceae,,Drosera,×,"beleziana",,"","E.G.Camus",Accepted,,H,WCSP,64260,321792-1,"Bull. Soc. Bot. France","42: 496","","1895"
kew-64261,A,Droseraceae,,Drosera,,"bequaertii",,"","Taton",Accepted,,H,WCSP,64261,321793-1,"Bull. Jard. Bot. État","17: 308","","1945"
kew-64262,A,Droseraceae,,Drosera,,"bicolor",,"","Lowrie & Carlquist",Accepted,,H,WCSP,64262,968290-1,"Phytologia","73: 109","","1992"
kew-64263,A,Droseraceae,,Drosera,,"biflora",,"","Willd. ex Schult.",Accepted,,H,WCSP,64263,321794-1,"Syst. Veg.","6: 763","","1820"
kew-64265,A,Droseraceae,,Drosera,,"binata",,"","Labill.",Accepted,,H,WCSP,64265,321796-1,"Nov. Holl. Pl.","1: 78","","1805"
kew-64267,A,Droseraceae,,Drosera,,"brevicornis",,"","Lowrie",Accepted,,H,WCSP,64267,990756-1,"Nuytsia","11: 56","","1996"
kew-64268,A,Droseraceae,,Drosera,,"brevifolia",,"","Pursh",Accepted,,H,WCSP,64268,317690-2,"Fl. Amer. Sept.","1: 211","","1813"
kew-64269,A,Droseraceae,,Drosera,,"broomensis",,"","Lowrie",Accepted,,H,WCSP,64269,990757-1,"Nuytsia","11: 57","","1996"
kew-64270,A,Droseraceae,,Drosera,,"browniana",,"","Lowrie & N.G.Marchant",Accepted,,H,WCSP,64270,968224-1,"Nuytsia","8: 323","","1992"
kew-64271,A,Droseraceae,,Drosera,,"bulbigena",,"","Morrison",Accepted,,H,WCSP,64271,321799-1,"Trans. & Proc. Bot. Soc. Edinburgh","22: 417","","1896"
kew-64272,A,Droseraceae,,Drosera,,"bulbosa",,"","Hook.",Accepted,,H,WCSP,64272,165173-3,"Hooker's Icon. Pl.","4: t. 375","","1841"
kew-64273,A,Droseraceae,,Drosera,,"bulbosa",subsp.,"bulbosa","",Accepted,,L,WCSP,64273,,"Unknown","","",""
kew-64275,A,Droseraceae,,Drosera,,"bulbosa",subsp.,"major","(Diels) N.G.Marchant & Lowrie",Accepted,,L,WCSP,64275,967536-1,"Kew Bull.","47: 315","","1992"
kew-64276,A,Droseraceae,,Drosera,,"burkeana",,"","Planch.",Accepted,,H,WCSP,64276,321801-1,"Ann. Sci. Nat., Bot.","III, 9: 192","","1848"
kew-64278,A,Droseraceae,,Drosera,,"burmanni",,"","Vahl",Accepted,,H,WCSP,64278,321803-1,"Symb. Bot.","3: 50","","1794"
kew-64279,A,Droseraceae,,Drosera,,"caduca",,"","Lowrie",Accepted,,H,WCSP,64279,990758-1,"Nuytsia","11: 59","","1996"
kew-64282,A,Droseraceae,,Drosera,,"callistos",,"","N.G.Marchant & Lowrie",Accepted,,H,WCSP,64282,961182-1,"Kew Bull.","47: 321","","1992"
kew-241500,A,Droseraceae,,Drosera,,"camporupestris",,"","Rivadavia",Accepted,,H,WCSP,241500,328316-2,"Carniv. Pl. Newslett.","32: 85","","2003"
kew-64285,A,Droseraceae,,Drosera,,"capensis",,"","L.",Accepted,,H,WCSP,64285,321806-1,"Sp. Pl.","282","","1753"
kew-64286,A,Droseraceae,,Drosera,,"capillaris",,"","Poir.",Accepted,,H,WCSP,64286,321807-1,"Encycl.","6: 299","","1804"
