ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2784978,A,Elaeagnaceae,,Elaeagnus,,"angustata",,"","(Rehder) C.Y.Chang",Accepted,,M,WCSP (in review),904737,323645-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 121","","1980"
kew-2784980,A,Elaeagnaceae,,Elaeagnus,,"angustifolia",,"","L.",Accepted,,M,WCSP (in review),904739,323646-1,"Sp. Pl.","121","","1753"
tro-11600132,A,Elaeagnaceae,,Elaeagnus,,"angustifolia",var.,"angustifolia","",Accepted,,L,TRO,11600132,,"","","",""
kew-2784986,A,Elaeagnaceae,,Elaeagnus,,"annamensis",,"","S.Moore",Accepted,,M,WCSP (in review),904745,323648-1,"J. Nat. Hist. Soc. Siam","4: 155","","1921"
kew-2785000,A,Elaeagnaceae,,Elaeagnus,,"argyi",,"","H.Lév.",Accepted,,M,WCSP (in review),904759,323655-1,"Repert. Spec. Nov. Regni Veg.","12: 101","","1913"
kew-2785004,A,Elaeagnaceae,,Elaeagnus,,"bambusetorum",,"","Hand.-Mazz.",Accepted,,M,WCSP (in review),904763,323659-1,"Symb. Sin.","7: 591","","1933"
kew-2785005,A,Elaeagnaceae,,Elaeagnus,,"bockii",,"","Diels",Accepted,,M,WCSP (in review),904764,323660-1,"Bot. Jahrb. Syst.","29: 482","","1900"
kew-2785007,A,Elaeagnaceae,,Elaeagnus,,"bonii",,"","Lecomte",Accepted,,M,WCSP (in review),904766,323661-1,"Notul. Syst. (Paris)","3: 125","","1915"
kew-2785010,A,Elaeagnaceae,,Elaeagnus,,"calcarea",,"","Z.R.Xu",Accepted,,M,WCSP (in review),904769,929210-1,"Guihaia","5: 348","","1985"
kew-2785013,A,Elaeagnaceae,,Elaeagnus,,"caudata",,"","Schltdl. ex Momiy.",Accepted,,M,WCSP (in review),904772,,"in Fl. E. Himal.","2nd. Rep.: 85","","1971"
kew-2785016,A,Elaeagnaceae,,Elaeagnus,,"cinnamomifolia",,"","W.K.Hu & H.F.Chow",Accepted,,M,WCSP (in review),904775,323669-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","6: 114","","1980"
kew-2785017,A,Elaeagnaceae,,Elaeagnus,,"commutata",,"","Bernh. ex Rydb.",Accepted,,M,WCSP (in review),904776,315523-2,"Fl. Rocky Mts.","582","","1917"
