ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2616700,A,Elaeocarpaceae,,Aceratium,,"archboldianum",,"","A.C.Sm.",Accepted,,M,WCSP (in review),740574,323868-1,"J. Arnold Arbor.","25: 119","","1944"
kew-2616701,A,Elaeocarpaceae,,Aceratium,,"braithwaitei",,"","(F.Muell.) Schltr.",Accepted,,M,WCSP (in review),740575,323869-1,"Bot. Jahrb. Syst.","54: 103","","1916"
kew-2616703,A,Elaeocarpaceae,,Aceratium,,"brassii",,"","A.C.Sm.",Accepted,,M,WCSP (in review),740577,323872-1,"J. Arnold Arbor.","25: 114","","1944"
kew-2616705,A,Elaeocarpaceae,,Aceratium,,"calomala",,"","Blanco",Accepted,,M,WCSP (in review),740579,833215-1,"Fl. Filip., ed. 2","306","","1845"
kew-2616707,A,Elaeocarpaceae,,Aceratium,,"concinnum",,"","(S.Moore) C.T.White",Accepted,,M,WCSP (in review),740581,323875-1,"Bull. Misc. Inform. Kew","1932: 42","","1932"
kew-2616709,A,Elaeocarpaceae,,Aceratium,,"dasyphyllum",,"","A.C.Sm.",Accepted,,M,WCSP (in review),740583,323877-1,"J. Arnold Arbor.","25: 117","","1944"
kew-2616710,A,Elaeocarpaceae,,Aceratium,,"doggrellii",,"","C.T.White",Accepted,,M,WCSP (in review),740584,323878-1,"Bull. Misc. Inform. Kew","1932: 42","","1932"
kew-2616713,A,Elaeocarpaceae,,Aceratium,,"ferrugineum",,"","C.T.White",Accepted,,M,WCSP (in review),740587,323881-1,"Bull. Misc. Inform. Kew","1932: 43","","1932"
kew-2616715,A,Elaeocarpaceae,,Aceratium,,"hypoleucum",,"","Kaneh. & Hatus.",Accepted,,M,WCSP (in review),740589,323883-1,"Bot. Mag. (Tokyo)","56: 310","","1942"
kew-2616717,A,Elaeocarpaceae,,Aceratium,,"ledermannii",,"","Schltr.",Accepted,,M,WCSP (in review),740591,323885-1,"Bot. Jahrb. Syst.","54: 103","","1916"
kew-2616718,A,Elaeocarpaceae,,Aceratium,,"megalospermum",,"","(F.Muell.) Balgooy",Accepted,,M,WCSP (in review),740592,84782-3,"Blumea","12: 74","","1963"
kew-2616721,A,Elaeocarpaceae,,Aceratium,,"muellerianum",,"","Schltr.",Accepted,,M,WCSP (in review),740595,323888-1,"Bot. Jahrb. Syst.","54: 107","","1916"
