ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2674885,A,Elatinaceae,,Bergia,,"aestivosa",,"","(Wight) Steud.",Accepted,,M,WCSP (in review),798348,324613-1,"Nomencl. Bot.","ed. 2, 1: 198","","1840"
kew-2674887,A,Elatinaceae,,Bergia,,"ammannioides",,"","Roxb. ex Roth",Accepted,,M,WCSP (in review),798350,324616-1,"Nov. Pl. Sp.","219","","1821"
kew-2674890,A,Elatinaceae,,Bergia,,"anagalloides",,"","Walp.",Accepted,,M,WCSP (in review),798353,324617-1,"Repert. Bot. Syst.","2: 286","","1843"
kew-2674892,A,Elatinaceae,,Bergia,,"arenaroides",,"","Fenzl",Accepted,,M,WCSP (in review),798355,324619-1,"Denkschr. Bayer. Bot. Ges. Regensburg","3: 183","","1841"
kew-2674893,A,Elatinaceae,,Bergia,,"auriculata",,"","G.J.Leach",Accepted,,M,WCSP (in review),798356,937622-1,"J. Adelaide Bot. Gard.","11: 91","","1989"
kew-2674894,A,Elatinaceae,,Bergia,,"barklyana",,"","G.J.Leach",Accepted,,M,WCSP (in review),798357,937621-1,"J. Adelaide Bot. Gard.","11: 89","","1989"
kew-2674895,A,Elatinaceae,,Bergia,,"capensis",,"","L.",Accepted,,M,WCSP (in review),798358,324620-1,"Mant. Pl.","2: 241","","1771"
kew-2674896,A,Elatinaceae,,Bergia,,"decumbens",,"","Planch. ex Harv.",Accepted,,M,WCSP (in review),798359,324621-1,"Thes. Cap.","1: 15","","1859"
kew-2674897,A,Elatinaceae,,Bergia,,"diacheiron",,"","Verdon ex G.J.Leach",Accepted,,M,WCSP (in review),798360,937624-1,"J. Adelaide Bot. Gard.","11: 97","","1989"
kew-2674898,A,Elatinaceae,,Bergia,,"erecta",,"","Guill. & Perr.",Accepted,,M,WCSP (in review),798361,324622-1,"Fl. Seneg. Tent.","44","","1831"
kew-2674901,A,Elatinaceae,,Bergia,,"glomerata",,"","L.f.",Accepted,,M,WCSP (in review),798364,324625-1,"Suppl. Pl.","248","","1782"
kew-2674902,A,Elatinaceae,,Bergia,,"glutinosa",,"","Dinter & Schulze-Menz",Accepted,,M,WCSP (in review),798365,324626-1,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 453","","1941"
kew-2674903,A,Elatinaceae,,Bergia,,"guineensis",,"","Hutch. & Dalziel",Accepted,,M,WCSP (in review),798366,324627-1,"Fl. W. Trop. Afr.","1: 109","","1927"
kew-2674904,A,Elatinaceae,,Bergia,,"henshallii",,"","G.J.Leach",Accepted,,M,WCSP (in review),798367,937620-1,"J. Adelaide Bot. Gard.","11: 83","","1989"
kew-2674906,A,Elatinaceae,,Bergia,,"mairei",,"","Quézel",Accepted,,M,WCSP (in review),798369,324631-1,"Bull. Soc. Hist. Nat. Afrique N.","45: 60","","1954"
kew-2674907,A,Elatinaceae,,Bergia,,"mossambicensis",,"","Wild",Accepted,,M,WCSP (in review),798370,324632-1,"Bol. Soc. Brot.","II, 31: 93","","1957"
kew-2674908,A,Elatinaceae,,Bergia,,"occultipetala",,"","G.J.Leach",Accepted,,M,WCSP (in review),798371,937623-1,"J. Adelaide Bot. Gard.","11: 95","","1989"
kew-2674912,A,Elatinaceae,,Bergia,,"pedicellaris",,"","(F.Muell.) F.Muell. ex Benth.",Accepted,,M,WCSP (in review),798375,164074-3,"Fl. Austral.","1: 180","","1863"
