ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620391,A,Ericaceae,,Acrostemon,,"barkerae",,"","Compton",Accepted,,M,WCSP (in review),744259,326035-1,"J. S. African Bot.","19: 122","","1953"
kew-2620393,A,Ericaceae,,Acrostemon,,"equisetoides",,"","Klotzsch",Accepted,,M,WCSP (in review),744261,326037-1,"Linnaea","12: 227","","1838"
kew-2620394,A,Ericaceae,,Acrostemon,,"eriocephalus",,"","N.E.Br.",Accepted,,M,WCSP (in review),744262,326038-1,"Fl. Cap.","4(1): 355","","1906"
kew-2620396,A,Ericaceae,,Acrostemon,,"glandulosus",,"","Rach",Accepted,,M,WCSP (in review),744264,326040-1,"Linnaea","26: 790","","1855"
kew-2620397,A,Ericaceae,,Acrostemon,,"hirsutus",,"","Klotzsch",Accepted,,M,WCSP (in review),744265,326041-1,"Linnaea","12: 228","","1838"
kew-2620398,A,Ericaceae,,Acrostemon,,"incanus",,"","Klotzsch",Accepted,,M,WCSP (in review),744266,326042-1,"Linnaea","12: 228","","1838"
kew-2620399,A,Ericaceae,,Acrostemon,,"incurvus",,"","Benth.",Accepted,,M,WCSP (in review),744267,326043-1,"Prodr.","7: 702","","1839"
kew-2620400,A,Ericaceae,,Acrostemon,,"schlechteri",,"","N.E.Br.",Accepted,,M,WCSP (in review),744268,326044-1,"Fl. Cap.","4(1): 353","","1906"
kew-2620401,A,Ericaceae,,Acrostemon,,"stokoei",,"","L.Guthrie",Accepted,,M,WCSP (in review),744269,326045-1,"Ann. Bolus Herb.","4: 23","","1925"
kew-2620402,A,Ericaceae,,Acrostemon,,"thunbergii",,"","Alm & T.C.E.Fr.",Accepted,,M,WCSP (in review),744270,326046-1,"Acta Horti Berg.","8: 263","","1925"
kew-2620404,A,Ericaceae,,Acrostemon,,"xeranthemifolius",,"","(Salisb.) E.G.H.Oliv.",Accepted,,M,WCSP (in review),744272,326048-1,"Bothalia","12: 45","","1976"
kew-2620418,A,Ericaceae,,Acrothamnus,,"colensoi",,"","(Hook.f.) Quinn",Accepted,,M,WCSP (in review),744286,77070461-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620419,A,Ericaceae,,Acrothamnus,,"hookeri",,"","(Sond.) Quinn",Accepted,,L,WCSP (in review),744287,77070462-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620420,A,Ericaceae,,Acrothamnus,,"maccraei",,"","(F.Muell.) Quinn",Accepted,,M,WCSP (in review),744288,77070460-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620421,A,Ericaceae,,Acrothamnus,,"montanus",,"","(R.Br.) Quinn",Accepted,,M,WCSP (in review),744289,77070463-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620422,A,Ericaceae,,Acrothamnus,,"spathaceus",,"","(Pedley) Quinn",Accepted,,L,WCSP (in review),744290,77070464-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620423,A,Ericaceae,,Acrothamnus,,"suaveolens",,"","(Hook.f.) Quinn",Accepted,,M,WCSP (in review),744291,77070465-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620450,A,Ericaceae,,Acrotriche,,"affinis",,"","DC.",Accepted,,M,WCSP (in review),744318,324797-1,"Prodr.","7: 757","","1839"
kew-2620451,A,Ericaceae,,Acrotriche,,"aggregata",,"","R.Br.",Accepted,,M,WCSP (in review),744319,324798-1,"Prodr. Fl. Nov. Holl.","547","","1810"
kew-2620453,A,Ericaceae,,Acrotriche,,"baileyana",,"","(Domin) J.M.Powell",Accepted,,L,WCSP (in review),744321,324800-1,"Telopea","1: 425","","1980"
kew-2620454,A,Ericaceae,,Acrotriche,,"cordata",,"","(Labill.) R.Br.",Accepted,,M,WCSP (in review),744322,324801-1,"Prodr. Fl. Nov. Holl.","549","","1810"
kew-2620455,A,Ericaceae,,Acrotriche,,"depressa",,"","R.Br.",Accepted,,M,WCSP (in review),744323,324802-1,"Prodr. Fl. Nov. Holl.","548","","1810"
kew-2620457,A,Ericaceae,,Acrotriche,,"divaricata",,"","R.Br.",Accepted,,M,WCSP (in review),744325,324803-1,"Prodr. Fl. Nov. Holl.","547","","1810"
kew-2620458,A,Ericaceae,,Acrotriche,,"dura",,"","(Benth.) Quinn",Accepted,,M,WCSP (in review),744326,77070466-1,"Austral. Syst. Bot.","18: 452","","2005"
kew-2620459,A,Ericaceae,,Acrotriche,,"fasciculiflora",,"","(Regel) Benth.",Accepted,,M,WCSP (in review),744327,324804-1,"Fl. Austral.","4: 229","","1868"
kew-2620460,A,Ericaceae,,Acrotriche,,"halmaturina",,"","B.R.Paterson",Accepted,,M,WCSP (in review),744328,324805-1,"Proc. Linn. Soc. New South Wales","85: 90","","1960"
kew-2606101,A,Ericaceae,,Acrotriche,,"lancifolia",,"","Hislop",Accepted,,M,WCSP (in review),730713,77091362-1,"Nuytsia","16: 290","","2007"
kew-2620462,A,Ericaceae,,Acrotriche,,"leucocarpa",,"","Jobson & Whiffin",Accepted,,M,WCSP (in review),744330,939820-1,"Muelleria","7: 295","","1990"
kew-2606102,A,Ericaceae,,Acrotriche,,"parviflora",,"","(Stschegl.) Hislop",Accepted,,M,WCSP (in review),730714,77091363-1,"Nuytsia","16: 294","","2007"
kew-2620466,A,Ericaceae,,Acrotriche,,"patula",,"","R.Br.",Accepted,,M,WCSP (in review),744334,324810-1,"Prodr. Fl. Nov. Holl.","547","","1810"
