ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-343473,A,Eriocaulaceae,,Actinocephalus,,"aggregatus",,"","F.N.Costa",Accepted,,H,WCSP,343473,60443076-2,"Novon","16: 212","","2006"
kew-217716,A,Eriocaulaceae,,Actinocephalus,,"bongardii",,"","(A.St.-Hil.) Sano",Accepted,,H,WCSP,217716,60427573-2,"Taxon","53: 100","","2004"
kew-217717,A,Eriocaulaceae,,Actinocephalus,,"brachypus",,"","(Bong.) Sano",Accepted,,H,WCSP,217717,60427574-2,"Taxon","53: 101","","2004"
kew-217718,A,Eriocaulaceae,,Actinocephalus,,"cabralensis",,"","(Silveira) Sano",Accepted,,H,WCSP,217718,60427575-2,"Taxon","53: 101","","2004"
kew-217719,A,Eriocaulaceae,,Actinocephalus,,"callophyllus",,"","(Silveira) Sano",Accepted,,H,WCSP,217719,60427576-2,"Taxon","53: 101","","2004"
kew-217720,A,Eriocaulaceae,,Actinocephalus,,"ciliatus",,"","(Bong.) Sano",Accepted,,H,WCSP,217720,60427577-2,"Taxon","53: 101","","2004"
kew-217721,A,Eriocaulaceae,,Actinocephalus,,"cipoensis",,"","(Silveira) Sano",Accepted,,H,WCSP,217721,60427578-2,"Taxon","53: 101","","2004"
kew-217722,A,Eriocaulaceae,,Actinocephalus,,"claussenianus",,"","(Körn.) Sano",Accepted,,H,WCSP,217722,60427579-2,"Taxon","53: 102","","2004"
kew-217723,A,Eriocaulaceae,,Actinocephalus,,"compactus",,"","(Gardner) Sano",Accepted,,H,WCSP,217723,60427580-2,"Taxon","53: 102","","2004"
kew-217724,A,Eriocaulaceae,,Actinocephalus,,"coutoensis",,"","(Moldenke) Sano",Accepted,,H,WCSP,217724,60427581-2,"Taxon","53: 102","","2004"
kew-343474,A,Eriocaulaceae,,Actinocephalus,,"deflexus",,"","F.N.Costa",Accepted,,H,WCSP,343474,60443078-2,"Novon","16: 214","","2006"
kew-217725,A,Eriocaulaceae,,Actinocephalus,,"denudatus",,"","(Körn.) Sano",Accepted,,H,WCSP,217725,60427582-2,"Taxon","53: 102","","2004"
kew-217726,A,Eriocaulaceae,,Actinocephalus,,"diffusus",,"","(Silveira) Sano",Accepted,,H,WCSP,217726,60427583-2,"Taxon","53: 102","","2004"
kew-217727,A,Eriocaulaceae,,Actinocephalus,,"divaricatus",,"","(Bong.) Sano",Accepted,,H,WCSP,217727,60427584-2,"Taxon","53: 102","","2004"
