ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2638964,A,Erythroxylaceae,,Aneulophus,,"africanus",,"","Benth.",Accepted,,M,WCSP (in review),762650,543892-1,"Gen. Pl.","1: 244","","1862"
kew-2638965,A,Erythroxylaceae,,Aneulophus,,"congoensis",,"","Gram",Accepted,,M,WCSP (in review),762651,336870-1,"Bot. Tidsskr.","42: 416","","1934"
kew-2801231,A,Erythroxylaceae,,Erythroxylum,,"acrobeles",,"","W.A.Gentner",Accepted,,M,WCSP (in review),920764,96866-2,"J. Wash. Acad. Sci.","47: 6","","1957"
kew-2801232,A,Erythroxylaceae,,Erythroxylum,,"acuminatum",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),920765,330119-2,"Fl. Peruv.","4: t. 399, f. b","","1830"
kew-2801235,A,Erythroxylaceae,,Erythroxylum,,"acutum",,"","W.A.Gentner",Accepted,,M,WCSP (in review),920768,96867-2,"J. Wash. Acad. Sci.","47: 6","","1957"
kew-2801236,A,Erythroxylaceae,,Erythroxylum,,"affine",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),920769,330121-2,"Fl. Bras. Merid.","2: 97","","1829"
kew-2801238,A,Erythroxylaceae,,Erythroxylum,,"alaternifolium",,"","A.Rich.",Accepted,,M,WCSP (in review),920771,96869-2,"Hist. Phys. Cuba, Pl. Vasc.","256","","1841"
kew-2801244,A,Erythroxylaceae,,Erythroxylum,,"amazonicum",,"","Peyr.",Accepted,,M,WCSP (in review),920777,276833-2,"Fl. Bras.","12(1): 167","","1878"
kew-2801245,A,Erythroxylaceae,,Erythroxylum,,"ambiguum",,"","Peyr.",Accepted,,M,WCSP (in review),920778,330122-2,"Fl. Bras.","12(1): 142","","1878"
kew-2801247,A,Erythroxylaceae,,Erythroxylum,,"amplifolium",,"","Baill.",Accepted,,M,WCSP (in review),920780,336888-1,"Bull. Mens. Soc. Linn. Paris","1: 599","","1886"
kew-2801251,A,Erythroxylaceae,,Erythroxylum,,"amplum",,"","Benth.",Accepted,,M,WCSP (in review),920784,330123-2,"London J. Bot.","2: 372","","1843"
kew-2801252,A,Erythroxylaceae,,Erythroxylum,,"ampullaceum",,"","Baker",Accepted,,M,WCSP (in review),920785,543993-1,"J. Linn. Soc., Bot.","22: 455","","1887"
kew-2801253,A,Erythroxylaceae,,Erythroxylum,,"anceps",,"","O.E.Schulz",Accepted,,M,WCSP (in review),920786,336889-1,"Pflanzenr.","IV, 134: 134","","1907"
kew-2801254,A,Erythroxylaceae,,Erythroxylum,,"andrei",,"","Plowman",Accepted,,M,WCSP (in review),920787,276834-2,"Fieldiana, Bot.","n.s., 19: 2","","1987"
kew-2801255,A,Erythroxylaceae,,Erythroxylum,,"anguifugum",,"","Mart.",Accepted,,M,WCSP (in review),920788,543994-1,"Flora","21(2 Beibl.): 84","","1838"
kew-2801257,A,Erythroxylaceae,,Erythroxylum,,"annamense",,"","Tardieu",Accepted,,M,WCSP (in review),920790,336890-1,"Notul. Syst. (Paris)","11: 134","","1943"
