ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641395,A,Escalloniaceae,,Anopterus,,"glandulosus",,"","Labill.",Accepted,,M,WCSP (in review),765081,,"Nov. Holl. Pl.","1: 86","","1805"
kew-2641396,A,Escalloniaceae,,Anopterus,,"macleayanus",,"","F.Muell.",Accepted,,M,WCSP (in review),765082,125028-3,"Quart. J. Trans. Pharm. Soc. Victoria","2(5): 43","","1859"
kew-2792394,A,Escalloniaceae,,Eremosyne,,"pectinata",,"","Endl.",Accepted,,M,WCSP (in review),911992,790973-1,"Enum. Pl. Hügel","53","","1837"
kew-2801745,A,Escalloniaceae,,Escallonia,,"alpina",,"","Poepp. ex DC.",Accepted,,M,WCSP (in review),921278,,"Prodr.","4: 665","","1830"
kew-2801746,A,Escalloniaceae,,Escallonia,,"alpina",var.,"carmelitana","(Meyen) Acevedo & Kausel",Accepted,,L,WCSP (in review),921279,97079-2,"Darwiniana","10: 247","","1953"
kew-2801748,A,Escalloniaceae,,Escallonia,,"alpina",var.,"glabrata","(Phil.) Sleumer",Accepted,,L,WCSP (in review),921281,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","58(2): 50","","1968"
kew-2801750,A,Escalloniaceae,,Escallonia,,"angustifolia",,"","C.Presl",Accepted,,M,WCSP (in review),921283,790980-1,"Reliq. Haenk.","2: 47","","1832"
kew-2801760,A,Escalloniaceae,,Escallonia,,"bifida",,"","Link & Otto",Accepted,,M,WCSP (in review),921293,,"Icon. Pl. Rar.","4: 45","","1828"
kew-2801761,A,Escalloniaceae,,Escallonia,×,"bracteata",,"","Phil.",Accepted,,M,WCSP (in review),921294,97086-2,"Anales Univ. Chile","85: 500","","1894"
kew-2801764,A,Escalloniaceae,,Escallonia,,"callcottiae",,"","Hook. & Arn.",Accepted,,M,WCSP (in review),921297,790993-1,"Bot. Misc.","3: 342","","1833"
kew-2801772,A,Escalloniaceae,,Escallonia,,"chlorophylla",,"","Cham. & Schltdl.",Accepted,,M,WCSP (in review),921305,791000-1,"Linnaea","1: 542","","1826"
