ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-127,A,Euphorbiaceae,,Acalypha,,"abingdonii",,"","Seberg",Accepted,,H,WCSP,127,1077-2,"Nordic J. Bot.","4: 178","","1984"
kew-129,A,Euphorbiaceae,,Acalypha,,"acapulcensis",,"","Fernald",Accepted,,H,WCSP,129,1078-2,"Proc. Amer. Acad. Arts","33: 87","","1897"
kew-130,A,Euphorbiaceae,,Acalypha,,"accedens",,"","Müll.Arg.",Accepted,,H,WCSP,130,337124-1,"Linnaea","34: 35","","1865"
kew-134,A,Euphorbiaceae,,Acalypha,,"acrogyna",,"","Pax",Accepted,,H,WCSP,134,337126-1,"Bot. Jahrb. Syst.","43: 323","","1909"
kew-137,A,Euphorbiaceae,,Acalypha,,"acuminata",,"","Benth.",Accepted,,L,WCSP,137,337127-1,"Hooker's J. Bot. Kew Gard. Misc.","6: 329","","1854"
kew-141,A,Euphorbiaceae,,Acalypha,,"adenostachya",,"","Müll.Arg.",Accepted,,H,WCSP,141,337133-1,"Linnaea","34: 21","","1865"
kew-150,A,Euphorbiaceae,,Acalypha,,"alchorneoides",,"","Rusby",Accepted,,H,WCSP,150,1087-2,"Bull. New York Bot. Gard.","8: 101","","1912"
kew-152,A,Euphorbiaceae,,Acalypha,,"alexandri",,"","Urb.",Accepted,,H,WCSP,152,1088-2,"Symb. Antill.","5: 387","","1908"
kew-153,A,Euphorbiaceae,,Acalypha,,"aliena",,"","Brandegee",Accepted,,H,WCSP,153,1089-2,"Proc. Calif. Acad. Sci.","II, 3: 172","","1891"
kew-154,A,Euphorbiaceae,,Acalypha,,"allenii",,"","Hutch.",Accepted,,H,WCSP,154,337146-1,"Bull. Misc. Inform. Kew","1911: 229","","1911"
kew-155,A,Euphorbiaceae,,Acalypha,,"alnifolia",,"","Poir.",Accepted,,H,WCSP,155,337147-1,"Encycl.","6: 203","","1804"
tro-12802420,A,Euphorbiaceae,,Acalypha,,"alopecuroidea",,"","Jacq.",Accepted,,M,TRO,12802420,337150-1,"Icon. Pl. Rar.","3(9): pl. 620","pl. 620","1792"
kew-158,A,Euphorbiaceae,,Acalypha,,"alopecuroides",,"","Jacq.",Accepted,,H,WCSP,158,,"Icon. Pl. Rar.","3: 19","","1790"
kew-162,A,Euphorbiaceae,,Acalypha,,"ambigua",,"","Pax",Accepted,,H,WCSP,162,337151-1,"Bot. Jahrb. Syst.","19: 96","","1894"
kew-163,A,Euphorbiaceae,,Acalypha,,"amblyodonta",,"","(Müll.Arg.) Müll.Arg.",Accepted,,H,WCSP,163,337152-1,"Fl. Bras.","11(2): 365","","1874"
kew-169,A,Euphorbiaceae,,Acalypha,,"amentacea",,"","Roxb.",Accepted,,H,WCSP,169,337154-1,"Fl. Ind. ed. 1832","3: 676","","1832"
kew-170,A,Euphorbiaceae,,Acalypha,,"amentacea",var.,"amentacea","",Accepted,,L,WCSP,170,,"Unknown","","",""
