ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-34949,A,Fagaceae,,Castanea,,"crenata",,"","Siebold & Zucc.",Accepted,,H,WCSP,34949,30319741-2,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 324","","1846"
kew-34965,A,Fagaceae,,Castanea,,"dentata",,"","(Marshall) Borkh.",Accepted,,H,WCSP,34965,295320-1,"Theor. Prakt. Handb. Forstbot.","1: 741","","1800"
kew-34986,A,Fagaceae,,Castanea,,"henryi",,"","(Skan) Rehder & E.H.Wilson",Accepted,,H,WCSP,34986,358295-1,"Pl. Wilson.","3: 196","","1916"
kew-35016,A,Fagaceae,,Castanea,,"mollissima",,"","Blume",Accepted,,H,WCSP,35016,295338-1,"Mus. Bot.","1: 286","","1851"
kew-35020,A,Fagaceae,,Castanea,×,"neglecta",,"","Dode",Accepted,,H,WCSP,35020,49294-2,"Bull. Soc. Dendrol. France","1908: 155","","1908"
kew-35021,A,Fagaceae,,Castanea,,"ozarkensis",,"","Ashe",Accepted,,H,WCSP,35021,274190-2,"Bull. Torrey Bot. Club","50: 360","","1923"
kew-35028,A,Fagaceae,,Castanea,,"pumila",,"","(L.) Mill.",Accepted,,H,WCSP,35028,30006331-2,"Gard. Dict. ed. 8","2","","1768"
kew-35042,A,Fagaceae,,Castanea,,"sativa",,"","Mill.",Accepted,,H,WCSP,35042,295349-1,"Gard. Dict. ed. 8","1","","1768"
kew-35054,A,Fagaceae,,Castanea,,"seguinii",,"","Dode",Accepted,,H,WCSP,35054,358308-1,"Bull. Soc. Dendrol. France","1908: 152","","1908"
kew-35082,A,Fagaceae,,Castanopsis,,"acuminatissima",,"","(Blume) A.DC.",Accepted,,H,WCSP,35082,295374-1,"J. Bot.","1: 182","","1863"
kew-35083,A,Fagaceae,,Castanopsis,,"amabilis",,"","W.C.Cheng & C.S.Chao",Accepted,,H,WCSP,35083,928333-1,"Sci. Silvae Sin.","8: 5","","1963"
kew-35085,A,Fagaceae,,Castanopsis,,"annamensis",,"","Hickel & A.Camus",Accepted,,H,WCSP,35085,358314-1,"Bull. Soc. Bot. France","68: 396","","1921 publ. 1922"
kew-35086,A,Fagaceae,,Castanopsis,,"argentea",,"","(Blume) A.DC.",Accepted,,H,WCSP,35086,295375-1,"J. Bot.","1: 182","","1863"
tro-13100718,A,Fagaceae,,Castanopsis,,"argyi",,"","(H. Lév.) H. Lév.",Accepted,,M,TRO,13100718,,"","","",""
kew-35088,A,Fagaceae,,Castanopsis,,"argyrophylla",,"","King ex Hook.f.",Accepted,,H,WCSP,35088,295363-1,"Fl. Brit. India","5: 622","","1888"
kew-35089,A,Fagaceae,,Castanopsis,,"arietina",,"","Hickel & A.Camus",Accepted,,H,WCSP,35089,358316-1,"Bull. Mus. Natl. Hist. Nat.","29: 535","","1923"
kew-35090,A,Fagaceae,,Castanopsis,,"armata",,"","(Roxb.) Spach",Accepted,,H,WCSP,35090,295376-1,"Hist. Nat. Vég.","11: 185","","1842"
kew-35094,A,Fagaceae,,Castanopsis,,"birmanica",,"","A.Camus",Accepted,,H,WCSP,35094,358320-1,"Bull. Mus. Natl. Hist. Nat.","II, 3: 688","","1931"
kew-35097,A,Fagaceae,,Castanopsis,,"boisii",,"","Hickel & A.Camus",Accepted,,H,WCSP,35097,358323-1,"Bull. Soc. Bot. France","68: 396","","1921 publ. 1922"
kew-35098,A,Fagaceae,,Castanopsis,,"borneensis",,"","King",Accepted,,H,WCSP,35098,295364-1,"Ann. Roy. Bot. Gard. (Calcutta)","2: 99","","1889"
kew-35104,A,Fagaceae,,Castanopsis,,"brevispinula",,"","Hickel & A.Camus",Accepted,,H,WCSP,35104,,"Bull. Soc. Bot. France","68: 395","","1921 publ. 1922"
kew-35106,A,Fagaceae,,Castanopsis,,"buruana",,"","Miq.",Accepted,,H,WCSP,35106,295378-1,"Ann. Mus. Bot. Lugduno-Batavi","1: 120","","1863"
kew-35108,A,Fagaceae,,Castanopsis,,"calathiformis",,"","(Skan) Rehder & E.H.Wilson",Accepted,,H,WCSP,35108,358330-1,"Pl. Wilson.","3: 204","","1916"
kew-35109,A,Fagaceae,,Castanopsis,,"cambodiana",,"","A.Chev.",Accepted,,H,WCSP,35109,358331-1,"Bull. Mus. Natl. Hist. Nat.","29: 535","","1923"
kew-35110,A,Fagaceae,,Castanopsis,,"carlesii",,"","(Hemsl.) Hayata",Accepted,,H,WCSP,35110,358333-1,"Icon. Pl. Formosan.","6(Suppl.): 72","","1917"
tro-13100760,A,Fagaceae,,Castanopsis,,"carlesii",var.,"carlesii","",Accepted,,L,TRO,13100760,,"","","",""
kew-35114,A,Fagaceae,,Castanopsis,,"castanicarpa",,"","(Roxb.) Spach",Accepted,,H,WCSP,35114,295379-1,"Hist. Nat. Vég.","11: 185","","1842"
kew-35115,A,Fagaceae,,Castanopsis,,"catappifolia",,"","King ex Hook.f.",Accepted,,H,WCSP,35115,,"Fl. Brit. India","5: 621","","1888"
kew-35117,A,Fagaceae,,Castanopsis,,"cavaleriei",,"","H.Lév.",Accepted,,H,WCSP,35117,358334-1,"Repert. Spec. Nov. Regni Veg.","12: 506","","1913"
kew-35118,A,Fagaceae,,Castanopsis,,"ceratacantha",,"","Rehder & E.H.Wilson",Accepted,,H,WCSP,35118,358335-1,"Pl. Wilson.","3: 199","","1916"
kew-35121,A,Fagaceae,,Castanopsis,,"cerebrina",,"","(Hickel & A.Camus) Barnett",Accepted,,H,WCSP,35121,358336-1,"Trans. & Proc. Bot. Soc. Edinburgh","34: 183","","1944"
kew-35122,A,Fagaceae,,Castanopsis,,"chapaensis",,"","Luong",Accepted,,H,WCSP,35122,,"Novosti Sist. Vyssh. Rast.","1965: 108","","1965"
kew-35124,A,Fagaceae,,Castanopsis,,"chevalieri",,"","Hickel & A.Camus",Accepted,,H,WCSP,35124,358339-1,"Bull. Soc. Bot. France","68: 401","","1921 publ. 1922"
kew-35126,A,Fagaceae,,Castanopsis,,"chinensis",,"","(Spreng.) Hance",Accepted,,H,WCSP,35126,295381-1,"J. Linn. Soc., Bot.","10: 199","","1869"
kew-35128,A,Fagaceae,,Castanopsis,,"choboensis",,"","Hickel & A.Camus",Accepted,,H,WCSP,35128,358343-1,"Notul. Syst. (Paris)","4: 122","","1928"
kew-35133,A,Fagaceae,,Castanopsis,,"chunii",,"","W.C.Cheng",Accepted,,H,WCSP,35133,928332-1,"Sci. Silvae Sin.","8: 5","","1963"
kew-35134,A,Fagaceae,,Castanopsis,,"clarkei",,"","King ex Hook.f.",Accepted,,H,WCSP,35134,295366-1,"Fl. Brit. India","5: 623","","1888"
kew-35136,A,Fagaceae,,Castanopsis,,"clarkei",var.,"pseudindica","(Hickel & A.Camus) A.Camus",Accepted,,L,WCSP,35136,,"Chataigniers","Atlas: t. 42","","1929"
kew-35137,A,Fagaceae,,Castanopsis,,"clemensii",,"","Soepadmo",Accepted,,H,WCSP,35137,358345-1,"Reinwardtia","7: 388","","1968"
kew-35138,A,Fagaceae,,Castanopsis,,"concinna",,"","(Champ. ex Benth.) A.DC.",Accepted,,H,WCSP,35138,295383-1,"J. Bot.","1: 182","","1863"
kew-35141,A,Fagaceae,,Castanopsis,,"costata",,"","(Blume) A.DC.",Accepted,,H,WCSP,35141,295384-1,"J. Bot.","1: 182","","1863"
kew-35143,A,Fagaceae,,Castanopsis,,"crassifolia",,"","Hickel & A.Camus",Accepted,,H,WCSP,35143,358348-1,"Notul. Syst. (Paris)","4: 122","","1928"
