ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-17862,A,Garryaceae,,Aucuba,,"albopunctifolia",,"","F.T.Wang",Accepted,,H,WCSP,17862,271444-1,"Contr. Inst. Bot. Natl. Acad. Peiping","6: 203","","1949"
kew-17866,A,Garryaceae,,Aucuba,,"chinensis",,"","Benth.",Accepted,,H,WCSP,17866,271445-1,"Fl. Hongk.","138","","1861"
kew-17867,A,Garryaceae,,Aucuba,,"chinensis",var.,"angusta","F.T.Wang",Accepted,,L,WCSP,17867,,"Contr. Inst. Bot. Natl. Acad. Peiping","6: 201","","1949"
kew-17869,A,Garryaceae,,Aucuba,,"chinensis",var.,"chinensis","",Accepted,,L,WCSP,17869,,"Unknown","","",""
kew-17874,A,Garryaceae,,Aucuba,,"chlorascens",,"","F.T.Wang",Accepted,,H,WCSP,17874,271446-1,"Contr. Inst. Bot. Natl. Acad. Peiping","6: 201","","1949"
kew-17875,A,Garryaceae,,Aucuba,,"confertiflora",,"","W.P.Fang & Soong",Accepted,,H,WCSP,17875,20010603-1,"J. Sichuan Univ., Nat. Sci. Ed.","1: 68","","1982"
kew-17876,A,Garryaceae,,Aucuba,,"eriobotryifolia",,"","F.T.Wang",Accepted,,H,WCSP,17876,271448-1,"Contr. Inst. Bot. Natl. Acad. Peiping","6: 206","","1949"
kew-17877,A,Garryaceae,,Aucuba,,"filicauda",,"","Chun & F.C.How",Accepted,,H,WCSP,17877,271449-1,"Acta Phytotax. Sin.","7: 70","","1958"
kew-273523,A,Garryaceae,,Aucuba,,"filicauda",var.,"filicauda","",Accepted,,L,WCSP,273523,,"Unknown","","",""
kew-17880,A,Garryaceae,,Aucuba,,"himalaica",,"","Hook.f. & Thomson",Accepted,,H,WCSP,17880,271450-1,"Ill. Himal. Pl.","t. 12","","1855"
kew-17882,A,Garryaceae,,Aucuba,,"himalaica",var.,"oblanceolata","W.P.Fang & Soong",Accepted,,L,WCSP,17882,916129-1,"in Fl. Sichuanica","1: 474","","1981"
kew-17884,A,Garryaceae,,Aucuba,,"japonica",,"","Thunb.",Accepted,,H,WCSP,17884,271451-1,"Nov. Gen. Pl.","3: 61","","1783"
kew-17887,A,Garryaceae,,Aucuba,,"japonica",var.,"japonica","",Accepted,,L,WCSP,17887,,"Unknown","","",""
kew-17889,A,Garryaceae,,Aucuba,,"japonica",var.,"ovoidea","Koidz.",Accepted,,L,WCSP,17889,,"Fl. Austro-Higo.","43","","1931"
kew-17894,A,Garryaceae,,Aucuba,,"obcordata",,"","(Rehder) K.T.Fu ex W.K.Hu & Soong",Accepted,,H,WCSP,17894,908368-1,"in Fl. Sichuanica","1: 395","","1981"
kew-17896,A,Garryaceae,,Aucuba,,"robusta",,"","W.P.Fang & Soong",Accepted,,H,WCSP,17896,20010606-1,"J. Sichuan Univ., Nat. Sci. Ed.","1: 70","","1982"
kew-246722,A,Garryaceae,,Garrya,,"buxifolia",,"","A.Gray",Accepted,,H,WCSP,246722,271779-1,"Proc. Amer. Acad. Arts","7: 349","","1868"
kew-246723,A,Garryaceae,,Garrya,,"congdonii",,"","Eastw.",Accepted,,H,WCSP,246723,107469-2,"Bot. Gaz.","36: 459","","1903"
kew-246724,A,Garryaceae,,Garrya,,"corvorum",,"","Standl. & Steyerm.",Accepted,,H,WCSP,246724,107470-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23: 16","","1943"
kew-246725,A,Garryaceae,,Garrya,,"elliptica",,"","Douglas ex Lindl.",Accepted,,H,WCSP,246725,271782-1,"Edwards's Bot. Reg.","20: t. 1686","","1834"
kew-246726,A,Garryaceae,,Garrya,,"fadyenia",,"","Hook.",Accepted,,H,WCSP,246726,,"Hooker's Icon. Pl.","4: t. 333","","1840"
kew-246727,A,Garryaceae,,Garrya,,"flavescens",,"","S.Watson",Accepted,,H,WCSP,246727,271784-1,"Amer. Naturalist","7: 301","","1873"
kew-246728,A,Garryaceae,,Garrya,,"fremontii",,"","Torr.",Accepted,,H,WCSP,246728,271785-1,"Pacif. Railr. Rep. Parke, Bot.","4: 136","","1857"
kew-246729,A,Garryaceae,,Garrya,,"glaberrima",,"","Wangerin",Accepted,,H,WCSP,246729,107478-2,"Pflanzenr.","IV, 56a: 12","","1910"
