ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2621806,A,Gentianaceae,,Adenolisianthus,,"arboreus",,"","(Spruce ex Progel) Gilg",Accepted,,M,WCSP (in review),745667,4365-2,"Nat. Pflanzenfam.","4(2): 98","","1895"
kew-2628445,A,Gentianaceae,,Aliopsis,,"pygmaea",,"","(Regel & Schmalh.) Omer & Qaiser",Accepted,,M,WCSP (in review),752271,963350-1,"Willdenowia","21: 190","","1991"
kew-2641612,A,Gentianaceae,,Anthocleista,,"amplexicaulis",,"","Baker",Accepted,,M,WCSP (in review),765298,545599-1,"J. Linn. Soc., Bot.","22: 506","","1887"
kew-2641618,A,Gentianaceae,,Anthocleista,,"djalonensis",,"","A.Chev.",Accepted,,M,WCSP (in review),765304,545605-1,"Bull. Soc. Bot. France","55(8): 47","","1908"
kew-2641623,A,Gentianaceae,,Anthocleista,,"grandiflora",,"","Gilg",Accepted,,M,WCSP (in review),765309,545611-1,"Bot. Jahrb. Syst.","17: 582","","1893"
kew-2641634,A,Gentianaceae,,Anthocleista,,"laxiflora",,"","Baker",Accepted,,M,WCSP (in review),765320,545622-1,"Bull. Misc. Inform. Kew","1895: 99","","1895"
kew-2641635,A,Gentianaceae,,Anthocleista,,"liebrechtsiana",,"","De Wild. & T.Durand",Accepted,,M,WCSP (in review),765321,545623-1,"Bull. Soc. Roy. Bot. Belgique","Compt. Rend. 38: 96","","1899"
kew-2641636,A,Gentianaceae,,Anthocleista,,"longifolia",,"","(Lam.) Boiteau",Accepted,,M,WCSP (in review),765322,545624-1,"Adansonia","n.s., 13: 250","","1973"
kew-2641640,A,Gentianaceae,,Anthocleista,,"madagascariensis",,"","Baker",Accepted,,M,WCSP (in review),765326,545628-1,"J. Bot.","20: 173","","1882"
kew-2641643,A,Gentianaceae,,Anthocleista,,"microphylla",,"","Wernham",Accepted,,M,WCSP (in review),765329,545632-1,"Cat. Pl. Oban","67","","1913"
