ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2691873,A,Geraniaceae,,California,,"macrophylla",,"","(Hook. & Arn.) Aldasoro & al.",Accepted,,M,WCSP (in review),815172,,"Anales Jard. Bot. Madrid","59: 213","","2001 publ. 2002"
kew-2798071,A,Geraniaceae,,Erodium,,"absinthoides",,"","Willd.",Accepted,,M,WCSP (in review),917663,372130-1,"Sp. Pl.","3: 627","","1800"
kew-2798074,A,Geraniaceae,,Erodium,,"absinthoides",subsp.,"armenum","(Trautv.) P.H.Davis",Accepted,,L,WCSP (in review),917666,,"Notes Roy. Bot. Gard. Edinburgh","28: 36","","1967"
kew-2798076,A,Geraniaceae,,Erodium,,"absinthoides",subsp.,"balcanicum","(Micevski) Greuter & Burdet",Accepted,,L,WCSP (in review),917668,952692-1,"Med. Checklist","3: 249","","1986"
kew-2798079,A,Geraniaceae,,Erodium,,"absinthoides",subsp.,"haradjianii","(P.H.Davis) P.H.Davis",Accepted,,L,WCSP (in review),917671,,"Notes Roy. Bot. Gard. Edinburgh","28: 36","","1967"
kew-2798081,A,Geraniaceae,,Erodium,,"absinthoides",subsp.,"latifolium","(P.H.Davis) P.H.Davis",Accepted,,L,WCSP (in review),917673,,"Notes Roy. Bot. Gard. Edinburgh","28: 36","","1967"
kew-2798083,A,Geraniaceae,,Erodium,,"acaule",,"","(L.) Bech. & Thell.",Accepted,,M,WCSP (in review),917675,372131-1,"Repert. Spec. Nov. Regni Veg.","25: 215","","1928"
kew-2798084,A,Geraniaceae,,Erodium,,"adenophorum",,"","Blatt.",Accepted,,M,WCSP (in review),917676,372132-1,"J. Bombay Nat. Hist. Soc.","36: 476","","1933"
kew-2798086,A,Geraniaceae,,Erodium,,"aethiopicum",,"","(Lam.) Brumh. & Thell.",Accepted,,M,WCSP (in review),917678,372134-1,"Mém. Soc. Sci. Nat. Cherbourg","IV, 38: 352","","1912"
kew-2798089,A,Geraniaceae,,Erodium,,"aguilellae",,"","López Udias, Fabregat & G.Mateo",Accepted,,M,WCSP (in review),917681,999775-1,"in Fl. Montiberica","8: 71","","1998"
kew-2798094,A,Geraniaceae,,Erodium,,"alnifolium",,"","Guss.",Accepted,,M,WCSP (in review),917686,372141-1,"Fl. Sicul. Prodr.","2: 307","","1828"
kew-2798095,A,Geraniaceae,,Erodium,,"alpinum",,"","(Burm.f.) L'Hér.",Accepted,,M,WCSP (in review),917687,372143-1,"Geraniologia","t. 3","","1792"
kew-2798100,A,Geraniaceae,,Erodium,,"amanum",,"","Boiss. & Kotschy",Accepted,,M,WCSP (in review),917692,372147-1,"Fl. Orient.","1: 887","","1867"
kew-2798107,A,Geraniaceae,,Erodium,,"angustilobum",,"","Carolin",Accepted,,M,WCSP (in review),917699,372151-1,"Proc. Linn. Soc. New South Wales","94: 212","","1970"
kew-2798109,A,Geraniaceae,,Erodium,,"anthemidifolium",,"","M.Bieb.",Accepted,,M,WCSP (in review),917701,372153-1,"Fl. Taur.-Caucas.","2: 131","","1808"
kew-2798114,A,Geraniaceae,,Erodium,,"arborescens",,"","(Desf.) Willd.",Accepted,,M,WCSP (in review),917706,372158-1,"Sp. Pl.","3: 638","","1800"
kew-2798120,A,Geraniaceae,,Erodium,,"asplenioides",,"","(Desf.) Willd.",Accepted,,M,WCSP (in review),917712,372164-1,"Sp. Pl.","3: 635","","1800"
kew-2798122,A,Geraniaceae,,Erodium,,"astragaloides",,"","Boiss. & Reut.",Accepted,,M,WCSP (in review),917714,372166-1,"Pugill. Pl. Afr. Bor. Hispan.","130","","1852"
kew-2798123,A,Geraniaceae,,Erodium,,"atlanticum",,"","Coss.",Accepted,,M,WCSP (in review),917715,372167-1,"Bull. Soc. Bot. France","22: 56","","1875"
kew-2798124,A,Geraniaceae,,Erodium,,"atlanticum",var.,"cossonii","(Guitt. & Mathez) Dobignard",Accepted,,L,WCSP (in review),917716,77065638-1,"J. Bot. Soc. Bot. France","28: 29","","2004"
kew-2798126,A,Geraniaceae,,Erodium,,"aureum",,"","Carolin",Accepted,,M,WCSP (in review),917718,372169-1,"Proc. Linn. Soc. New South Wales","83: 92","","1958"
kew-2604454,A,Geraniaceae,,Erodium,,"aytacii",,"","Yild. & Dogru-Koca",Accepted,,M,WCSP (in review),729106,77080661-1,"Ot Sist. Bot. Dergisi","11(1): 3","","2004"
kew-2798131,A,Geraniaceae,,Erodium,,"battandierianum",,"","Rouy",Accepted,,M,WCSP (in review),917723,,"Naturaliste","II, 19: 15","","1897"
kew-2798132,A,Geraniaceae,,Erodium,,"beketowii",,"","Schmalh.",Accepted,,M,WCSP (in review),917724,372175-1,"Fl. Sredn. Yuzhn. Rossii","1: 198","","1895"
kew-2798136,A,Geraniaceae,,Erodium,,"birandianum",,"","Ilarslan & Yurdak.",Accepted,,M,WCSP (in review),917728,981279-1,"Fl. Medit.","4: 167","","1994"
kew-2798138,A,Geraniaceae,,Erodium,,"boissieri",,"","Coss.",Accepted,,M,WCSP (in review),917730,,"Bull. Soc. Bot. France","20: 244","","1873"
kew-2798139,A,Geraniaceae,,Erodium,×,"bolosii",,"","Romo",Accepted,,M,WCSP (in review),917731,938977-1,"Fl. Veg. Montsec","177","","1989"
kew-2798142,A,Geraniaceae,,Erodium,,"botrys",,"","(Cav.) Bertol.",Accepted,,M,WCSP (in review),917734,372185-1,"Amoen. Ital.","35","","1819"
kew-2798149,A,Geraniaceae,,Erodium,,"brachycarpum",,"","(Godr.) Thell.",Accepted,,M,WCSP (in review),917741,96196-2,"Rep. Bot. Soc. Exch. Club Brit. Isles","5: 17","","1917 publ. 1918"
kew-2798159,A,Geraniaceae,,Erodium,,"carvifolium",,"","Boiss. & Reut.",Accepted,,M,WCSP (in review),917751,372198-1,"Diagn. Pl. Nov. Hisp.","9","","1842"
kew-2798160,A,Geraniaceae,,Erodium,,"castellanum",,"","(Pau) Guitt.",Accepted,,M,WCSP (in review),917752,372199-1,"Boissiera","20: 117","","1972"
