ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2614997,A,Gesneriaceae,,Acanthonema,,"diandrum",,"","(Engl.) B.L.Burtt",Accepted,,M,WCSP (in review),738868,909869-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","3: 416","","1981 publ. 1982"
kew-2614998,A,Gesneriaceae,,Acanthonema,,"strigosum",,"","Hook.f.",Accepted,,M,WCSP (in review),738869,377553-1,"Bot. Mag.","88: t. 5339","","1862"
tro-50259716,A,Gesneriaceae,,Achimenantha,,"naegelioides",,"","(Van Houtte) H.E. Moore",Accepted,,M,TRO,50259716,377555-1,"Baileya","19: 36","36","1973"
kew-2617267,A,Gesneriaceae,,Achimenes,,"admirabilis",,"","Wiehler",Accepted,,M,WCSP (in review),741139,301990-2,"Phytologia","73: 220","","1992"
kew-2617273,A,Gesneriaceae,,Achimenes,,"antirrhina",,"","(DC.) C.V.Morton",Accepted,,M,WCSP (in review),741145,2342-2,"Bull. Misc. Inform. Kew","1936: 11","","1936"
kew-2617278,A,Gesneriaceae,,Achimenes,,"brevifolia",,"","C.V.Morton",Accepted,,M,WCSP (in review),741150,2344-2,"Bull. Misc. Inform. Kew","1938: 292","","1938"
kew-2617281,A,Gesneriaceae,,Achimenes,,"candida",,"","Lindl.",Accepted,,M,WCSP (in review),741153,377570-1,"J. Hort. Soc. London","3: 317","","1848"
kew-2617283,A,Gesneriaceae,,Achimenes,,"cettoana",,"","H.E.Moore",Accepted,,M,WCSP (in review),741155,2347-2,"Baileya","8: 144","","1961"
kew-2617295,A,Gesneriaceae,,Achimenes,,"dulcis",,"","C.V.Morton",Accepted,,M,WCSP (in review),741167,2350-2,"Bull. Misc. Inform. Kew","1938: 293","","1938"
tro-50146487,A,Gesneriaceae,,Achimenes,,"elota",,"","Denham",Accepted,,M,TRO,50146487,,"","","",""
kew-2617298,A,Gesneriaceae,,Achimenes,,"erecta",,"","(Lam.) H.P.Fuchs",Accepted,,M,WCSP (in review),741170,2352-2,"Acta Bot. Neerl.","12: 15","","1963"
kew-2617301,A,Gesneriaceae,,Achimenes,,"fimbriata",,"","Rose ex C.V.Morton",Accepted,,M,WCSP (in review),741173,2354-2,"Bull. Misc. Inform. Kew","1936: 12","","1936"
kew-2617303,A,Gesneriaceae,,Achimenes,,"flava",,"","C.V.Morton",Accepted,,M,WCSP (in review),741175,2356-2,"Bull. Misc. Inform. Kew","1936: 13","","1936"
kew-2617309,A,Gesneriaceae,,Achimenes,,"glabrata",,"","(Zucc.) Fitzg.",Accepted,,M,WCSP (in review),741181,,"Nat. Pflanzenfam.","4(36): 174","","1894"
kew-2617313,A,Gesneriaceae,,Achimenes,,"grandiflora",,"","(Schiede) DC.",Accepted,,M,WCSP (in review),741185,377597-1,"Prodr.","7(2): 536","","1839"
kew-2617323,A,Gesneriaceae,,Achimenes,,"heterophylla",,"","(Mart.) DC.",Accepted,,M,WCSP (in review),741195,377601-1,"Prodr.","7(2): 536","","1839"
kew-2617325,A,Gesneriaceae,,Achimenes,,"hintoniana",,"","Ram.-Roa & L.E.Skog",Accepted,,M,WCSP (in review),741197,324867-2,"Novon","12: 382","","2002"
kew-2617338,A,Gesneriaceae,,Achimenes,,"longiflora",,"","DC.",Accepted,,M,WCSP (in review),741210,377615-1,"Prodr.","7(2): 536","","1839"
kew-2617353,A,Gesneriaceae,,Achimenes,,"mexicana",,"","(Seem.) Benth. & Hook.f. ex Fritsch",Accepted,,M,WCSP (in review),741225,377622-1,"Nat. Pflanzenfam.","4(3)b: 174","","1894"
kew-2617355,A,Gesneriaceae,,Achimenes,,"misera",,"","Lindl.",Accepted,,M,WCSP (in review),741227,377624-1,"J. Hort. Soc. London","3: 319","","1848"
kew-2617359,A,Gesneriaceae,,Achimenes,,"nayaritensis",,"","L.E.Skog",Accepted,,M,WCSP (in review),741231,271519-2,"Opera Bot.","92: 225","","1987"
kew-2617360,A,Gesneriaceae,,Achimenes,,"obscura",,"","C.V.Morton",Accepted,,M,WCSP (in review),741232,2380-2,"Bull. Misc. Inform. Kew","1936: 14","","1936"
kew-2617361,A,Gesneriaceae,,Achimenes,,"occidentalis",,"","C.V.Morton",Accepted,,M,WCSP (in review),741233,2381-2,"Baileya","10: 153","","1963"
kew-2617364,A,Gesneriaceae,,Achimenes,,"patens",,"","Benth.",Accepted,,M,WCSP (in review),741236,377632-1,"Pl. Hartw.","67","","1840"
kew-2617368,A,Gesneriaceae,,Achimenes,,"pedunculata",,"","Benth.",Accepted,,M,WCSP (in review),741240,377634-1,"Pl. Hartw.","78","","1841"
tro-50259891,A,Gesneriaceae,,Achimenes,×,"sanguinea",,"","(hort. ex Hanst.) Regel ex Hanst.",Accepted,,M,TRO,50259891,,"Linnaea","27: 776","776","1856"
kew-2617378,A,Gesneriaceae,,Achimenes,,"saxicola",,"","(Brandegee) C.V.Morton",Accepted,,M,WCSP (in review),741250,2392-2,"Bull. Misc. Inform. Kew","1936: 14","","1936"
kew-2617383,A,Gesneriaceae,,Achimenes,,"skinneri",,"","Lindl.",Accepted,,M,WCSP (in review),741255,,"J. Hort. Soc. London","3: 320","","1848"
kew-2617395,A,Gesneriaceae,,Achimenes,,"warszewicziana",,"","(Regel) H.E.Moore",Accepted,,M,WCSP (in review),741267,2396-2,"Baileya","10: 45","","1962"
kew-2617396,A,Gesneriaceae,,Achimenes,,"woodii",,"","C.V.Morton",Accepted,,M,WCSP (in review),741268,2397-2,"Baileya","10: 49","","1962"
kew-2623754,A,Gesneriaceae,,Aeschynanthus,,"acuminatissimus",,"","W.T.Wang",Accepted,,M,WCSP (in review),747610,377661-1,"Acta Phytotax. Sin.","13(2): 64","","1975"
kew-2623756,A,Gesneriaceae,,Aeschynanthus,,"acuminatus",,"","Wall. ex A.DC.",Accepted,,M,WCSP (in review),747611,,"Prodr.","9: 263","","1845"
kew-2623757,A,Gesneriaceae,,Aeschynanthus,,"albidus",,"","(Blume) Steud.",Accepted,,M,WCSP (in review),747612,377663-1,"Nomencl. Bot.","ed. 2, 1: 32","","1840"
kew-2623759,A,Gesneriaceae,,Aeschynanthus,,"amboinensis",,"","(Merr.) Mendum",Accepted,,L,WCSP (in review),747614,1004410-1,"Edinburgh J. Bot.","55: 363","","1998"
kew-2623760,A,Gesneriaceae,,Aeschynanthus,,"amoenus",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747615,377665-1,"Monogr. Phan.","5: 47","","1883"
kew-2623762,A,Gesneriaceae,,Aeschynanthus,,"andersonii",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747617,377666-1,"Commelyn. Cyrtandr. Bengal.","t. 48","","1874"
kew-2623763,A,Gesneriaceae,,Aeschynanthus,,"angustifolius",,"","(Blume) Steud.",Accepted,,L,WCSP (in review),747618,377667-1,"Nomencl. Bot.","ed. 2, 1: 32","","1840"
kew-2623764,A,Gesneriaceae,,Aeschynanthus,,"angustioblongus",,"","W.T.Wang",Accepted,,M,WCSP (in review),747619,377668-1,"Acta Phytotax. Sin.","13(2): 64","","1975"
kew-2623766,A,Gesneriaceae,,Aeschynanthus,,"apicidens",,"","Hance",Accepted,,M,WCSP (in review),747621,377669-1,"J. Bot.","21: 167","","1883"
kew-2623767,A,Gesneriaceae,,Aeschynanthus,,"arctocalyx",,"","Mendum & Madulid",Accepted,,M,WCSP (in review),747622,985660-1,"Edinburgh J. Bot.","52: 343","","1995"
kew-2623768,A,Gesneriaceae,,Aeschynanthus,,"arfakensis",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747623,377670-1,"Monogr. Phan.","5: 36","","1887"
kew-2623769,A,Gesneriaceae,,Aeschynanthus,,"argentii",,"","Mendum",Accepted,,M,WCSP (in review),747624,1008211-1,"Edinburgh J. Bot.","56: 265","","1999"
kew-2623770,A,Gesneriaceae,,Aeschynanthus,,"asclepioides",,"","(Elmer) B.L.Burtt & P.Woods",Accepted,,L,WCSP (in review),747625,377671-1,"Notes Roy. Bot. Gard. Edinburgh","33: 480","","1975"
kew-2623772,A,Gesneriaceae,,Aeschynanthus,,"atrorubens",,"","Schltr.",Accepted,,M,WCSP (in review),747627,377674-1,"Bot. Jahrb. Syst.","58: 278","","1923"
kew-2623773,A,Gesneriaceae,,Aeschynanthus,,"atrosanguineus",,"","Van Houtte ex C.B.Clarke",Accepted,,M,WCSP (in review),747628,,"Monogr. Phan.","5: 52","","1883"
kew-2623778,A,Gesneriaceae,,Aeschynanthus,,"batakiorum",,"","Mendum & Madulid",Accepted,,M,WCSP (in review),747633,1008213-1,"Edinburgh J. Bot.","56: 269","","1999"
kew-2623779,A,Gesneriaceae,,Aeschynanthus,,"batesii",,"","Mendum",Accepted,,M,WCSP (in review),747634,60431173-2,"Edinburgh J. Bot.","60: 324","","2003 publ. 2004"
kew-2623783,A,Gesneriaceae,,Aeschynanthus,,"brachyphyllus",,"","S.Moore",Accepted,,M,WCSP (in review),747638,377683-1,"Trans. Linn. Soc. London, Bot.","9: 123","","1916"
kew-2623784,A,Gesneriaceae,,Aeschynanthus,,"bracteatus",,"","Wall. ex A.DC.",Accepted,,M,WCSP (in review),747639,,"Prodr.","9: 261","","1845"
kew-2623787,A,Gesneriaceae,,Aeschynanthus,,"brevicalyx",,"","Miq.",Accepted,,M,WCSP (in review),747642,377686-1,"Fl. Ned. Ind.","2: 720","","1858"
kew-2623788,A,Gesneriaceae,,Aeschynanthus,,"breviflorus",,"","(S.Moore) K.Schum.",Accepted,,L,WCSP (in review),747643,377688-1,"Just's Bot. Jahresber.","27(1): 534","","1901"
kew-2623790,A,Gesneriaceae,,Aeschynanthus,,"burttii",,"","Mendum",Accepted,,M,WCSP (in review),747645,60431174-2,"Edinburgh J. Bot.","60: 326","","2003 publ. 2004"
kew-2623791,A,Gesneriaceae,,Aeschynanthus,,"buxifolius",,"","Hemsl.",Accepted,,M,WCSP (in review),747646,377689-1,"J. Linn. Soc., Bot.","35: 515","","1902"
kew-2623792,A,Gesneriaceae,,Aeschynanthus,,"calanthus",,"","Schltr.",Accepted,,M,WCSP (in review),747647,377690-1,"Bot. Jahrb. Syst.","58: 275","","1923"
kew-2623793,A,Gesneriaceae,,Aeschynanthus,,"camiguinensis",,"","Kraenzl.",Accepted,,M,WCSP (in review),747648,377691-1,"Philipp. J. Sci., C","8: 164","","1913"
kew-2623794,A,Gesneriaceae,,Aeschynanthus,,"candidus",,"","Hend. ex C.B.Clarke",Accepted,,M,WCSP (in review),747649,,"Monogr. Phan.","5: 52","","1883"
kew-2623795,A,Gesneriaceae,,Aeschynanthus,,"cardinalis",,"","(Copel. ex Merr.) Schltr.",Accepted,,M,WCSP (in review),747650,377693-1,"Bot. Jahrb. Syst.","58: 264","","1923"
kew-2623796,A,Gesneriaceae,,Aeschynanthus,,"caudatus",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747651,377694-1,"Monogr. Phan.","5: 34","","1883"
kew-2623797,A,Gesneriaceae,,Aeschynanthus,,"celebicus",,"","Koord.",Accepted,,M,WCSP (in review),747652,377695-1,"Meded. Lands Plantentuin","19: 627","","1898"
kew-2623798,A,Gesneriaceae,,Aeschynanthus,,"ceylanicus",,"","Gardner",Accepted,,M,WCSP (in review),747653,377696-1,"Calcutta J. Nat. Hist.","6: 474","","1846"
kew-2623801,A,Gesneriaceae,,Aeschynanthus,,"chiritoides",,"","C.B.Clarke",Accepted,,M,WCSP (in review),747656,377699-1,"Monogr. Phan.","5: 28","","1883"
