ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2641776,A,Goodeniaceae,,Anthotium,,"humile",,"","R.Br.",Accepted,,M,WCSP (in review),765462,383623-1,"Prodr. Fl. Nov. Holl.","582","","1810"
kew-2641779,A,Goodeniaceae,,Anthotium,,"junciforme",,"","(de Vriese) D.A.Morrison",Accepted,,M,WCSP (in review),765465,947136-1,"Nuytsia","7: 55","","1989"
kew-2641780,A,Goodeniaceae,,Anthotium,,"odontophyllum",,"","L.W.Sage",Accepted,,M,WCSP (in review),765466,1003678-1,"Nuytsia","12: 229","","1998"
kew-2641781,A,Goodeniaceae,,Anthotium,,"rubriflorum",,"","F.Muell. ex Benth.",Accepted,,M,WCSP (in review),765467,383624-1,"Fl. Austral.","4: 45","","1868"
kew-2684267,A,Goodeniaceae,,Brunonia,,"australis",,"","R.Br.",Accepted,,L,WCSP (in review),807600,75840-3,"Prodr. Fl. Nov. Holl.","590","","1810"
kew-2735777,A,Goodeniaceae,,Coopernookia,,"barbata",,"","(R.Br.) Carolin",Accepted,,M,WCSP (in review),857798,383654-1,"Proc. Linn. Soc. New South Wales","92: 213","","1968"
kew-2735778,A,Goodeniaceae,,Coopernookia,,"chisholmii",,"","(Blakeley) Carolin",Accepted,,M,WCSP (in review),857799,383655-1,"Proc. Linn. Soc. New South Wales","92: 215","","1968"
kew-2735779,A,Goodeniaceae,,Coopernookia,,"georgei",,"","Carolin",Accepted,,M,WCSP (in review),857800,383656-1,"Proc. Linn. Soc. New South Wales","92: 213","","1968"
kew-2735780,A,Goodeniaceae,,Coopernookia,,"polygalacea",,"","(de Vriese) Carolin",Accepted,,M,WCSP (in review),857801,383657-1,"Proc. Linn. Soc. New South Wales","92: 210","","1968"
kew-2735781,A,Goodeniaceae,,Coopernookia,,"scabridiuscula",,"","Carolin",Accepted,,M,WCSP (in review),857802,383658-1,"Telopea","2: 74","","1980"
kew-2735782,A,Goodeniaceae,,Coopernookia,,"strophiolata",,"","(F.Muell.) Carolin",Accepted,,L,WCSP (in review),857803,383659-1,"Proc. Linn. Soc. New South Wales","92: 211","","1968"
tro-50046320,A,Goodeniaceae,,Crossotoma,,"oleoides",,"","(DC.) de Vriese",Accepted,,M,TRO,50046320,108671-3,"Natuurk. Verh. Holl. Maatsch. Wetensch. Haarlem","10: 37","37","1854"
tro-50046318,A,Goodeniaceae,,Crossotoma,,"spinescens",,"","(R. Br.) de Vriese",Accepted,,M,TRO,50046318,108683-3,"Natuurk. Verh. Holl. Maatsch. Wetensch. Haarlem","10: 36","36","1854"
kew-2756593,A,Goodeniaceae,,Dampiera,,"adpressa",,"","A.Cunn. ex DC.",Accepted,,M,WCSP (in review),878015,94463-3,"Prodr.","7: 503","","1839"
kew-2756594,A,Goodeniaceae,,Dampiera,,"alata",,"","Lindl.",Accepted,,M,WCSP (in review),878016,383665-1,"Sketch Veg. Swan R.","27","","1839"
kew-2756595,A,Goodeniaceae,,Dampiera,,"altissima",,"","F.Muell. ex Benth.",Accepted,,M,WCSP (in review),878017,383666-1,"Fl. Austral.","4: 113","","1868"
kew-2756597,A,Goodeniaceae,,Dampiera,,"angulata",,"","Rajput & Carolin",Accepted,,M,WCSP (in review),878019,935315-1,"Telopea","3: 209","","1988"
kew-2756598,A,Goodeniaceae,,Dampiera,,"anonyma",,"","Lepschi & Trudgen",Accepted,,M,WCSP (in review),878020,77066092-1,"Nuytsia","15: 270","","2004"
kew-2756600,A,Goodeniaceae,,Dampiera,,"atriplicina",,"","Gardner ex Rajput & Carolin",Accepted,,M,WCSP (in review),878022,935317-1,"Telopea","3: 211","","1988"
kew-2756606,A,Goodeniaceae,,Dampiera,,"candicans",,"","F.Muell.",Accepted,,M,WCSP (in review),878028,94651-3,"Fragm.","10: 86","","1877"
kew-2756608,A,Goodeniaceae,,Dampiera,,"carinata",,"","Benth.",Accepted,,M,WCSP (in review),878030,383673-1,"Fl. Austral.","4: 111","","1868"
kew-2756610,A,Goodeniaceae,,Dampiera,,"cervula",,"","K.Krause",Accepted,,M,WCSP (in review),878032,383675-1,"Pflanzenr.","IV, 277: 197","","1912"
kew-2756611,A,Goodeniaceae,,Dampiera,,"cinerea",,"","Ewart & O.B.Davies",Accepted,,M,WCSP (in review),878033,383676-1,"Fl. N. Territory","269","","1917"
kew-2756612,A,Goodeniaceae,,Dampiera,,"conospermoides",,"","W.Fitzg.",Accepted,,M,WCSP (in review),878034,383677-1,"J. Proc. Roy. Soc. Western Australia","3: 216","","1918"
kew-2756613,A,Goodeniaceae,,Dampiera,,"coronata",,"","Lindl.",Accepted,,M,WCSP (in review),878035,383678-1,"Sketch Veg. Swan R.","27","","1839"
