ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50131708,A,Grossulariaceae,,Grossularia,,"purpusii",,"","(Koehne ex Blank.) Rydb.",Accepted,,L,TRO,50131708,113707-2,"Fl. Rocky Mts.","396","396","1917"
kew-2425976,A,Grossulariaceae,,Ribes,,"aciculare",,"","Sm.",Accepted,,M,WCSP (in review),554840,792527-1,"Cycl.","30: no. 25","","1815"
tro-29100277,A,Grossulariaceae,,Ribes,,"affine",,"","Kunth",Accepted,,M,TRO,29100277,792535-1,"Nov. Gen. Sp. (quarto ed.)","6: 60","60","1823"
tro-29100278,A,Grossulariaceae,,Ribes,,"albifolium",,"","Ruiz & Pav.",Accepted,,M,TRO,29100278,792542-1,"Fl. Peruv.","3: 12, t. 232","12","1802"
tro-50077928,A,Grossulariaceae,,Ribes,,"alpestre",,"","Wall. ex Decne.",Accepted,,M,TRO,50077928,792547-1,"Voy. Inde","4(Bot.): 64, pl. 75","64","1844"
tro-50077929,A,Grossulariaceae,,Ribes,,"alpestre",var.,"alpestre","",Accepted,,L,TRO,50077929,,"","","",""
kew-2426163,A,Grossulariaceae,,Ribes,,"alpinum",,"","L.",Accepted,,M,WCSP (in review),555027,792549-1,"Sp. Pl.","200","","1753"
tro-29100758,A,Grossulariaceae,,Ribes,,"altissimum",,"","Turcz. ex Pojark.",Accepted,,M,TRO,29100758,792556-1,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","2: 179","179","1936"
tro-50077969,A,Grossulariaceae,,Ribes,,"ambiguum",,"","Maxim.",Accepted,,M,TRO,50077969,792559-1,"Bull. Acad. Imp. Sci. Saint-Petersbourg","19: 251","251","1874"
tro-29100044,A,Grossulariaceae,,Ribes,,"americanum",,"","Mill.",Accepted,,M,TRO,29100044,792560-1,"Gard. Dict. (ed. 8)","Ribes no. 4","Ribes no. 4","1768"
tro-50131587,A,Grossulariaceae,,Ribes,,"americanum",f.,"mesochorum","(Nieuwl.) Deam",Accepted,,L,TRO,50131587,220859-2,"Fl. Indiana","521","521","1940"
tro-29100279,A,Grossulariaceae,,Ribes,,"andicola",,"","Jancz.",Accepted,,M,TRO,29100279,792564-1,"Bull. Int. Acad. Sci. Cracovie, Cl. Sci. Math.","10: 760","760","1905"
kew-2426191,A,Grossulariaceae,,Ribes,,"aureum",,"","Pursh",Accepted,,M,WCSP (in review),555055,220870-2,"Fl. Amer. Sept.","1: 164","","1813"
tro-50305874,A,Grossulariaceae,,Ribes,,"aureum",subsp.,"gracillimum","(Coville & Britton) A.E. Murray",Accepted,,L,TRO,50305874,220874-2,"Kalmia","12: 24","24","1982"
tro-29100281,A,Grossulariaceae,,Ribes,,"bicolor",,"","Phil.",Accepted,,M,TRO,29100281,792586-1,"","","",""
tro-29100283,A,Grossulariaceae,,Ribes,,"bolivianum",,"","Jancz.",Accepted,,M,TRO,29100283,321020-2,"Bull. Int. Acad. Sci. Cracovie, Cl. Sci. Math.","1905: 759","759","1905"
tro-29100284,A,Grossulariaceae,,Ribes,,"brachybotrys",,"","(Wedd.) Jancz.",Accepted,,M,TRO,29100284,1069420-2,"Bull. Int. Acad. Sci. Cracovie, Cl. Sci. Math.","1905: 759","759","1905"
tro-50041967,A,Grossulariaceae,,Ribes,,"burejense",,"","F. Schmidt",Accepted,,M,TRO,50041967,,"Mém. Acad. Imp. Sci. Saint Pétersbourg (Sér. 7)","12(2): 42","42","1868"
tro-50077933,A,Grossulariaceae,,Ribes,,"burejense",var.,"burejense","",Accepted,,L,TRO,50077933,,"","","",""
tro-29101504,A,Grossulariaceae,,Ribes,,"canescens",,"","Pittier",Accepted,,M,TRO,29101504,220887-2,"Contr. U.S. Natl. Herb.","20(3): 106","106","1918"
tro-29101250,A,Grossulariaceae,,Ribes,,"carpaticum",,"","Schult.",Accepted,,M,TRO,29101250,,"","","",""
tro-29100286,A,Grossulariaceae,,Ribes,,"catamarcanum",,"","Jancz.",Accepted,,M,TRO,29100286,220889-2,"Bull. Int. Acad. Sci. Cracovie, Cl. Sci. Math.","1905: 762","762","1905"
tro-50149395,A,Grossulariaceae,,Ribes,,"ceriferum",,"","Coville & Rose",Accepted,,M,TRO,50149395,220895-2,"Contr. U.S. Natl. Herb.","8(4): 298-299","298","1905"
tro-50214827,A,Grossulariaceae,,Ribes,,"chihuahuense",,"","Britton",Accepted,,M,TRO,50214827,220896-2,"Torreya","7(5): 102","102","1907"
