ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-370360,A,Gunneraceae,,Gunnera,,"aequatoriensis",,"","L.E.Moro",Accepted,,H,WCSP,370360,,"Mutisia","45: 2","","1978"
kew-370361,A,Gunneraceae,,Gunnera,,"albocarpa",,"","(Kirk) Cockayne",Accepted,,H,WCSP,370361,430130-1,"Rep. Bot. Surv. Stewart Isl.","43","","1909"
kew-370362,A,Gunneraceae,,Gunnera,,"annae",,"","Schindl.",Accepted,,H,WCSP,370362,114779-2,"Repert. Spec. Nov. Regni Veg.","9: 124","","1911"
kew-370363,A,Gunneraceae,,Gunnera,,"antioquensis",,"","L.E.Moro",Accepted,,H,WCSP,370363,,"Caldasia","12: 172","","1978"
kew-370364,A,Gunneraceae,,Gunnera,,"apiculata",,"","Schindl.",Accepted,,H,WCSP,370364,114781-2,"Pflanzenr.","IV, 225: 121","","1905"
kew-370365,A,Gunneraceae,,Gunnera,,"arenaria",,"","Cheeseman ex Kirk",Accepted,,H,WCSP,370365,430133-1,"Trans. & Proc. New Zealand Inst.","27: 348","","1894 publ. 1895"
kew-370366,A,Gunneraceae,,Gunnera,,"atropurpurea",,"","L.E.Moro",Accepted,,H,WCSP,370366,,"Caldasia","12: 172","","1978"
kew-370371,A,Gunneraceae,,Gunnera,,"berteroi",,"","Phil.",Accepted,,H,WCSP,370371,430134-1,"Anales Univ. Chile","41: 714","","1872"
kew-370372,A,Gunneraceae,,Gunnera,,"bogotana",,"","L.E.Moro",Accepted,,H,WCSP,370372,,"Caldasia","12: 174","","1978"
kew-370373,A,Gunneraceae,,Gunnera,,"bolivari",,"","J.F.Macbr.",Accepted,,H,WCSP,370373,114784-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11: 32","","1931"
kew-370374,A,Gunneraceae,,Gunnera,,"boliviana",,"","Morong. ex Rusby",Accepted,,H,WCSP,370374,430136-1,"Mem. Torrey Bot. Club","6: 33","","1896"
kew-370375,A,Gunneraceae,,Gunnera,,"bracteata",,"","Steud. ex Benn.",Accepted,,H,WCSP,370375,430137-1,"Pl. Jav. Rar.","75","","1838"
kew-370377,A,Gunneraceae,,Gunnera,,"brephogea",,"","Linden & André",Accepted,,H,WCSP,370377,430139-1,"Ill. Hort.","19: 367","","1872"
