ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2730184,A,Gyrostemonaceae,,Codonocarpus,,"attenuatus",,"","(Hook.) H.Walter",Accepted,,M,WCSP (in review),852215,85101-3,"Pflanzenr.","IV, 83: 78","","1909"
kew-2730186,A,Gyrostemonaceae,,Codonocarpus,,"cotinifolius",,"","(Desf.) F.Muell.",Accepted,,M,WCSP (in review),852217,676198-1,"Pl. Victoria","1: 200","","1862"
kew-2730187,A,Gyrostemonaceae,,Codonocarpus,,"pyramidalis",,"","(F.Muell.) F.Muell.",Accepted,,M,WCSP (in review),852218,676199-1,"Pl. Victoria","1: 201","","1862"
kew-2752966,A,Gyrostemonaceae,,Cypselocarpus,,"haloragoides",,"","(Benth.) F.Muell.",Accepted,,M,WCSP (in review),874460,136989-3,"Fragm.","8: 36","","1873"
kew-2837044,A,Gyrostemonaceae,,Gyrostemon,,"australasicus",,"","(Moq.) Heimerl",Accepted,,L,WCSP (in review),956187,145996-3,"Nat. Pflanzenfam.","3(1b): 12","","1889"
kew-2837048,A,Gyrostemonaceae,,Gyrostemon,,"brownii",,"","S.Moore",Accepted,,M,WCSP (in review),956191,676227-1,"J. Linn. Soc., Bot.","45: 190","","1920"
kew-2837051,A,Gyrostemonaceae,,Gyrostemon,,"ditrigynus",,"","A.S.George",Accepted,,M,WCSP (in review),956194,907475-1,"in Fl. Australia","8: 392","","1982"
kew-2837053,A,Gyrostemonaceae,,Gyrostemon,,"osmus",,"","Halford",Accepted,,M,WCSP (in review),956196,60442381-2,"Austrobaileya","7: 135","","2005"
kew-2837054,A,Gyrostemonaceae,,Gyrostemon,,"prostratus",,"","A.S.George",Accepted,,M,WCSP (in review),956197,899984-1,"in Fl. Australia","8: 393","","1982"
kew-2837057,A,Gyrostemonaceae,,Gyrostemon,,"racemigerus",,"","H.Walter",Accepted,,M,WCSP (in review),956200,676234-1,"Pflanzenr.","IV, 83: 74","","1909"
kew-2837058,A,Gyrostemonaceae,,Gyrostemon,,"ramulosus",,"","Desf.",Accepted,,M,WCSP (in review),956201,146437-3,"Mém. Mus. Hist. Nat.","6: 17","","1820"
kew-2837063,A,Gyrostemonaceae,,Gyrostemon,,"reticulatus",,"","A.S.George",Accepted,,M,WCSP (in review),956206,899985-1,"in Fl. Australia","8: 393","","1982"
kew-2837065,A,Gyrostemonaceae,,Gyrostemon,,"sessilis",,"","A.S.George",Accepted,,M,WCSP (in review),956208,899986-1,"in Fl. Australia","8: 393","","1982"
kew-2837066,A,Gyrostemonaceae,,Gyrostemon,,"sheathii",,"","W.Fitzg.",Accepted,,M,WCSP (in review),956209,,"J. Proc. Mueller Bot. Soc. Western Australia","1(11): 81","","1902"
kew-2837069,A,Gyrostemonaceae,,Gyrostemon,,"subnudus",,"","(Nees) Diels",Accepted,,M,WCSP (in review),956212,676242-1,"Bot. Jahrb. Syst.","35: 195","","1904"
kew-2837070,A,Gyrostemonaceae,,Gyrostemon,,"tepperi",,"","(F.Muell. ex H.Walter) A.S.George",Accepted,,M,WCSP (in review),956213,910723-1,"in Fl. Australia","8: 392","","1982"
kew-2837071,A,Gyrostemonaceae,,Gyrostemon,,"thesioides",,"","(Hook.f.) A.S.George",Accepted,,M,WCSP (in review),956214,910724-1,"in Fl. Australia","8: 392","","1982"
