ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-220300,A,Haemodoraceae,,Anigozanthos,,"bicolor",,"","Endl.",Accepted,,H,WCSP,220300,429572-1,"Pl. Preiss.","2: 26","","1846"
kew-220305,A,Haemodoraceae,,Anigozanthos,,"bicolor",subsp.,"minor","(Benth.) Hopper",Accepted,,L,WCSP,220305,,"in Fl. Australia","45: 455","","1987"
kew-220309,A,Haemodoraceae,,Anigozanthos,,"flavidus",,"","DC.",Accepted,,H,WCSP,220309,429575-1,"Liliac.","3: t. 172","","1807"
kew-220311,A,Haemodoraceae,,Anigozanthos,,"gabrielae",,"","Domin",Accepted,,H,WCSP,220311,63103-1,"J. Linn. Soc., Bot.","41: 257","","1912"
kew-220313,A,Haemodoraceae,,Anigozanthos,,"humilis",,"","Lindl.",Accepted,,H,WCSP,220313,429578-1,"Sketch Veg. Swan R.","46","","1839"
kew-220315,A,Haemodoraceae,,Anigozanthos,,"humilis",subsp.,"humilis","",Accepted,,L,WCSP,220315,,"Unknown","","",""
kew-220316,A,Haemodoraceae,,Anigozanthos,,"kalbarriensis",,"","Hopper",Accepted,,H,WCSP,220316,429579-1,"Nuytsia","2: 181","","1978"
kew-220317,A,Haemodoraceae,,Anigozanthos,,"manglesii",,"","D.Don",Accepted,,H,WCSP,220317,122335-3,"Brit. Fl. Gard.","6: t. 265","","1834"
kew-220319,A,Haemodoraceae,,Anigozanthos,,"manglesii",subsp.,"manglesii","",Accepted,,L,WCSP,220319,,"Unknown","","",""
kew-220322,A,Haemodoraceae,,Anigozanthos,,"onycis",,"","A.S.George",Accepted,,H,WCSP,220322,429583-1,"Nuytsia","1: 367","","1974"
kew-220323,A,Haemodoraceae,,Anigozanthos,,"preissii",,"","Endl.",Accepted,,H,WCSP,220323,429584-1,"Pl. Preiss.","2: 26","","1846"
kew-220324,A,Haemodoraceae,,Anigozanthos,,"pulcherrimus",,"","Hook.",Accepted,,H,WCSP,220324,429585-1,"Bot. Mag.","71: t. 4180","","1845"
kew-220325,A,Haemodoraceae,,Anigozanthos,,"rufus",,"","Labill.",Accepted,,H,WCSP,220325,429586-1,"Voy. Rech. Pérouse","1: 410","","1800"
kew-220327,A,Haemodoraceae,,Anigozanthos,,"viridis",,"","Endl.",Accepted,,H,WCSP,220327,429588-1,"Pl. Preiss.","2: 25","","1846"
kew-220329,A,Haemodoraceae,,Anigozanthos,,"viridis",subsp.,"viridis","",Accepted,,L,WCSP,220329,,"Unknown","","",""
kew-221208,A,Haemodoraceae,,Barberetta,,"aurea",,"","Harv.",Accepted,,H,WCSP,221208,429594-1,"Gen. S. Afr. Pl.","ed. 2: 377","","1868"
kew-221761,A,Haemodoraceae,,Blancoa,,"canescens",,"","Lindl.",Accepted,,H,WCSP,221761,429595-1,"Sketch Veg. Swan R.","45","","1839"
kew-234316,A,Haemodoraceae,,Conostylis,,"aculeata",,"","R.Br.",Accepted,,H,WCSP,234316,429610-1,"Prodr. Fl. Nov. Holl.","300","","1810"
kew-234318,A,Haemodoraceae,,Conostylis,,"aculeata",subsp.,"aculeata","",Accepted,,L,WCSP,234318,,"Unknown","","",""
kew-234321,A,Haemodoraceae,,Conostylis,,"aculeata",subsp.,"bromelioides","(Endl.) J.W.Green",Accepted,,L,WCSP,234321,92831-3,"Proc. Linn. Soc. New South Wales","85: 348","","1961"
kew-234322,A,Haemodoraceae,,Conostylis,,"aculeata",subsp.,"cygnorum","Hopper",Accepted,,L,WCSP,234322,949693-1,"in Fl. Australia","45: 457","","1987"
kew-234325,A,Haemodoraceae,,Conostylis,,"aculeata",subsp.,"preissii","(Endl.) J.W.Green",Accepted,,L,WCSP,234325,92888-3,"Proc. Linn. Soc. New South Wales","85: 349","","1961"
kew-234329,A,Haemodoraceae,,Conostylis,,"aculeata",subsp.,"spinuligera","(F.Muell. ex Benth.) Hopper",Accepted,,L,WCSP,234329,953649-1,"in Fl. Australia","45: 458","","1987"
kew-234331,A,Haemodoraceae,,Conostylis,,"albescens",,"","Hopper",Accepted,,H,WCSP,234331,932516-1,"in Fl. Australia","45: 458","","1987"
kew-234334,A,Haemodoraceae,,Conostylis,,"androstemma",,"","F.Muell.",Accepted,,H,WCSP,234334,92959-3,"Fragm.","8: 19","","1872"
kew-234336,A,Haemodoraceae,,Conostylis,,"angustifolia",,"","Hopper",Accepted,,H,WCSP,234336,932517-1,"in Fl. Australia","45: 458","","1987"
kew-234337,A,Haemodoraceae,,Conostylis,,"argentea",,"","(J.W.Green) Hopper",Accepted,,H,WCSP,234337,944248-1,"in Fl. Australia","45: 459","","1987"
kew-234339,A,Haemodoraceae,,Conostylis,,"aurea",,"","Lindl.",Accepted,,H,WCSP,234339,429616-1,"Sketch Veg. Swan R.","44","","1839"
kew-234341,A,Haemodoraceae,,Conostylis,,"bealiana",,"","F.Muell.",Accepted,,H,WCSP,234341,93048-3,"Fragm.","9: 50","","1875"
kew-234342,A,Haemodoraceae,,Conostylis,,"bracteata",,"","Endl.",Accepted,,H,WCSP,234342,429618-1,"Pl. Preiss.","2: 16","","1846"
kew-234344,A,Haemodoraceae,,Conostylis,,"breviscapa",,"","R.Br.",Accepted,,H,WCSP,234344,429620-1,"Prodr. Fl. Nov. Holl.","301","","1810"
kew-234346,A,Haemodoraceae,,Conostylis,,"candicans",,"","Endl.",Accepted,,H,WCSP,234346,429622-1,"Nov. Stirp. Dec.","20","","1839"
kew-234347,A,Haemodoraceae,,Conostylis,,"candicans",subsp.,"calcicola","Hopper",Accepted,,L,WCSP,234347,949697-1,"in Fl. Australia","45: 459","","1987"
kew-234348,A,Haemodoraceae,,Conostylis,,"candicans",subsp.,"candicans","",Accepted,,L,WCSP,234348,,"Unknown","","",""
kew-234352,A,Haemodoraceae,,Conostylis,,"canteriata",,"","Hopper",Accepted,,H,WCSP,234352,932518-1,"in Fl. Australia","45: 459","","1987"
kew-234353,A,Haemodoraceae,,Conostylis,,"caricina",,"","Lindl.",Accepted,,H,WCSP,234353,429624-1,"Sketch Veg. Swan R.","45","","1839"
kew-234354,A,Haemodoraceae,,Conostylis,,"caricina",subsp.,"caricina","",Accepted,,L,WCSP,234354,,"Unknown","","",""
kew-234356,A,Haemodoraceae,,Conostylis,,"crassinerva",,"","J.W.Green",Accepted,,H,WCSP,234356,93184-3,"Proc. Linn. Soc. New South Wales","85: 361","","1961"
kew-234362,A,Haemodoraceae,,Conostylis,,"deplexa",,"","J.W.Green",Accepted,,H,WCSP,234362,899525-1,"Nuytsia","4: 55","","1982"
kew-234363,A,Haemodoraceae,,Conostylis,,"dielsii",,"","W.Fitzg.",Accepted,,H,WCSP,234363,,"J. Proc. Mueller Bot. Soc. Western Australia","1(11): 82","","1901"
kew-234364,A,Haemodoraceae,,Conostylis,,"dielsii",subsp.,"dielsii","",Accepted,,L,WCSP,234364,,"Unknown","","",""
kew-234367,A,Haemodoraceae,,Conostylis,,"drummondii",,"","Benth.",Accepted,,H,WCSP,234367,429629-1,"Fl. Austral.","6: 433","","1873"
kew-234369,A,Haemodoraceae,,Conostylis,,"festucacea",,"","Endl.",Accepted,,H,WCSP,234369,429631-1,"Pl. Preiss.","2: 18","","1846"
kew-234371,A,Haemodoraceae,,Conostylis,,"festucacea",subsp.,"filifolia","(F.Muell.) Hopper",Accepted,,L,WCSP,234371,953650-1,"in Fl. Australia","45: 460","","1987"
kew-234376,A,Haemodoraceae,,Conostylis,,"hiemalis",,"","Hopper",Accepted,,H,WCSP,234376,932519-1,"in Fl. Australia","45: 460","","1987"
kew-234378,A,Haemodoraceae,,Conostylis,,"juncea",,"","Endl.",Accepted,,H,WCSP,234378,429637-1,"Nov. Stirp. Dec.","19","","1839"
kew-234380,A,Haemodoraceae,,Conostylis,,"latens",,"","Hopper",Accepted,,H,WCSP,234380,932520-1,"in Fl. Australia","45: 461","","1987"
kew-234381,A,Haemodoraceae,,Conostylis,,"laxiflora",,"","Benth.",Accepted,,H,WCSP,234381,429639-1,"Fl. Austral.","4: 439","","1868"
kew-234382,A,Haemodoraceae,,Conostylis,,"lepidospermoides",,"","Hopper",Accepted,,H,WCSP,234382,932521-1,"in Fl. Australia","45: 461","","1987"
kew-234385,A,Haemodoraceae,,Conostylis,,"micrantha",,"","Hopper",Accepted,,H,WCSP,234385,932522-1,"in Fl. Australia","45: 461","","1987"
kew-234387,A,Haemodoraceae,,Conostylis,,"misera",,"","Endl.",Accepted,,H,WCSP,234387,429643-1,"Pl. Preiss.","2: 22","","1846"
