ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2607217,A,Haloragaceae,,Glischrocaryon,,"angustifolium",,"","(Nees) M.L.Moody & Les",Accepted,,M,WCSP (in review),731701,77093714-1,"Amer. J. Bot.","94: 2021","","2007"
kew-2826608,A,Haloragaceae,,Glischrocaryon,,"aureum",,"","(Lindl.) Orchard",Accepted,,L,WCSP (in review),945870,430076-1,"Taxon","19: 823","","1970"
kew-2826610,A,Haloragaceae,,Glischrocaryon,,"behrii",,"","(Schltdl.) Orchard",Accepted,,L,WCSP (in review),945872,430077-1,"Taxon","19: 823","","1970"
kew-2826611,A,Haloragaceae,,Glischrocaryon,,"flavescens",,"","(J.Drumm. ex Hook.) Orchard",Accepted,,M,WCSP (in review),945873,430078-1,"Taxon","19: 824","","1970"
kew-2826612,A,Haloragaceae,,Glischrocaryon,,"roei",,"","Endl.",Accepted,,M,WCSP (in review),945874,430080-1,"Stirp. Herb. Hügel.","22","","1838"
kew-2829823,A,Haloragaceae,,Gonocarpus,,"acanthocarpus",,"","(Brongn.) Orchard",Accepted,,M,WCSP (in review),949073,430100-1,"Bull. Auckland Inst. Mus.","10: 224","","1975"
kew-2829824,A,Haloragaceae,,Gonocarpus,,"aggregatus",,"","(Buchanan) Orchard",Accepted,,M,WCSP (in review),949074,430101-1,"Bull. Auckland Inst. Mus.","10: 180","","1975"
kew-2829825,A,Haloragaceae,,Gonocarpus,,"benthamii",,"","Orchard",Accepted,,M,WCSP (in review),949075,430102-1,"Bull. Auckland Inst. Mus.","10: 228","","1975"
kew-2829826,A,Haloragaceae,,Gonocarpus,,"chinensis",,"","(Lour.) Orchard",Accepted,,L,WCSP (in review),949076,430103-1,"Bull. Auckland Inst. Mus.","10: 207","","1975"
kew-2829827,A,Haloragaceae,,Gonocarpus,,"chinensis",subsp.,"verrucosus","(Maiden & Betche) Orchard",Accepted,,L,WCSP (in review),949077,,"Bull. Auckland Inst. Mus.","10: 211","","1975"
kew-2829829,A,Haloragaceae,,Gonocarpus,,"confertifolius",,"","(F.Muell.) Orchard",Accepted,,M,WCSP (in review),949079,430104-1,"Bull. Auckland Inst. Mus.","10: 252","","1975"
kew-2829831,A,Haloragaceae,,Gonocarpus,,"cordiger",,"","(Fenzl) Endl. ex Nees",Accepted,,L,WCSP (in review),949081,112410-3,"Pl. Preiss.","2: 225","","1848"
kew-2829833,A,Haloragaceae,,Gonocarpus,,"diffusus",,"","(Diels) Orchard",Accepted,,M,WCSP (in review),949083,430105-1,"Bull. Auckland Inst. Mus.","10: 231","","1975"
kew-2829834,A,Haloragaceae,,Gonocarpus,,"effusus",,"","Orchard",Accepted,,M,WCSP (in review),949084,929392-1,"Nuytsia","5: 331","","1986"
kew-2829835,A,Haloragaceae,,Gonocarpus,,"elatus",,"","(A.Cunn. ex Fenzl) Orchard",Accepted,,M,WCSP (in review),949085,430106-1,"Bull. Auckland Inst. Mus.","10: 219","","1975"
kew-2829836,A,Haloragaceae,,Gonocarpus,,"ephemerus",,"","Orchard",Accepted,,M,WCSP (in review),949086,929389-1,"Nuytsia","5: 327","","1986"
kew-2829837,A,Haloragaceae,,Gonocarpus,,"eremophilus",,"","Orchard",Accepted,,M,WCSP (in review),949087,430107-1,"Bull. Auckland Inst. Mus.","10: 235","","1975"
kew-2829838,A,Haloragaceae,,Gonocarpus,,"ericifolius",,"","Orchard",Accepted,,M,WCSP (in review),949088,929391-1,"Nuytsia","5: 329","","1986"
kew-2829839,A,Haloragaceae,,Gonocarpus,,"halconensis",,"","(Merr.) Orchard",Accepted,,M,WCSP (in review),949089,430108-1,"Bull. Auckland Inst. Mus.","10: 187","","1975"
kew-2829840,A,Haloragaceae,,Gonocarpus,,"hexandrus",,"","(F.Muell.) Orchard",Accepted,,M,WCSP (in review),949090,430109-1,"Bull. Auckland Inst. Mus.","10: 257","","1975"
kew-2829841,A,Haloragaceae,,Gonocarpus,,"hexandrus",subsp.,"integrifolius","(Schindl.) Orchard",Accepted,,L,WCSP (in review),949091,,"Bull. Auckland Inst. Mus.","10: 259","","1975"
kew-2829843,A,Haloragaceae,,Gonocarpus,,"hirtus",,"","Orchard",Accepted,,M,WCSP (in review),949093,77063974-1,"Austrobaileya","6: 962","","2004"
kew-2829844,A,Haloragaceae,,Gonocarpus,,"hispidus",,"","Orchard",Accepted,,M,WCSP (in review),949094,929390-1,"Nuytsia","5: 329","","1986"
kew-2829845,A,Haloragaceae,,Gonocarpus,,"humilis",,"","Orchard",Accepted,,M,WCSP (in review),949095,430110-1,"Bull. Auckland Inst. Mus.","10: 195","","1975"
kew-2829846,A,Haloragaceae,,Gonocarpus,,"implexus",,"","Orchard",Accepted,,M,WCSP (in review),949096,430111-1,"Bull. Auckland Inst. Mus.","10: 204","","1975"
kew-2829847,A,Haloragaceae,,Gonocarpus,,"incanus",,"","(A.Cunn.) Orchard",Accepted,,M,WCSP (in review),949097,430112-1,"Bull. Auckland Inst. Mus.","10: 213","","1975"
kew-2829848,A,Haloragaceae,,Gonocarpus,,"intricatus",,"","(Benth.) Orchard",Accepted,,M,WCSP (in review),949098,430113-1,"Bull. Auckland Inst. Mus.","10: 230","","1975"
kew-2829850,A,Haloragaceae,,Gonocarpus,,"leptothecus",,"","(F.Muell.) Orchard",Accepted,,M,WCSP (in review),949100,430114-1,"Bull. Auckland Inst. Mus.","10: 226","","1975"
kew-2829851,A,Haloragaceae,,Gonocarpus,,"longifolius",,"","(Schindl.) Orchard",Accepted,,M,WCSP (in review),949101,430115-1,"Bull. Auckland Inst. Mus.","10: 190","","1975"
kew-2829852,A,Haloragaceae,,Gonocarpus,,"mezianus",,"","(Schindl.) Orchard",Accepted,,M,WCSP (in review),949102,430116-1,"Bull. Auckland Inst. Mus.","10: 216","","1975"
kew-2829853,A,Haloragaceae,,Gonocarpus,,"micranthus",,"","Thunb.",Accepted,,M,WCSP (in review),949103,327353-2,"Nov. Gen. Pl.","55","","1783"
kew-2829854,A,Haloragaceae,,Gonocarpus,,"micranthus",subsp.,"ramosissimus","Orchard",Accepted,,L,WCSP (in review),949104,,"Bull. Auckland Inst. Mus.","10: 246","","1975"
kew-2829856,A,Haloragaceae,,Gonocarpus,,"montanus",,"","(Hook.f.) Orchard",Accepted,,M,WCSP (in review),949106,430118-1,"Bull. Auckland Inst. Mus.","10: 172","","1975"
kew-2829858,A,Haloragaceae,,Gonocarpus,,"nodulosus",,"","Nees",Accepted,,M,WCSP (in review),949108,144928-3,"Pl. Preiss.","1: 158","","1844"
kew-2829859,A,Haloragaceae,,Gonocarpus,,"oreophilus",,"","Orchard",Accepted,,M,WCSP (in review),949109,430119-1,"Bull. Auckland Inst. Mus.","10: 192","","1975"
