ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-248272,A,Heliconiaceae,,Heliconia,,"abaloi",,"","G.Morales",Accepted,,H,WCSP,248272,119287-2,"Phytologia","55: 14","","1984"
kew-248273,A,Heliconiaceae,,Heliconia,,"acuminata",,"","A.Rich.",Accepted,,H,WCSP,248273,119288-2,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.","15(Suppl.): 26","","1831"
kew-248276,A,Heliconiaceae,,Heliconia,,"acuminata",subsp.,"occidentalis","L.Andersson",Accepted,,L,WCSP,248276,918927-1,"Opera Bot.","82: 61","","1985"
kew-248278,A,Heliconiaceae,,Heliconia,,"adflexa",,"","(Griggs) Standl.",Accepted,,H,WCSP,248278,119290-2,"J. Wash. Acad. Sci.","17: 162","","1927"
kew-248279,A,Heliconiaceae,,Heliconia,,"aemygdiana",,"","Burle-Marx",Accepted,,H,WCSP,248279,584813-1,"Bradea","1: 379","","1974"
kew-248280,A,Heliconiaceae,,Heliconia,,"aemygdiana",subsp.,"aemygdiana","",Accepted,,L,WCSP,248280,,"Unknown","","",""
kew-248285,A,Heliconiaceae,,Heliconia,,"albicosta",,"","(G.S.Daniels & F.G.Stiles) L.Andersson",Accepted,,H,WCSP,248285,963941-1,"Opera Bot.","111: 59","","1992"
kew-248289,A,Heliconiaceae,,Heliconia,,"angelica",,"","Abalo & G.Morales",Accepted,,H,WCSP,248289,119295-2,"Phytologia","52: 390","","1983"
kew-248290,A,Heliconiaceae,,Heliconia,,"angusta",,"","Vell.",Accepted,,H,WCSP,248290,119296-2,"Fl. Flumin.","3: 106, t. 20","","1829"
kew-248292,A,Heliconiaceae,,Heliconia,,"antioquiensis",,"","Abalo & G.Morales",Accepted,,H,WCSP,248292,278046-2,"Phytologia","57: 44","","1985"
kew-248293,A,Heliconiaceae,,Heliconia,,"apparicioi",,"","Barreiros",Accepted,,H,WCSP,248293,119298-2,"Rodriguésia","28: 129","","1976"
kew-248295,A,Heliconiaceae,,Heliconia,,"arrecta",,"","W.J.Kress & Betancur",Accepted,,H,WCSP,248295,976013-1,"Caldasia","17: 184","","1993"
kew-248296,A,Heliconiaceae,,Heliconia,,"atratensis",,"","Abalo & G.Morales",Accepted,,H,WCSP,248296,119300-2,"Phytologia","51: 14","","1982"
kew-248297,A,Heliconiaceae,,Heliconia,,"atropurpurea",,"","G.S.Daniels & F.G.Stiles",Accepted,,H,WCSP,248297,119301-2,"Brenesia","15(Supl.): 15","","1979"
kew-248299,A,Heliconiaceae,,Heliconia,,"aurantiaca",,"","Ghiesbr. ex Lem.",Accepted,,H,WCSP,248299,,"Ill. Hort.","9: t. 332","","1862"
kew-248303,A,Heliconiaceae,,Heliconia,,"auriculata",,"","Barreiros",Accepted,,H,WCSP,248303,119305-2,"Bradea","3: 103","","1980"
kew-248306,A,Heliconiaceae,,Heliconia,,"badilloi",,"","Abalo & G.Morales",Accepted,,H,WCSP,248306,119307-2,"Phytologia","54: 416","","1983"
kew-248310,A,Heliconiaceae,,Heliconia,,"barryana",,"","W.J.Kress",Accepted,,H,WCSP,248310,278047-2,"Selbyana","9: 165","","1986"
kew-248311,A,Heliconiaceae,,Heliconia,,"beckneri",,"","R.R.Sm.",Accepted,,H,WCSP,248311,119310-2,"Phytologia","30: 210","","1975"
kew-248312,A,Heliconiaceae,,Heliconia,,"bella",,"","W.J.Kress",Accepted,,H,WCSP,248312,278048-2,"Selbyana","9: 158","","1986"
kew-248313,A,Heliconiaceae,,Heliconia,,"berriziana",,"","Abalo & G.Morales",Accepted,,H,WCSP,248313,278049-2,"Phytologia","57: 46","","1985"
kew-248314,A,Heliconiaceae,,Heliconia,,"berryi",,"","Abalo & G.Morales",Accepted,,H,WCSP,248314,300794-2,"Bol. Soc. Venez. Ci. Nat.","44: 140","","1991"
kew-248319,A,Heliconiaceae,,Heliconia,,"bihai",,"","(L.) L.",Accepted,,H,WCSP,248319,119311-2,"Mant. Pl.","2: 211","","1771"
kew-248321,A,Heliconiaceae,,Heliconia,,"boultoniana",,"","Abalo & G.Morales",Accepted,,H,WCSP,248321,119313-2,"Phytologia","51: 16","","1982"
kew-248322,A,Heliconiaceae,,Heliconia,,"bourgaeana",,"","Petersen",Accepted,,H,WCSP,248322,119314-2,"Fl. Bras.","3(3): 14","","1890"
kew-248323,A,Heliconiaceae,,Heliconia,,"brachyantha",,"","L.Andersson",Accepted,,H,WCSP,248323,278050-2,"Opera Bot.","82: 64","","1985"
kew-248326,A,Heliconiaceae,,Heliconia,,"brenneri",,"","Abalo & G.Morales",Accepted,,H,WCSP,248326,119317-2,"Phytologia","52: 392","","1983"
kew-248330,A,Heliconiaceae,,Heliconia,,"burleana",,"","Abalo & G.Morales",Accepted,,H,WCSP,248330,119319-2,"Phytologia","52: 394","","1983"
kew-248332,A,Heliconiaceae,,Heliconia,,"calatheaphylla",,"","G.S.Daniels & F.G.Stiles",Accepted,,H,WCSP,248332,,"Brenesia","15(Supl.): 17","","1979"
kew-248335,A,Heliconiaceae,,Heliconia,,"caquetensis",,"","Abalo & G.Morales",Accepted,,H,WCSP,248335,119324-2,"Phytologia","51: 18","","1982"
kew-248336,A,Heliconiaceae,,Heliconia,,"carajaensis",,"","Barreiros",Accepted,,H,WCSP,248336,119325-2,"Bradea","3: 104","","1980"
kew-248339,A,Heliconiaceae,,Heliconia,,"caribaea",,"","Lam.",Accepted,,H,WCSP,248339,796933-1,"Encycl.","1: 426","","1785"
kew-248340,A,Heliconiaceae,,Heliconia,,"carmelae",,"","Abalo & G.Morales",Accepted,,H,WCSP,248340,119328-2,"Phytologia","51: 22","","1982"
kew-248343,A,Heliconiaceae,,Heliconia,,"chartacea",,"","Lane ex Barreiros",Accepted,,H,WCSP,248343,584831-1,"Revista Brasil. Biol.","32: 205","","1972"
tro-21500419,A,Heliconiaceae,,Heliconia,,"chiriquina",,"","L. Andersson",Accepted,,M,TRO,21500419,,"Nov. Stirp. Pug.","","",""
kew-248347,A,Heliconiaceae,,Heliconia,,"chrysocraspeda",,"","Abalo & G.Morales",Accepted,,H,WCSP,248347,119332-2,"Phytologia","51: 24","","1982"
kew-248349,A,Heliconiaceae,,Heliconia,,"clinophila",,"","R.R.Sm.",Accepted,,H,WCSP,248349,119334-2,"Phytologia","30: 212","","1975"
kew-248350,A,Heliconiaceae,,Heliconia,,"colgantea",,"","R.R.Sm. ex G.S.Daniels & F.G.Stiles",Accepted,,H,WCSP,248350,119335-2,"Brenesia","15(Supl.): 18","","1979"
kew-248351,A,Heliconiaceae,,Heliconia,,"collinsiana",,"","Griggs",Accepted,,H,WCSP,248351,119336-2,"Bull. Torrey Bot. Club","30: 648","","1903"
kew-248355,A,Heliconiaceae,,Heliconia,,"combinata",,"","Abalo & G.Morales",Accepted,,H,WCSP,248355,119339-2,"Phytologia","54: 418","","1983"
kew-248358,A,Heliconiaceae,,Heliconia,,"cordata",,"","L.Andersson",Accepted,,H,WCSP,248358,278051-2,"Opera Bot.","82: 109","","1985"
kew-248360,A,Heliconiaceae,,Heliconia,,"crassa",,"","Griggs",Accepted,,H,WCSP,248360,119343-2,"Bull. Torrey Bot. Club","30: 646","","1903"
kew-248361,A,Heliconiaceae,,Heliconia,,"cristata",,"","Barreiros",Accepted,,H,WCSP,248361,929240-1,"Bol. Mus. Bot. Kuhlmann","8: 6","","1985"
kew-248362,A,Heliconiaceae,,Heliconia,,"cucullata",,"","W.J.Kress & L.Andersson",Accepted,,H,WCSP,248362,278052-2,"Selbyana","11: 49","","1989"
kew-248363,A,Heliconiaceae,,Heliconia,,"curtispatha",,"","Petersen",Accepted,,H,WCSP,248363,119344-2,"Fl. Bras.","3(3): 15","","1890"
kew-248364,A,Heliconiaceae,,Heliconia,,"danielsiana",,"","W.J.Kress",Accepted,,H,WCSP,248364,119345-2,"J. Arnold Arbor.","65: 507","","1984"
kew-248365,A,Heliconiaceae,,Heliconia,,"darienensis",,"","L.Andersson",Accepted,,H,WCSP,248365,306521-2,"Opera Bot.","111: 69","","1992"
kew-248366,A,Heliconiaceae,,Heliconia,,"dasyantha",,"","K.Koch & C.D.Bouché",Accepted,,H,WCSP,248366,119346-2,"Index Seminum (B)","1854: 12","","1855"
kew-248370,A,Heliconiaceae,,Heliconia,,"densiflora",,"","Verl.",Accepted,,H,WCSP,248370,119350-2,"Rev. Hort.","1869: 274","","1869"
kew-248373,A,Heliconiaceae,,Heliconia,,"dielsiana",,"","Loes.",Accepted,,H,WCSP,248373,119351-2,"Biblioth. Bot.","29: 70","","1937"
kew-248376,A,Heliconiaceae,,Heliconia,,"donstonea",,"","W.J.Kress & Betancur",Accepted,,H,WCSP,248376,976014-1,"Caldasia","17: 186","","1993"
kew-248381,A,Heliconiaceae,,Heliconia,,"episcopalis",,"","Vell.",Accepted,,H,WCSP,248381,119355-2,"Fl. Flumin.","3: 107, t. 22","","1829"
tro-21500463,A,Heliconiaceae,,Heliconia,,"episcopalis x rostrata",,"","",Accepted,,M,TRO,21500463,,"","","",""
kew-248382,A,Heliconiaceae,,Heliconia,,"estherae",,"","Abalo & G.Morales",Accepted,,H,WCSP,248382,119356-2,"Phytologia","51: 28","","1982"
kew-248383,A,Heliconiaceae,,Heliconia,,"estiletioides",,"","Abalo & G.Morales",Accepted,,H,WCSP,248383,119357-2,"Phytologia","51: 30","","1982"
kew-248384,A,Heliconiaceae,,Heliconia,,"excelsa",,"","L.Andersson",Accepted,,H,WCSP,248384,906265-1,"Opera Bot., B","22(221): 64","","1985"
kew-248386,A,Heliconiaceae,,Heliconia,,"farinosa",,"","Raddi",Accepted,,H,WCSP,248386,796948-1,"Mem. Mat. Fis. Soc. Ital. Sci. Modena, Pt. Mem. Fis.","18: 393","","1820"
kew-248393,A,Heliconiaceae,,Heliconia,,"faunorum",,"","W.J.Kress & L.Andersson",Accepted,,H,WCSP,248393,278055-2,"Selbyana","11: 52","","1989"
kew-248395,A,Heliconiaceae,,Heliconia,,"fernandezii",,"","Abalo & G.Morales",Accepted,,H,WCSP,248395,119365-2,"Phytologia","51: 32","","1982"
kew-248396,A,Heliconiaceae,,Heliconia,×,"flabellata",,"","Abalo & G.Morales",Accepted,,H,WCSP,248396,119366-2,"Phytologia","52: 398","","1983"
kew-248400,A,Heliconiaceae,,Heliconia,,"foreroi",,"","Abalo & G.Morales",Accepted,,H,WCSP,248400,305398-2,"Bol. Soc. Venez. Ci. Nat.","44: 162","","1991"
kew-248401,A,Heliconiaceae,,Heliconia,,"fragilis",,"","Abalo & G.Morales",Accepted,,H,WCSP,248401,119368-2,"Phytologia","51: 34","","1982"
kew-248402,A,Heliconiaceae,,Heliconia,,"fredberryana",,"","W.J.Kress",Accepted,,H,WCSP,248402,305519-2,"Brittonia","43: 253","","1991 publ. 1992"
kew-248403,A,Heliconiaceae,,Heliconia,,"fugax",,"","L.Andersson",Accepted,,H,WCSP,248403,278056-2,"Opera Bot.","82: 43","","1985"
kew-248404,A,Heliconiaceae,,Heliconia,,"gaiboriana",,"","Abalo & G.Morales",Accepted,,H,WCSP,248404,959357-1,"Bol. Soc. Venez. Ci. Nat.","44: 142","","1991"
kew-248406,A,Heliconiaceae,,Heliconia,,"gigantea",,"","W.J.Kress & Betancur",Accepted,,H,WCSP,248406,976015-1,"Caldasia","17: 188","","1993"
kew-248409,A,Heliconiaceae,,Heliconia,,"gloriosa",,"","Abalo & G.Morales",Accepted,,H,WCSP,248409,306763-2,"Bol. Soc. Venez. Ci. Nat.","44: 156","","1991"
kew-248412,A,Heliconiaceae,,Heliconia,,"gracilis",,"","G.S.Daniels & F.G.Stiles",Accepted,,H,WCSP,248412,119374-2,"Brenesia","15(Supl.): 21","","1979"
kew-248413,A,Heliconiaceae,,Heliconia,,"griggsiana",,"","L.B.Sm.",Accepted,,H,WCSP,248413,119375-2,"Contr. Gray Herb.","124: 6","","1939"
kew-248414,A,Heliconiaceae,,Heliconia,,"harlingii",,"","L.Andersson",Accepted,,H,WCSP,248414,906267-1,"Opera Bot., B","22(221): 66","","1985"
kew-248417,A,Heliconiaceae,,Heliconia,,"hirsuta",,"","L.f.",Accepted,,H,WCSP,248417,119377-2,"Suppl. Pl.","158","","1782"
kew-248421,A,Heliconiaceae,,Heliconia,,"holmquistiana",,"","Abalo & G.Morales",Accepted,,H,WCSP,248421,302263-2,"Bol. Soc. Venez. Ci. Nat.","44: 164","","1991"
kew-248422,A,Heliconiaceae,,Heliconia,,"huilensis",,"","Abalo & G.Morales",Accepted,,H,WCSP,248422,119380-2,"Phytologia","51: 36","","1982"
kew-248424,A,Heliconiaceae,,Heliconia,,"ignescens",,"","G.S.Daniels & F.G.Stiles",Accepted,,H,WCSP,248424,119383-2,"Brenesia","15(Supl.): 22","","1979"
kew-248426,A,Heliconiaceae,,Heliconia,,"imbricata",,"","(Kuntze) Baker",Accepted,,H,WCSP,248426,119382-2,"Ann. Bot. (Oxford)","7: 191","","1893"
kew-248427,A,Heliconiaceae,,Heliconia,,"impudica",,"","Abalo & G.Morales",Accepted,,H,WCSP,248427,119384-2,"Phytologia","52: 400","","1983"
kew-248428,A,Heliconiaceae,,Heliconia,,"indica",,"","Lam.",Accepted,,H,WCSP,248428,796958-1,"Encycl.","1: 426","","1785"
kew-248429,A,Heliconiaceae,,Heliconia,,"indica",var.,"austrocaledonica","(Vieill.) W.J.Kress",Accepted,,L,WCSP,248429,956278-1,"Allertonia","6: 28","","1990"
kew-248432,A,Heliconiaceae,,Heliconia,,"indica",var.,"indica","",Accepted,,L,WCSP,248432,,"Unknown","","",""
kew-248434,A,Heliconiaceae,,Heliconia,,"indica",var.,"micholitzii","(Ridl.) W.J.Kress",Accepted,,L,WCSP,248434,956277-1,"Allertonia","6: 26","","1990"
kew-248436,A,Heliconiaceae,,Heliconia,,"intermedia",,"","Abalo & G.Morales",Accepted,,H,WCSP,248436,119385-2,"Phytologia","54: 422","","1983"
kew-248437,A,Heliconiaceae,,Heliconia,,"irrasa",,"","R.R.Sm.",Accepted,,H,WCSP,248437,119386-2,"Phytologia","30: 66","","1975"
kew-248442,A,Heliconiaceae,,Heliconia,,"julianii",,"","Barreiros",Accepted,,H,WCSP,248442,119389-2,"Rodriguésia","28: 130","","1976"
kew-248443,A,Heliconiaceae,,Heliconia,,"juruana",,"","Loes.",Accepted,,H,WCSP,248443,278058-2,"Bot. Jahrb. Syst.","54(117): 7","","1916"
kew-248444,A,Heliconiaceae,,Heliconia,,"kautzkiana",,"","Emygdio & E.Santos",Accepted,,H,WCSP,248444,278059-2,"Bradea","4: 350","","1987"
kew-248446,A,Heliconiaceae,,Heliconia,,"lanata",,"","(P.S.Green) W.J.Kress",Accepted,,H,WCSP,248446,947991-1,"Allertonia","6: 40","","1990"
kew-248451,A,Heliconiaceae,,Heliconia,,"lankesteri",,"","Standl.",Accepted,,H,WCSP,248451,119396-2,"J. Wash. Acad. Sci.","17: 162","","1927"
kew-248453,A,Heliconiaceae,,Heliconia,,"lasiorachis",,"","L.Andersson",Accepted,,H,WCSP,248453,278060-2,"Opera Bot.","82: 82","","1985"
kew-248454,A,Heliconiaceae,,Heliconia,,"latispatha",,"","Benth.",Accepted,,H,WCSP,248454,119398-2,"Bot. Voy. Sulphur","170","","1846"
