ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-98038,A,Helwingiaceae,,Helwingia,,"chinensis",,"","Batalin",Accepted,,H,WCSP,98038,90833-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","13: 97","","1893"
kew-98039,A,Helwingiaceae,,Helwingia,,"chinensis",var.,"chinensis","",Accepted,,L,WCSP,98039,,"Unknown","","",""
kew-98040,A,Helwingiaceae,,Helwingia,,"chinensis",var.,"crenata","(Lingelsh. ex Limpr.) W.P.Fang",Accepted,,L,WCSP,98040,,"Acta Phytotax. Sin.","1: 171","","1951"
kew-98048,A,Helwingiaceae,,Helwingia,,"himalaica",,"","Hook.f. & Thomson ex C.B.Clarke",Accepted,,H,WCSP,98048,90834-1,"Fl. Brit. India","2: 726","","1879"
kew-98058,A,Helwingiaceae,,Helwingia,,"japonica",,"","(Thunb.) F.Dietr.",Accepted,,H,WCSP,98058,972474-1,"Nachtr. Vollst. Lex. Gärtn.","3: 660","","1817"
kew-98059,A,Helwingiaceae,,Helwingia,,"japonica",subsp.,"formosana","(Sasaki ex Kaneh.) H.Hara & S.Kuros.",Accepted,,L,WCSP,98059,874500-1,"in Fl. E. Himal.","3rd. Rep.: 403","","1975"
kew-98063,A,Helwingiaceae,,Helwingia,,"japonica",var.,"hypoleuca","Hemsl. ex Rehder",Accepted,,L,WCSP,98063,,"Pl. Wilson.","3: 570","","1916"
kew-98064,A,Helwingiaceae,,Helwingia,,"japonica",subsp.,"japonica","",Accepted,,L,WCSP,98064,,"Unknown","","",""
kew-98066,A,Helwingiaceae,,Helwingia,,"japonica",subsp.,"liukiuensis","(Hatus.) H.Hara & S.Kuros.",Accepted,,L,WCSP,98066,874502-1,"in Fl. E. Himal.","3rd. Rep.: 403","","1975"
kew-248742,A,Helwingiaceae,,Helwingia,,"japonica",var.,"zhejiangensis","(W.P.Fang & Soong) M.B.Deng & Yo.Zhang",Accepted,,L,WCSP,248742,20010394-1,"J. Pl. Resourc. Environ.","11(3): 58","","2002"
kew-98072,A,Helwingiaceae,,Helwingia,,"omeiensis",,"","(W.P.Fang) H.Hara & S.Kuros.",Accepted,,H,WCSP,98072,90836-1,"in Fl. E. Himal.","3rd. Rep.: 410","","1975"
