ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2836998,A,Hernandiaceae,,Gyrocarpus,,"americanus",,"","Jacq.",Accepted,,M,WCSP (in review),956141,170637-1,"Select. Stirp. Amer. Hist.","282","","1763"
kew-2837005,A,Hernandiaceae,,Gyrocarpus,,"americanus",subsp.,"sphenopterus","(R.Br.) Kubitzki",Accepted,,L,WCSP (in review),956148,145550-3,"Bot. Jahrb. Syst.","89: 185","","1969"
kew-2837007,A,Hernandiaceae,,Gyrocarpus,,"angustifolius",,"","(Verdc.) Thulin",Accepted,,M,WCSP (in review),956150,962618-1,"Kew Bull.","46: 278","","1991"
kew-2837011,A,Hernandiaceae,,Gyrocarpus,,"hababensis",,"","Chiov.",Accepted,,M,WCSP (in review),956154,430800-1,"Ann. Bot. (Rome)","9: 132","","1911"
kew-2837016,A,Hernandiaceae,,Gyrocarpus,,"jatrophifolius",,"","Domin",Accepted,,M,WCSP (in review),956159,430802-1,"Biblioth. Bot.","89: 128","","1925"
kew-2837018,A,Hernandiaceae,,Gyrocarpus,,"mocinoi",,"","Espejo",Accepted,,M,WCSP (in review),956161,961653-1,"Acta Bot. Mex.","13: 48","","1991"
tro-50154915,A,Hernandiaceae,,Hernandia,,"albiflora",,"","(C.T. White) Kubitzki",Accepted,,M,TRO,50154915,430805-1,"Bot. Jahrb. Syst.","89(1): 126","126","1969"
tro-15300013,A,Hernandiaceae,,Hernandia,,"didymantha",,"","Donn. Sm.",Accepted,,M,TRO,15300013,120657-2,"Bot. Gaz.","31(2): 120","120","1901"
kew-2846834,A,Hernandiaceae,,Hernandia,,"drakeana",,"","Nadeaud",Accepted,,M,WCSP (in review),965934,464647-1,"J. Bot. (Morot)","13: 4","","1899"
kew-2846835,A,Hernandiaceae,,Hernandia,,"guianensis",,"","Aubl.",Accepted,,M,WCSP (in review),965935,464648-1,"Hist. Pl. Guiane","2: 848","","1775"
tro-15300014,A,Hernandiaceae,,Hernandia,,"hammelii",,"","D'Arcy",Accepted,,M,TRO,15300014,120658-2,"Ann. Missouri Bot. Gard.","68(1): 224-225","224","1981"
tro-15300034,A,Hernandiaceae,,Hernandia,,"lychnifera",,"","Grayum & N. Zamora",Accepted,,M,TRO,15300034,958556-1,"Novon","1(1): 17-20, f. 1-2","17","1991"
tro-15300032,A,Hernandiaceae,,Hernandia,,"mascarenensis",,"","(Meisn.) Kubitzki",Accepted,,M,TRO,15300032,430810-1,"Bot. Jahrb. Syst.","89: 142, f. 32","142","1969"
kew-2846842,A,Hernandiaceae,,Hernandia,,"moerenhoutiana",,"","Guill.",Accepted,,M,WCSP (in review),965942,464650-1,"Ann. Sci. Nat., Bot.","II, 7: 189","","1837"
tro-50154920,A,Hernandiaceae,,Hernandia,,"moerenhoutiana",subsp.,"samoensis","(Hochr.) Kubitzki",Accepted,,L,TRO,50154920,,"Bot. Jahrb. Syst.","89(1): 129, t. 25","129","1969"
kew-2846846,A,Hernandiaceae,,Hernandia,,"nymphaeifolia",,"","(J.Presl) Kubitzki",Accepted,,M,WCSP (in review),965946,430812-1,"Bot. Jahrb. Syst.","90: 272","","1970"
kew-2846848,A,Hernandiaceae,,Hernandia,,"olivacea",,"","Gillespie",Accepted,,M,WCSP (in review),965948,430814-1,"Bernice P. Bishop Mus. Bull.","91: 9","","1932"
