ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2778874,A,Humiriaceae,,Duckesia,,"verrucosa",,"","(Ducke) Cuatrec.",Accepted,,M,WCSP (in review),898704,85534-2,"Contr. U. S. Natl. Herb.","35: 78","","1961"
kew-2789089,A,Humiriaceae,,Endopleura,,"uchi",,"","(Huber) Cuatrec.",Accepted,,M,WCSP (in review),908697,91007-2,"Contr. U. S. Natl. Herb.","35: 81","","1961"
kew-2854910,A,Humiriaceae,,Humiria,,"balsamifera",,"","Aubl.",Accepted,,M,WCSP (in review),973647,,"Hist. Pl. Guiane","564","","1775"
kew-2854914,A,Humiriaceae,,Humiria,,"balsamifera",var.,"floribunda","(Mart.) Cuatrec.",Accepted,,L,WCSP (in review),973651,,"Contr. U. S. Natl. Herb.","35: 99","","1961"
kew-2854916,A,Humiriaceae,,Humiria,,"balsamifera",var.,"guianensis","(Benth.) Cuatrec.",Accepted,,L,WCSP (in review),973653,,"Contr. U. S. Natl. Herb.","35: 103","","1961"
kew-2854919,A,Humiriaceae,,Humiria,,"balsamifera",var.,"laurina","(Urb.) Cuatrec.",Accepted,,L,WCSP (in review),973656,,"Contr. U. S. Natl. Herb.","35: 107","","1961"
tro-15800109,A,Humiriaceae,,Humiria,,"balsamifera",var.,"parvifolia","(A. Juss.) Cuatrec.",Accepted,,L,TRO,15800109,,"Contr. U.S. Natl. Herb.","35(2): 108","108","1961"
kew-2854922,A,Humiriaceae,,Humiria,,"balsamifera",var.,"pilosa","(Steyerm.) Cuatrec.",Accepted,,L,WCSP (in review),973659,,"Contr. U. S. Natl. Herb.","35: 116","","1961"
kew-2854923,A,Humiriaceae,,Humiria,,"balsamifera",var.,"savannarum","(Gleason) Cuatrec.",Accepted,,L,WCSP (in review),973660,,"Contr. U. S. Natl. Herb.","35: 108","","1961"
kew-2854925,A,Humiriaceae,,Humiria,,"balsamifera",var.,"subsessilis","(Urb.) Cuatrec.",Accepted,,L,WCSP (in review),973662,,"Contr. U. S. Natl. Herb.","35: 102","","1961"
kew-2854929,A,Humiriaceae,,Humiria,,"crassifolia",,"","Mart.",Accepted,,M,WCSP (in review),973666,431435-1,"Nov. Gen. Sp. Pl.","2: 143","","1827"
kew-2854941,A,Humiriaceae,,Humiria,,"fruticosa",,"","Cuatrec.",Accepted,,M,WCSP (in review),973678,124782-2,"Contr. U. S. Natl. Herb.","35: 118","","1961"
kew-2854956,A,Humiriaceae,,Humiria,,"wurdackii",,"","Cuatrec.",Accepted,,M,WCSP (in review),973693,124789-2,"Contr. U. S. Natl. Herb.","35: 119","","1961"
kew-2854963,A,Humiriaceae,,Humiriastrum,,"colombianum",,"","(Cuatrec.) Cuatrec.",Accepted,,M,WCSP (in review),973700,124794-2,"Contr. U. S. Natl. Herb.","35: 134","","1961"
kew-2854964,A,Humiriaceae,,Humiriastrum,,"cuspidatum",,"","(Benth.) Cuatrec.",Accepted,,M,WCSP (in review),973701,124795-2,"Contr. U. S. Natl. Herb.","35: 130","","1961"
tro-50193330,A,Humiriaceae,,Humiriastrum,,"cuspidatum",var.,"glabriflorum","(Ducke) Cuatrec.",Accepted,,L,TRO,50193330,,"Contr. U.S. Natl. Herb.","35(2): 132","132","1961"
tro-50193333,A,Humiriaceae,,Humiriastrum,,"dentatum",,"","(Casar.) Cuatrec.",Accepted,,M,TRO,50193333,124797-2,"Contr. U.S. Natl. Herb.","35(2): 136","136","1961"
tro-15800034,A,Humiriaceae,,Humiriastrum,,"diguense",,"","(Cuatrec.) Cuatrec.",Accepted,,M,TRO,15800034,124798-2,"Contr. U.S. Natl. Herb.","35(2): 141","141","1961"
tro-15800118,A,Humiriaceae,,Humiriastrum,,"diguense",var.,"anchicayanum","(Cuatrec.) Cuatrec.",Accepted,,L,TRO,15800118,,"Contr. U.S. Natl. Herb.","35(2): 142","142","1961"
tro-15800049,A,Humiriaceae,,Humiriastrum,,"excelsum",,"","(Ducke) Cuatrec.",Accepted,,M,TRO,15800049,124800-2,"Contr. U.S. Natl. Herb.","35(2): 133","133","1961"
tro-15800124,A,Humiriaceae,,Humiriastrum,,"glaziovii",,"","(Urb.) Cuatrec.",Accepted,,M,TRO,15800124,124801-2,"Contr. U.S. Natl. Herb.","35(2): 137","137","1961"
kew-2854973,A,Humiriaceae,,Humiriastrum,,"liesneri",,"","Cuatrec.",Accepted,,M,WCSP (in review),973710,300956-2,"Phytologia","71: 165","","1991"
tro-15800119,A,Humiriaceae,,Humiriastrum,,"melanocarpum",,"","(Cuatrec.) Cuatrec.",Accepted,,M,TRO,15800119,124804-2,"Contr. U.S. Natl. Herb.","35(2): 145","145","1961"
kew-2854977,A,Humiriaceae,,Humiriastrum,,"obovatum",,"","(Benth.) Cuatrec.",Accepted,,M,WCSP (in review),973714,124805-2,"Contr. U. S. Natl. Herb.","35: 125","","1961"
kew-2854978,A,Humiriaceae,,Humiriastrum,,"ottohuberi",,"","Cuatrec.",Accepted,,M,WCSP (in review),973715,278306-2,"Phytologia","68: 260","","1990"
kew-2854979,A,Humiriaceae,,Humiriastrum,,"piraparanense",,"","Cuatrec.",Accepted,,M,WCSP (in review),973716,124806-2,"Contr. U. S. Natl. Herb.","35: 127","","1961"
tro-15800106,A,Humiriaceae,,Humiriastrum,,"procerum",,"","(Little) Cuatrec.",Accepted,,M,TRO,15800106,124807-2,"Contr. U.S. Natl. Herb.","35(2): 143","143","1961"
tro-50193340,A,Humiriaceae,,Humiriastrum,,"subcrenatum",,"","(Benth.) Cuatrec.",Accepted,,M,TRO,50193340,124809-2,"Contr. U.S. Natl. Herb.","35(2): 138","138","1961"
tro-50193328,A,Humiriaceae,,Humiriastrum,,"villosum",,"","(Fróes) Cuatrec.",Accepted,,M,TRO,50193328,124810-2,"Contr. U.S. Natl. Herb.","35(2): 126","126","1961"
tro-50140878,A,Humiriaceae,,Hylocarpa,,"heterocarpa",,"","(Ducke) Cuatrec.",Accepted,,M,TRO,50140878,125380-2,"Contr. U.S. Natl. Herb.","35(2): 85","85","1961"
kew-2589270,A,Humiriaceae,,Sacoglottis,,"amazonica",,"","Mart.",Accepted,,M,WCSP (in review),714174,431482-1,"Nov. Gen. Sp. Pl. Bras.","2: 146","","1827"
kew-2589271,A,Humiriaceae,,Sacoglottis,,"ceratocarpa",,"","Ducke",Accepted,,M,WCSP (in review),714175,225095-2,"Bol. Técn. Inst. Agron. N.","4: 13","","1945"
kew-2589266,A,Humiriaceae,,Sacoglottis,,"cydonioides",,"","Cuatrec.",Accepted,,M,WCSP (in review),714170,225096-2,"Contr. U. S. Natl. Herb.","35: 183","","1961"
kew-2589249,A,Humiriaceae,,Sacoglottis,,"gabonensis",,"","(Baill.) Urb.",Accepted,,M,WCSP (in review),714154,431491-1,"Fl. Bras.","12(2): 449","","1877"
kew-2589259,A,Humiriaceae,,Sacoglottis,,"guianensis",,"","Benth.",Accepted,,M,WCSP (in review),714164,431492-1,"Hooker's J. Bot. Kew Gard. Misc.","5: 103","","1853"
