ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-374383,A,Hydatellaceae,,Trithuria,,"austinensis",,"","D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Accepted,,H,WCSP,374383,77088638-1,"Taxon","57: 192","","2008"
kew-374384,A,Hydatellaceae,,Trithuria,,"australis",,"","(Diels) D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Accepted,,H,WCSP,374384,77088639-1,"Taxon","57: 193","","2008"
kew-270877,A,Hydatellaceae,,Trithuria,,"bibracteata",,"","Stapf ex D.A.Cooke",Accepted,,H,WCSP,270877,903305-1,"Muelleria","5: 123","","1981 publ. 1983"
kew-374385,A,Hydatellaceae,,Trithuria,,"cookeana",,"","D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Accepted,,H,WCSP,374385,77088640-1,"Taxon","57: 193","","2008"
kew-374386,A,Hydatellaceae,,Trithuria,,"cowieana",,"","D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Accepted,,H,WCSP,374386,77088641-1,"Taxon","57: 195","","2008"
kew-270878,A,Hydatellaceae,,Trithuria,,"filamentosa",,"","Rodway",Accepted,,H,WCSP,270878,163049-1,"Tasman. Fl.","230","","1903"
kew-270879,A,Hydatellaceae,,Trithuria,,"inconspicua",,"","Cheeseman",Accepted,,H,WCSP,270879,163050-1,"Man. New Zealand Fl.","756","","1906"
kew-270880,A,Hydatellaceae,,Trithuria,,"konkanensis",,"","S.R.Yadav & Janarth.",Accepted,,H,WCSP,270880,979103-1,"Rheedea","4: 18","","1994"
kew-270881,A,Hydatellaceae,,Trithuria,,"lanterna",,"","D.A.Cooke",Accepted,,H,WCSP,270881,898973-1,"Muelleria","4: 301","","1981"
kew-270882,A,Hydatellaceae,,Trithuria,,"occidentalis",,"","Benth.",Accepted,,H,WCSP,270882,163051-1,"Fl. Austral.","7: 199","","1878"
kew-374387,A,Hydatellaceae,,Trithuria,,"polybracteata",,"","D.A.Cooke ex D.D.Sokoloff, Remizowa, T.D.Macfarl. & Rudall",Accepted,,H,WCSP,374387,77088642-1,"Taxon","57: 196","","2008"
kew-270883,A,Hydatellaceae,,Trithuria,,"submersa",,"","Hook.f.",Accepted,,H,WCSP,270883,163052-1,"Fl. Tasman.","2: 79","","1858"
