ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2683738,A,Hydrangeaceae,,Broussaisia,,"arguta",,"","Gaudich.",Accepted,,M,WCSP (in review),807073,790440-1,"Voy. Uranie","479","","1830"
kew-2700701,A,Hydrangeaceae,,Cardiandra,,"alternifolia",,"","(Siebold) Siebold & Zucc.",Accepted,,L,WCSP (in review),823792,790451-1,"Fl. Jap.","121","","1840"
kew-2700714,A,Hydrangeaceae,,Cardiandra,,"amamiohsimensis",,"","Koidz.",Accepted,,M,WCSP (in review),823805,790453-1,"Pl. Nov. Amami-Ohsim.","10","","1928"
kew-2700716,A,Hydrangeaceae,,Cardiandra,,"formosana",,"","Hayata",Accepted,,M,WCSP (in review),823807,790454-1,"Bot. Mag. (Tokyo)","20: 54","","1906"
tro-50169427,A,Hydrangeaceae,,Cardiandra,,"moellendorffi",,"","(Hance) H.L. Li",Accepted,,M,TRO,50169427,,"J. Arnold Arbor.","26: 61","61","1945"
tro-50077751,A,Hydrangeaceae,,Cardiandra,,"moellendorffi",var.,"moellendorffi","",Accepted,,L,TRO,50077751,,"","","",""
kew-2700718,A,Hydrangeaceae,,Cardiandra,,"moellendorffii",,"","(Hance) Migo",Accepted,,M,WCSP (in review),823809,790456-1,"J. Jap. Bot.","18: 419","","1942"
kew-2700719,A,Hydrangeaceae,,Cardiandra,,"moellendorffii",var.,"laxiflora","(H.L.Li) C.F.Wei",Accepted,,L,WCSP (in review),823810,988512-1,"Acta Bot. Austro Sin.","10: 8","","1995"
kew-2701230,A,Hydrangeaceae,,Carpenteria,,"californica",,"","Torr.",Accepted,,M,WCSP (in review),824313,790459-1,"Smithsonian Contr. Bot.","6: 12","","1854"
kew-2758765,A,Hydrangeaceae,,Decumaria,,"barbara",,"","L.",Accepted,,M,WCSP (in review),880163,790767-1,"Sp. Pl. ed. 2","1663","","1763"
kew-2758771,A,Hydrangeaceae,,Decumaria,,"sinensis",,"","Oliv.",Accepted,,M,WCSP (in review),880169,790773-1,"Hooker's Icon. Pl.","18: t. 1741","","1888"
kew-2758999,A,Hydrangeaceae,,Deinanthe,,"bifida",,"","Maxim.",Accepted,,M,WCSP (in review),880382,790784-1,"Mém. Acad. Imp. Sci. Saint Pétersbourg, Sér. 7","10(16): 3","","1867"
kew-2759001,A,Hydrangeaceae,,Deinanthe,,"caerulea",,"","Stapf",Accepted,,M,WCSP (in review),880384,790785-1,"Bot. Mag.","137: t. 8373","","1911"
kew-2763161,A,Hydrangeaceae,,Deutzia,,"albida",,"","Batalin",Accepted,,M,WCSP (in review),884520,790790-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","13: 97","","1893"
kew-2763164,A,Hydrangeaceae,,Deutzia,,"aspera",,"","Rehder",Accepted,,M,WCSP (in review),884523,790793-1,"Pl. Wilson.","1: 149","","1912"
kew-2763166,A,Hydrangeaceae,,Deutzia,,"baroniana",,"","Diels",Accepted,,M,WCSP (in review),884525,790794-1,"Bot. Jahrb. Syst.","29: 372","","1900"
kew-2763168,A,Hydrangeaceae,,Deutzia,,"bhutanensis",,"","Zaik.",Accepted,,M,WCSP (in review),884527,431549-1,"Novosti Sist. Vyssh. Rast.","10: 166","","1973"
kew-2763170,A,Hydrangeaceae,,Deutzia,,"bomiensis",,"","S.M.Hwang",Accepted,,M,WCSP (in review),884529,971272-1,"Acta Bot. Austro Sin.","8: 3","","1992"
kew-2763172,A,Hydrangeaceae,,Deutzia,,"breviloba",,"","S.M.Hwang",Accepted,,M,WCSP (in review),884531,971277-1,"Acta Bot. Austro Sin.","8: 11","","1992"
kew-2763174,A,Hydrangeaceae,,Deutzia,,"bungoensis",,"","Hatus.",Accepted,,M,WCSP (in review),884533,790799-1,"J. Jap. Bot.","29: 234","","1954"
kew-2763176,A,Hydrangeaceae,,Deutzia,,"calycosa",,"","Rehder",Accepted,,M,WCSP (in review),884535,790804-1,"Pl. Wilson.","1: 149","","1912"
tro-50077525,A,Hydrangeaceae,,Deutzia,,"calycosa",var.,"calycosa","",Accepted,,L,TRO,50077525,,"","","",""
kew-2763178,A,Hydrangeaceae,,Deutzia,,"calycosa",var.,"macropetala","Rehder",Accepted,,L,WCSP (in review),884537,,"J. Arnold Arbor.","1: 208","","1920"
kew-2763179,A,Hydrangeaceae,,Deutzia,,"calycosa",var.,"xerophyta","(Hand.-Mazz.) S.M.Hwang",Accepted,,L,WCSP (in review),884538,971294-1,"Acta Bot. Austro Sin.","8: 26","","1992"
kew-2763187,A,Hydrangeaceae,,Deutzia,,"cinerascens",,"","Rehder",Accepted,,M,WCSP (in review),884546,790813-1,"Pl. Wilson.","1: 146","","1912"
kew-2763188,A,Hydrangeaceae,,Deutzia,,"compacta",,"","Craib",Accepted,,M,WCSP (in review),884547,790814-1,"Bull. Misc. Inform. Kew","1913: 264","","1913"
kew-2763194,A,Hydrangeaceae,,Deutzia,,"coriacea",,"","Rehder",Accepted,,M,WCSP (in review),884553,790817-1,"Pl. Wilson.","1: 9","","1911"
kew-2763196,A,Hydrangeaceae,,Deutzia,,"corymbosa",,"","R.Br. ex G.Don",Accepted,,M,WCSP (in review),884555,790821-1,"Gen. Hist.","2: 808","","1832"
kew-2763200,A,Hydrangeaceae,,Deutzia,,"corymbosa",var.,"staurothrix","(Airy Shaw) Zaik.",Accepted,,L,WCSP (in review),884559,,"Deitsii-Dekorativnye Kustarniki","26","","1966"
kew-2763201,A,Hydrangeaceae,,Deutzia,,"crassidentata",,"","S.M.Hwang",Accepted,,M,WCSP (in review),884560,971278-1,"Acta Bot. Austro Sin.","8: 12","","1992"
kew-2763202,A,Hydrangeaceae,,Deutzia,,"crassifolia",,"","Rehder",Accepted,,M,WCSP (in review),884561,790822-1,"Pl. Wilson.","1: 148","","1912"
tro-50077530,A,Hydrangeaceae,,Deutzia,,"crassifolia",var.,"crassifolia","",Accepted,,L,TRO,50077530,,"","","",""
kew-2763204,A,Hydrangeaceae,,Deutzia,,"crenata",,"","Siebold & Zucc.",Accepted,,M,WCSP (in review),884563,790823-1,"Fl. Jap.","1: 19","","1835"
kew-2763207,A,Hydrangeaceae,,Deutzia,,"crenata",var.,"heterotricha","(Rehder) H.Hara",Accepted,,L,WCSP (in review),884566,,"J. Jap. Bot.","32: 138","","1957"
kew-2763218,A,Hydrangeaceae,,Deutzia,,"cymuligera",,"","S.M.Hwang",Accepted,,M,WCSP (in review),884577,971274-1,"Acta Bot. Austro Sin.","8: 6","","1992"
kew-2763221,A,Hydrangeaceae,,Deutzia,,"discolor",,"","Hemsl.",Accepted,,M,WCSP (in review),884580,790827-1,"J. Linn. Soc., Bot.","23: 275","","1887"
kew-2763228,A,Hydrangeaceae,,Deutzia,,"esquirolii",,"","(H.Lév.) Rehder",Accepted,,M,WCSP (in review),884587,790831-1,"J. Arnold Arbor.","14: 202","","1933"
kew-2763230,A,Hydrangeaceae,,Deutzia,,"faberi",,"","Rehder",Accepted,,M,WCSP (in review),884589,790833-1,"Pl. Wilson.","1: 18","","1911"
kew-2763235,A,Hydrangeaceae,,Deutzia,,"floribunda",,"","Nakai",Accepted,,M,WCSP (in review),884594,790837-1,"Bot. Mag. (Tokyo)","35: 85","","1921"
kew-2763240,A,Hydrangeaceae,,Deutzia,,"glabrata",,"","Kom.",Accepted,,M,WCSP (in review),884599,790841-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","22: 433","","1903"
kew-2763241,A,Hydrangeaceae,,Deutzia,,"glabrata",var.,"sessilifolia","(Pamp.) Zaik.",Accepted,,L,WCSP (in review),884600,,"Deitsii-Dekorativnye Kustarniki","21","","1966"
kew-2763242,A,Hydrangeaceae,,Deutzia,,"glauca",,"","W.C.Cheng",Accepted,,M,WCSP (in review),884601,790842-1,"Contr. Biol. Lab. Chin. Assoc. Advancem. Sci., Sect. Bot.","10: 71","","1935"
kew-2763244,A,Hydrangeaceae,,Deutzia,,"glaucophylla",,"","S.M.Hwang",Accepted,,M,WCSP (in review),884603,971280-1,"Acta Bot. Austro Sin.","8: 16","","1992"
kew-2763246,A,Hydrangeaceae,,Deutzia,,"glomeruliflora",,"","Franch.",Accepted,,M,WCSP (in review),884605,,"Nouv. Arch. Mus. Hist. Nat.","II, 8: 236","","1886"
kew-2763250,A,Hydrangeaceae,,Deutzia,,"gracilis",,"","Siebold & Zucc.",Accepted,,M,WCSP (in review),884609,790847-1,"Fl. Jap.","1: 22","","1835"
kew-2763257,A,Hydrangeaceae,,Deutzia,,"grandiflora",,"","Bunge",Accepted,,M,WCSP (in review),884616,,"Mém. Acad. Imp. Sci. St.-Pétersbourg, Divers Savans","2: 104","","1835"
kew-2763260,A,Hydrangeaceae,,Deutzia,,"hatusimae",,"","H.Ohba, L.M.Niu & Minamit.",Accepted,,M,WCSP (in review),884619,1018585-1,"J. Jap. Bot.","75: 292","","2000"
kew-2763263,A,Hydrangeaceae,,Deutzia,,"henryi",,"","Rehder",Accepted,,M,WCSP (in review),884622,790852-1,"Pl. Wilson.","1: 148","","1912"
kew-2763264,A,Hydrangeaceae,,Deutzia,,"heterophylla",,"","S.M.Hwang",Accepted,,M,WCSP (in review),884623,971275-1,"Acta Bot. Austro Sin.","8: 8","","1992"
