ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-309306,A,Hydrocharitaceae,,Blyxa,,"aubertii",,"","Rich.",Accepted,,H,WCSP,309306,431616-1,"Mem. Cl. Sci. Math. Inst. Natl. France","1811(2): 19","","1814"
kew-311655,A,Hydrocharitaceae,,Blyxa,,"aubertii",var.,"aubertii","",Accepted,,L,WCSP,311655,,"Unknown","","",""
kew-309307,A,Hydrocharitaceae,,Blyxa,,"aubertii",var.,"echinosperma","(C.B.Clarke) C.D.K.Cook & Luond",Accepted,,L,WCSP,309307,,"Aquatic Bot.","15: 14","","1983"
kew-309320,A,Hydrocharitaceae,,Blyxa,,"hexandra",,"","C.D.K.Cook & Luond",Accepted,,H,WCSP,309320,896368-1,"Mitt. Bot. Staatssamml. München","16: 485","","1980"
kew-309321,A,Hydrocharitaceae,,Blyxa,,"japonica",,"","(Miq.) Maxim. ex Asch. & Gürke",Accepted,,H,WCSP,309321,431629-1,"Nat. Pflanzenfam.","2(1): 253","","1889"
kew-309322,A,Hydrocharitaceae,,Blyxa,,"japonica",var.,"alternifolia","(Miq.) C.D.K.Cook & Luond",Accepted,,L,WCSP,309322,,"Aquatic Bot.","15: 25","","1983"
kew-311656,A,Hydrocharitaceae,,Blyxa,,"japonica",var.,"japonica","",Accepted,,L,WCSP,311656,,"Unknown","","",""
kew-309323,A,Hydrocharitaceae,,Blyxa,,"javanica",,"","Hassk.",Accepted,,H,WCSP,309323,431630-1,"Tijdschr. Natuurl. Gesch. Physiol.","10: 121","","1843"
kew-309330,A,Hydrocharitaceae,,Blyxa,,"novoguineensis",,"","Hartog",Accepted,,H,WCSP,309330,431637-1,"Acta Bot. Neerl.","6: 47","","1957"
kew-309331,A,Hydrocharitaceae,,Blyxa,,"octandra",,"","(Roxb.) Planch. ex Thwaites",Accepted,,H,WCSP,309331,55504-3,"Enum. Pl. Zeyl.","332","","1864"
kew-309333,A,Hydrocharitaceae,,Blyxa,,"quadricostata",,"","Hartog",Accepted,,H,WCSP,309333,431640-1,"Blumea","21: 185","","1973"
kew-309334,A,Hydrocharitaceae,,Blyxa,,"radicans",,"","Ridl.",Accepted,,H,WCSP,309334,431641-1,"J. Linn. Soc., Bot.","21: 236","","1886"
