ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50254781,A,Hydroleaceae,,Hydrolea,,"capsularis",,"","(L.) Druce",Accepted,,M,TRO,50254781,125256-2,"Bot. Exch. Club Soc. Brit. Isles","3: 419","419","1914"
kew-2856447,A,Hydroleaceae,,Hydrolea,,"elatior",,"","Schott",Accepted,,M,WCSP (in review),975085,432201-1,"Syst. Veg.","4(2): 404","","1827"
kew-2856452,A,Hydroleaceae,,Hydrolea,,"floribunda",,"","Kotschy & Peyr.",Accepted,,M,WCSP (in review),975090,,"Pl. Tinn.","22","","1867"
kew-2856453,A,Hydroleaceae,,Hydrolea,,"glabra",,"","Schumach. & Thonn.",Accepted,,M,WCSP (in review),975091,432208-1,"Beskr. Guin. Pl.","161","","1827"
kew-2856466,A,Hydroleaceae,,Hydrolea,,"macrosepala",,"","A.W.Benn.",Accepted,,M,WCSP (in review),975104,432218-1,"J. Linn. Soc., Bot.","9: 277","","1871"
tro-16200078,A,Hydroleaceae,,Hydrolea,,"ovata",,"","Nutt. ex Choisy",Accepted,,M,TRO,16200078,,"Mém. Soc. Phys. Genève","6: 109-110, pl. 1","109","1833"
tro-16200434,A,Hydroleaceae,,Hydrolea,,"palustris",,"","(Aubl.) Raeusch.",Accepted,,M,TRO,16200434,432231-1,"Nomencl. Bot.","3: 76","76","1797"
kew-2856488,A,Hydroleaceae,,Hydrolea,,"prostrata",,"","Exell",Accepted,,M,WCSP (in review),975126,432234-1,"J. Bot.","67(Suppl. 2): 106","","1929"
kew-2856496,A,Hydroleaceae,,Hydrolea,,"spinosa",,"","L.",Accepted,,M,WCSP (in review),975134,432240-1,"Sp. Pl.","328","","1753"
tro-50167480,A,Hydroleaceae,,Hydrolea,,"spinosa",var.,"cervantesii","(Brand) L.J. Davenp. & A. Pool",Accepted,,L,TRO,50167480,,"Novon","10(1): 12","12","2000"
tro-50254777,A,Hydroleaceae,,Hydrolea,,"spinosa",var.,"paludosa","(A.W. Benn.) Brand",Accepted,,L,TRO,50254777,,"Pflanzenr.","IV. 251(Heft 59): 182","182","1913"
kew-2856510,A,Hydroleaceae,,Hydrolea,,"spinosa",var.,"paraguayensis","(Chodat) L.J.Davenp.",Accepted,,L,WCSP (in review),975148,,"Rhodora","90: 184","","1988"
tro-16200550,A,Hydroleaceae,,Hydrolea,,"spinosa",var.,"spinosa","",Accepted,,L,TRO,16200550,,"","","",""
kew-2856518,A,Hydroleaceae,,Hydrolea,,"uniflora",,"","Raf.",Accepted,,M,WCSP (in review),975156,432245-1,"Autik. Bot.","34","","1840"
kew-2856522,A,Hydroleaceae,,Hydrolea,,"zeylanica",,"","(L.) Vahl",Accepted,,M,WCSP (in review),975160,150760-3,"Symb. Bot.","2: 46","","1791"
