ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2742402,A,Hypericaceae,,Cratoxylum,,"arborescens",,"","(Vahl) Blume",Accepted,,L,WCSP (in review),864390,433048-1,"Ann. Mus. Bot. Lugduno-Batavi","2: 17","","1856"
kew-2742412,A,Hypericaceae,,Cratoxylum,,"cochinchinense",,"","(Lour.) Blume",Accepted,,L,WCSP (in review),864400,433054-1,"Ann. Mus. Bot. Lugduno-Batavi","2: 17","","1856"
kew-2742416,A,Hypericaceae,,Cratoxylum,,"formosum",,"","(Jacq.) Benth. & Hook.f. ex Dyer",Accepted,,M,WCSP (in review),864404,433057-1,"Fl. Brit. India","1: 258","","1874"
kew-2742417,A,Hypericaceae,,Cratoxylum,,"formosum",subsp.,"pruniflorum","(Kurz) Gogelein",Accepted,,L,WCSP (in review),864405,60449269-2,"Blumea","15: 469","","1967"
kew-2742418,A,Hypericaceae,,Cratoxylum,,"glaucum",,"","Korth.",Accepted,,M,WCSP (in review),864406,433058-1,"Flora","31: 579","","1848"
kew-2742425,A,Hypericaceae,,Cratoxylum,,"maingayi",,"","Dyer",Accepted,,M,WCSP (in review),864413,433063-1,"Fl. Brit. India","1: 258","","1874"
kew-2742440,A,Hypericaceae,,Cratoxylum,,"sumatranum",,"","(Jack) Blume",Accepted,,L,WCSP (in review),864428,433074-1,"Ann. Mus. Bot. Lugduno-Batavi","2: 16","","1856"
kew-2742441,A,Hypericaceae,,Cratoxylum,,"sumatranum",subsp.,"blancoi","(Blume) Gogelein",Accepted,,L,WCSP (in review),864429,,"Blumea","15: 463","","1967"
kew-2742442,A,Hypericaceae,,Cratoxylum,,"sumatranum",subsp.,"neriifolium","(Kurz) Gogelein",Accepted,,L,WCSP (in review),864430,,"Blumea","15: 463","","1967"
kew-2787565,A,Hypericaceae,,Eliea,,"articulata",,"","Cambess.",Accepted,,M,WCSP (in review),907322,433085-1,"Ann. Sci. Nat. (Paris)","20: 401","","1830"
kew-2787566,A,Hypericaceae,,Eliea,,"articulata",subsp.,"brevistyla","(Drake) H.Perrier",Accepted,,L,WCSP (in review),907323,,"in Fl. Madag.","135: 10","","1951"
kew-2840115,A,Hypericaceae,,Harungana,,"madagascariensis",,"","Lam. ex Poir.",Accepted,,M,WCSP (in review),959252,153821-3,"Encycl.","6: 314","","1804"
kew-2840116,A,Hypericaceae,,Harungana,,"montana",,"","Spirlet",Accepted,,M,WCSP (in review),959253,428336-1,"Bull. Jard. Bot. État","29: 321","","1959"
kew-2857643,A,Hypericaceae,,Hypericum,,"abilianum",,"","N.Robson",Accepted,,M,WCSP (in review),976281,896517-1,"Bol. Soc. Brot.","II, 53: 114","","1980"
tro-7800273,A,Hypericaceae,,Hypericum,,"aciculare",,"","Kunth",Accepted,,M,TRO,7800273,433145-1,"Nov. Gen. Sp. (quarto ed.)","5: 190","190","1821"
tro-7801656,A,Hypericaceae,,Hypericum,,"acmosepalum",,"","N. Robson",Accepted,,M,TRO,7801656,433147-1,"J. Roy. Hort. Soc.","95: 490","490","1970"
tro-7801425,A,Hypericaceae,,Hypericum,,"acostanum",,"","Steyerm. ex N. Robson",Accepted,,M,TRO,7801425,278567-2,"Bull. Brit. Mus. (Nat. Hist.), Bot.","16(1): 27-28, map 3","27","1987"
tro-7801661,A,Hypericaceae,,Hypericum,,"addingtonii",,"","N. Robson",Accepted,,M,TRO,7801661,906350-1,"Bull. Brit. Mus. (Nat. Hist.), Bot.","12(4): 251, f. 17","251","1985"
kew-2857668,A,Hypericaceae,,Hypericum,,"adpressum",,"","W.P.C.Barton",Accepted,,M,WCSP (in review),976306,433157-1,"Comp. Fl. Philadelph.","2: 15","","1818"
tro-7800973,A,Hypericaceae,,Hypericum,,"adpressum",f.,"spongiosum","(B.L. Rob.) Fernald",Accepted,,L,TRO,7800973,126112-2,"Rhodora","51(605): 112","112","1949"
tro-50191986,A,Hypericaceae,,Hypericum,,"adsharicum",,"","(Woronow) A.P. Khokhr.",Accepted,,M,TRO,50191986,962789-1,"Byull. Moskovsk. Obshch. Isp. Prir. Otd. Biol.","96(3): 108","108","1991"
kew-2857682,A,Hypericaceae,,Hypericum,,"afromontanum",,"","Bullock",Accepted,,M,WCSP (in review),976320,428366-1,"Bull. Misc. Inform. Kew","1932: 492","","1932"
tro-7800895,A,Hypericaceae,,Hypericum,,"alpigenum",,"","Kit.",Accepted,,M,TRO,7800895,433168-1,"","","",""
tro-7800691,A,Hypericaceae,,Hypericum,,"anagalloides",,"","Cham. & Schltdl.",Accepted,,M,TRO,7800691,317530-2,"Linnaea","3(2): 127","127","1828"
tro-7801375,A,Hypericaceae,,Hypericum,,"andinum",,"","Gleason",Accepted,,M,TRO,7801375,126123-2,"Torreya","29: 137","137","1929"
kew-2857714,A,Hypericaceae,,Hypericum,,"andjerinum",,"","Font Quer & Pau",Accepted,,M,WCSP (in review),976352,428373-1,"Iter Marocc.","1930: 423","","1932"
kew-2857718,A,Hypericaceae,,Hypericum,,"androsaemum",,"","L.",Accepted,,M,WCSP (in review),976356,433187-1,"Sp. Pl.","784","","1753"
