ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-303671,A,Hypoxidaceae,,Curculigo,,"annamitica",,"","Gagnep.",Accepted,,H,WCSP,303671,,"Fl. Indo-Chine","6: 685","","1934"
kew-303675,A,Hypoxidaceae,,Curculigo,,"breviscapa",,"","S.C.Chen",Accepted,,H,WCSP,303675,434172-1,"Acta Phytotax. Sin.","11: 132","","1966"
kew-303677,A,Hypoxidaceae,,Curculigo,,"conoc",,"","Gagnep.",Accepted,,H,WCSP,303677,64142-1,"Fl. Indo-Chine","6: 683","","1934"
kew-303679,A,Hypoxidaceae,,Curculigo,,"disticha",,"","Gagnep.",Accepted,,H,WCSP,303679,64143-1,"Fl. Indo-Chine","6: 682","","1934"
kew-303680,A,Hypoxidaceae,,Curculigo,,"ensifolia",,"","R.Br.",Accepted,,H,WCSP,303680,64146-1,"Prodr. Fl. Nov. Holl.","290","","1810"
kew-311712,A,Hypoxidaceae,,Curculigo,,"ensifolia",var.,"ensifolia","",Accepted,,L,WCSP,311712,,"Unknown","","",""
kew-303682,A,Hypoxidaceae,,Curculigo,,"erecta",,"","Lauterb.",Accepted,,H,WCSP,303682,64147-1,"Bot. Jahrb. Syst.","50: 304","","1913"
kew-303703,A,Hypoxidaceae,,Curculigo,,"orchioides",,"","Gaertn.",Accepted,,H,WCSP,303703,64163-1,"Fruct. Sem. Pl.","1: 63","","1788"
kew-303706,A,Hypoxidaceae,,Curculigo,,"pilosa",,"","(Schumach. & Thonn.) Engl.",Accepted,,H,WCSP,303706,,"Veg. Erde","9(II): 353","","1908"
kew-303707,A,Hypoxidaceae,,Curculigo,,"pilosa",subsp.,"major","(Baker) Wiland",Accepted,,L,WCSP,303707,998529-1,"Fragm. Florist. Geobot.","42: 19","","1997"
kew-303708,A,Hypoxidaceae,,Curculigo,,"pilosa",subsp.,"minor","(Guinea) Wiland",Accepted,,L,WCSP,303708,998528-1,"Fragm. Florist. Geobot.","42: 16","","1997"
kew-303711,A,Hypoxidaceae,,Curculigo,,"racemosa",,"","Ridl.",Accepted,,H,WCSP,303711,64168-1,"J. Straits Branch Roy. Asiat. Soc.","44: 198","","1905"
kew-303716,A,Hypoxidaceae,,Curculigo,,"scorzonerifolia",,"","(Lam.) Baker",Accepted,,H,WCSP,303716,64173-1,"J. Linn. Soc., Bot.","17: 124","","1878"
kew-303717,A,Hypoxidaceae,,Curculigo,,"seychellensis",,"","Bojer ex Baker",Accepted,,H,WCSP,303717,,"Fl. Mauritius","368","","1877"
kew-303718,A,Hypoxidaceae,,Curculigo,,"sinensis",,"","S.C.Chen",Accepted,,H,WCSP,303718,434173-1,"Acta Phytotax. Sin.","11: 133","","1966"
kew-303722,A,Hypoxidaceae,,Curculigo,,"tonkinensis",,"","Gagnep.",Accepted,,H,WCSP,303722,64177-1,"Fl. Indo-Chine","6: 684","","1934"
kew-305371,A,Hypoxidaceae,,Empodium,,"elongatum",,"","(Nel) B.L.Burtt",Accepted,,H,WCSP,305371,434174-1,"Notes Roy. Bot. Gard. Edinburgh","32: 311","","1973"
kew-305372,A,Hypoxidaceae,,Empodium,,"flexile",,"","(Nel) M.F.Thomps. ex Snijman",Accepted,,H,WCSP,305372,1017458-1,"Strelitzia","9: 714","","2000"
kew-305373,A,Hypoxidaceae,,Empodium,,"gloriosum",,"","(Nel) B.L.Burtt",Accepted,,H,WCSP,305373,434175-1,"Notes Roy. Bot. Gard. Edinburgh","32: 312","","1973"
kew-305374,A,Hypoxidaceae,,Empodium,,"monophyllum",,"","(Nel) B.L.Burtt",Accepted,,H,WCSP,305374,434176-1,"Notes Roy. Bot. Gard. Edinburgh","32: 313","","1973"
kew-305375,A,Hypoxidaceae,,Empodium,,"namaquensis",,"","(Baker) M.F.Thomps.",Accepted,,H,WCSP,305375,434177-1,"Fl. Pl. Africa","44: t. 1727","","1977"
kew-305377,A,Hypoxidaceae,,Empodium,,"plicatum",,"","(Thunb.) Garside",Accepted,,H,WCSP,305377,,"Fl. Cape Pen.","214","","1950"
