ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-35202041,A,Icacinaceae,,Adelanthus,,"bisetulus",,"","(Stephani) Grolle",Accepted,,M,TRO,35202041,,"J. Hattori Bot. Lab.","35: 359","359","1972"
tro-35214967,A,Icacinaceae,,Adelanthus,,"carabayensis",,"","(Mont.) Grolle",Accepted,,M,TRO,35214967,,"J. Hattori Bot. Lab.","35: 348","348","1972"
tro-35187105,A,Icacinaceae,,Adelanthus,,"decipiens",,"","(Hook.) Mitt.",Accepted,,M,TRO,35187105,,"J. Proc. Linn. Soc., Bot.","7: 244","244","1864"
tro-35215980,A,Icacinaceae,,Adelanthus,,"gemmiparus",,"","(R.M. Schust.) E.A. Hodgs.",Accepted,,M,TRO,35215980,,"","","","1970"
tro-35187107,A,Icacinaceae,,Adelanthus,,"lindenbergianus",,"","(Lehm.) Mitt.",Accepted,,M,TRO,35187107,,"J. Proc. Linn. Soc., Bot.","7: 244","244","1864"
tro-35190726,A,Icacinaceae,,Adelanthus,,"magellanicus",,"","(Lindenb.) Mitt.",Accepted,,M,TRO,35190726,,"J. Proc. Linn. Soc., Bot.","7: 244","244","1864"
tro-35190733,A,Icacinaceae,,Adelanthus,,"sphalerus",,"","(Hook. & Taylor) Stephani",Accepted,,M,TRO,35190733,,"Sp. Hepat.","3: 383","383","1908"
tro-35190735,A,Icacinaceae,,Adelanthus,,"unciformis",,"","(Hook. & Taylor) Spruce",Accepted,,M,TRO,35190735,,"J. Bot.","17: 217","217","1876"
kew-2630928,A,Icacinaceae,,Alsodeiopsis,,"chippii",,"","Hutch.",Accepted,,M,WCSP (in review),754651,434201-1,"Bull. Misc. Inform. Kew","1912: 224","","1912"
kew-2630929,A,Icacinaceae,,Alsodeiopsis,,"chippii",subsp.,"rubra","(Engl.) Govaerts",Accepted,,L,WCSP (in review),754652,,"World Checklist Seed Pl.","1(1): 6","","1994"
kew-2630930,A,Icacinaceae,,Alsodeiopsis,,"chippii",subsp.,"villosa","(Keay) Govaerts",Accepted,,L,WCSP (in review),754653,,"World Checklist Seed Pl.","1(1): 6","","1994"
kew-2630931,A,Icacinaceae,,Alsodeiopsis,,"glaberrima",,"","Engl. ex Hutch. & Dalziel",Accepted,,M,WCSP (in review),754654,434202-1,"Fl. W. Trop. Afr.","1: 455","","1928"
kew-2630934,A,Icacinaceae,,Alsodeiopsis,,"mannii",,"","Oliv.",Accepted,,M,WCSP (in review),754657,607572-1,"J. Linn. Soc., Bot.","10: 43","","1869"
kew-2630937,A,Icacinaceae,,Alsodeiopsis,,"poggei",,"","Engl.",Accepted,,M,WCSP (in review),754660,607574-1,"Bot. Jahrb. Syst.","17: 71","","1893"
kew-2630939,A,Icacinaceae,,Alsodeiopsis,,"rowlandii",,"","Engl.",Accepted,,M,WCSP (in review),754662,607575-1,"Bot. Jahrb. Syst.","24: 479","","1898"
kew-2630941,A,Icacinaceae,,Alsodeiopsis,,"schumannii",,"","(Engl.) Engl.",Accepted,,M,WCSP (in review),754664,607577-1,"Nat. Pflanzenfam.","Nachtr. 1: 226","","1897"
kew-2630942,A,Icacinaceae,,Alsodeiopsis,,"staudtii",,"","Engl.",Accepted,,M,WCSP (in review),754665,607578-1,"Bot. Jahrb. Syst.","24: 479","","1898"
