ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-16602129,A,Iridaceae,,Acidanthera,,"laxa",,"","Goldblume",Accepted,,M,TRO,16602129,,"","","",""
kew-326374,A,Iridaceae,,Ainea,,"conzattii",,"","(R.C.Foster) Ravenna",Accepted,,L,iPlants,326374,435770-1,"Bot. Not.","132: 468","","1979"
kew-326382,A,Iridaceae,,Alophia,,"drummondii",,"","(Graham) R.C.Foster",Accepted,,H,iPlants,326382,9609-2,"Contr. Gray Herb.","155: 34","","1945"
kew-326385,A,Iridaceae,,Alophia,,"intermedia",,"","(Ravenna) Goldblatt",Accepted,,H,iPlants,326385,9612-2,"Brittonia","27: 384","","1975 publ. 1976"
kew-326391,A,Iridaceae,,Alophia,,"medusa",,"","(Baker) Goldblatt",Accepted,,H,iPlants,326391,9616-2,"Brittonia","27: 384","","1975 publ. 1976"
kew-326395,A,Iridaceae,,Alophia,,"silvestris",,"","(Loes.) Goldblatt",Accepted,,H,iPlants,326395,9618-2,"Brittonia","27: 384","","1975 publ. 1976"
kew-326399,A,Iridaceae,,Alophia,,"veracruzana",,"","Goldblatt & T.M.Howard",Accepted,,H,iPlants,326399,305626-2,"Ann. Missouri Bot. Gard.","79: 903","","1992"
tro-16600095,A,Iridaceae,,Anapalina,,"caffra",,"","Lewis",Accepted,,M,TRO,16600095,,"","","",""
kew-326547,A,Iridaceae,,Aristea,,"abyssinica",,"","Pax",Accepted,,H,iPlants,326547,,"Abh. Königl. Akad. Wiss. Berlin","1891: 173","","1892"
kew-326549,A,Iridaceae,,Aristea,,"africana",,"","(L.) Hoffmanns.",Accepted,,H,iPlants,326549,435935-1,"Verz. Pfl.-Kult.","40","","1824"
kew-326550,A,Iridaceae,,Aristea,,"alata",,"","Baker",Accepted,,H,iPlants,326550,435936-1,"J. Linn. Soc., Bot.","21: 405","","1885"
kew-326551,A,Iridaceae,,Aristea,,"anceps",,"","Eckl. ex Klatt",Accepted,,H,iPlants,326551,435937-1,"Linnaea","34: 550","","1866"
kew-326552,A,Iridaceae,,Aristea,,"angolensis",,"","Baker",Accepted,,H,iPlants,326552,435938-1,"Trans. Linn. Soc. London, Bot.","1: 270","","1878"
kew-329214,A,Iridaceae,,Aristea,,"angolensis",subsp.,"angolensis","",Accepted,,L,iPlants,329214,,"Unknown","","",""
kew-326554,A,Iridaceae,,Aristea,,"angolensis",subsp.,"majubensis","(Baker) Weim.",Accepted,,L,iPlants,326554,,"Acta Univ. Lund.","n.s., 36(1): 21","","1940"
kew-326555,A,Iridaceae,,Aristea,,"angolensis",subsp.,"pulchella","Weim.",Accepted,,L,iPlants,326555,,"Acta Univ. Lund.","n.s., 36(1): 22","","1940"
kew-326557,A,Iridaceae,,Aristea,,"angustifolia",,"","Baker",Accepted,,H,iPlants,326557,435939-1,"J. Linn. Soc., Bot.","20: 269","","1884"
kew-326558,A,Iridaceae,,Aristea,,"bakeri",,"","Klatt",Accepted,,H,iPlants,326558,435940-1,"Consp. Fl. Afric.","5: 169","","1894"
kew-326560,A,Iridaceae,,Aristea,,"biflora",,"","Weim.",Accepted,,H,iPlants,326560,435942-1,"Acta Univ. Lund.","n.s., 36(1): 54","","1940"
kew-326565,A,Iridaceae,,Aristea,,"cantharophila",,"","Goldblatt & J.C.Manning",Accepted,,H,iPlants,326565,996190-1,"Novon","7: 138","","1997"
kew-326566,A,Iridaceae,,Aristea,,"capitata",,"","(L.) Ker Gawl.",Accepted,,H,iPlants,326566,435944-1,"Bot. Mag.","17: t. 605","","1802"
kew-330005,A,Iridaceae,,Aristea,,"cistiflora",,"","J.C.Manning & Goldblatt",Accepted,,H,iPlants,330005,77067007-1,"Bothalia","35: 5","","2005"
kew-326567,A,Iridaceae,,Aristea,,"cladocarpa",,"","Baker",Accepted,,H,iPlants,326567,435945-1,"J. Linn. Soc., Bot.","20: 268","","1884"
kew-326570,A,Iridaceae,,Aristea,,"compressa",,"","Buchinger ex Baker",Accepted,,H,iPlants,326570,435949-1,"J. Linn. Soc., Bot.","16: 111","","1877"
kew-326576,A,Iridaceae,,Aristea,,"cuspidata",,"","Schinz",Accepted,,H,iPlants,326576,435956-1,"Bull. Misc. Inform. Kew","1906: 25","","1906"
kew-326579,A,Iridaceae,,Aristea,,"dichotoma",,"","(Thunb.) Ker Gawl.",Accepted,,H,iPlants,326579,435959-1,"Irid. Gen.","13","","1827"
kew-326582,A,Iridaceae,,Aristea,,"djalonis",,"","A.Chev. ex Hutch.",Accepted,,H,iPlants,326582,435962-1,"Fl. W. Trop. Afr.","2: 376","","1936"
kew-326583,A,Iridaceae,,Aristea,,"ecklonii",,"","Baker",Accepted,,H,iPlants,326583,435963-1,"J. Linn. Soc., Bot.","16: 112","","1877"
kew-330006,A,Iridaceae,,Aristea,,"elliptica",,"","Goldblatt & A.P.Dold",Accepted,,H,iPlants,330006,77067006-1,"Bothalia","35: 3","","2005"
kew-326585,A,Iridaceae,,Aristea,,"ensifolia",,"","J.Muir",Accepted,,H,iPlants,326585,435965-1,"Ann. Bolus Herb.","3: 139","","1922"
kew-326587,A,Iridaceae,,Aristea,,"fimbriata",,"","Goldblatt & J.C.Manning",Accepted,,H,iPlants,326587,999446-1,"Novon","7: 361","","1997 publ. 1998"
kew-326588,A,Iridaceae,,Aristea,,"flexicaulis",,"","Baker",Accepted,,H,iPlants,326588,,"Handb. Irid.","143","","1892"
kew-326590,A,Iridaceae,,Aristea,,"galpinii",,"","N.E.Br. ex Weim.",Accepted,,H,iPlants,326590,435969-1,"Acta Univ. Lund.","n.s., 36(1): 26","","1940"
kew-326591,A,Iridaceae,,Aristea,,"gerrardii",,"","Weim.",Accepted,,H,iPlants,326591,435970-1,"Acta Univ. Lund.","n.s., 36(1): 17","","1940"
kew-326592,A,Iridaceae,,Aristea,,"glauca",,"","Klatt",Accepted,,H,iPlants,326592,435971-1,"Abh. Naturf. Ges. Halle","15: 381","","1882"
kew-326593,A,Iridaceae,,Aristea,,"goetzei",,"","Harms",Accepted,,H,iPlants,326593,435972-1,"Bot. Jahrb. Syst.","28: 364","","1900"
kew-326595,A,Iridaceae,,Aristea,,"grandis",,"","Weim.",Accepted,,H,iPlants,326595,435974-1,"Acta Univ. Lund.","n.s., 36(1): 30","","1940"
kew-326598,A,Iridaceae,,Aristea,,"humbertii",,"","H.Perrier",Accepted,,H,iPlants,326598,435977-1,"Notul. Syst. (Paris)","8: 130","","1939"
kew-326599,A,Iridaceae,,Aristea,,"inaequalis",,"","Goldblatt & J.C.Manning",Accepted,,H,iPlants,326599,999444-1,"Novon","7: 357","","1997 publ. 1998"
kew-326603,A,Iridaceae,,Aristea,,"juncifolia",,"","Eckl. ex Baker",Accepted,,H,iPlants,326603,,"J. Bot.","14: 267","","1876"
kew-326604,A,Iridaceae,,Aristea,,"kitchingii",,"","Baker",Accepted,,H,iPlants,326604,435982-1,"J. Linn. Soc., Bot.","20: 269","","1884"
kew-326607,A,Iridaceae,,Aristea,,"latifolia",,"","G.J.Lewis",Accepted,,H,iPlants,326607,435985-1,"Ann. S. African Mus.","40: 9","","1952"
kew-326610,A,Iridaceae,,Aristea,,"lugens",,"","(L.f.) Steud.",Accepted,,H,iPlants,326610,435988-1,"Nomencl. Bot.","ed. 2, 1: 130","","1840"
kew-326613,A,Iridaceae,,Aristea,,"madagascariensis",,"","Baker",Accepted,,H,iPlants,326613,435990-1,"J. Bot.","14: 267","","1876"
kew-326618,A,Iridaceae,,Aristea,,"montana",,"","Baker",Accepted,,H,iPlants,326618,435996-1,"Fl. Cap.","6: 49","","1896"
kew-326619,A,Iridaceae,,Aristea,,"monticola",,"","Goldblatt",Accepted,,H,iPlants,326619,435997-1,"J. S. African Bot.","37: 234","","1971"
kew-330007,A,Iridaceae,,Aristea,,"nana",,"","Goldblatt & J.C.Manning",Accepted,,H,iPlants,330007,77067005-1,"Bothalia","35: 1","","2005"
kew-372187,A,Iridaceae,,Aristea,,"nigrescens",,"","J.C.Manning & Goldblatt",Accepted,,H,iPlants,372187,77088527-1,"Bothalia","37: 189","","2007"
kew-326622,A,Iridaceae,,Aristea,,"nyikensis",,"","Baker",Accepted,,H,iPlants,326622,436000-1,"Bull. Misc. Inform. Kew","1897: 281","","1897"
kew-326623,A,Iridaceae,,Aristea,,"oligocephala",,"","Baker",Accepted,,H,iPlants,326623,436001-1,"Handb. Irid.","144","","1892"
kew-326624,A,Iridaceae,,Aristea,,"palustris",,"","Schltr.",Accepted,,H,iPlants,326624,436002-1,"Bot. Jahrb. Syst.","27: 96","","1899"
kew-326628,A,Iridaceae,,Aristea,,"pauciflora",,"","Wolley-Dod",Accepted,,H,iPlants,326628,436006-1,"J. Bot.","38: 171","","1900"
kew-326629,A,Iridaceae,,Aristea,,"platycaulis",,"","Baker",Accepted,,H,iPlants,326629,436007-1,"Gard. Chron.","1887(1): 732","","1887"
