ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2761682,A,Irvingiaceae,,Desbordesia,,"insignis",,"","Pierre",Accepted,,H,WCSP,383573,77106605-1,"Tab. Herb. L.Pierre","t. 6594","","1901"
kew-2866786,A,Irvingiaceae,,Irvingia,,"excelsa",,"","Mildbr.",Accepted,,H,WCSP,385581,813763-1,"Notizbl. Königl. Bot. Gart. Berlin","App. 27: 25","","1913"
kew-2866788,A,Irvingiaceae,,Irvingia,,"gabonensis",,"","(Aubry-Lecomte ex O'Rorke) Baill.",Accepted,,L,WCSP,385583,813766-1,"Traité Bot. Méd. Phan.","2: 841","","1884"
kew-2866792,A,Irvingiaceae,,Irvingia,,"grandifolia",,"","(Engl.) Engl.",Accepted,,H,WCSP,385586,813768-1,"Bot. Jahrb. Syst.","46: 288","","1911"
kew-2866799,A,Irvingiaceae,,Irvingia,,"malayana",,"","Oliv. ex A.W.Benn.",Accepted,,H,WCSP,385593,813775-1,"Fl. Brit. India","1: 522","","1875"
kew-2866807,A,Irvingiaceae,,Irvingia,,"robur",,"","Mildbr.",Accepted,,H,WCSP,385600,813783-1,"Notizbl. Königl. Bot. Gart. Berlin","App. 27: 25","","1913"
kew-2866808,A,Irvingiaceae,,Irvingia,,"smithii",,"","Hook.f.",Accepted,,H,WCSP,385601,813784-1,"Trans. Linn. Soc. London","23: 167","","1860"
kew-2866810,A,Irvingiaceae,,Irvingia,,"tenuinucleata",,"","Tiegh.",Accepted,,H,WCSP,385603,813786-1,"Ann. Sci. Nat., Bot.","IX, 1: 256","","1905"
kew-2336483,A,Irvingiaceae,,Klainedoxa,,"gabonensis",,"","Pierre",Accepted,,H,WCSP,377840,77106607-1,"Nat. Pflanzenfam.","3(4): 227","","1896"
kew-2336468,A,Irvingiaceae,,Klainedoxa,,"trillesii",,"","Pierre ex Tiegh.",Accepted,,H,WCSP,377830,813817-1,"Ann. Sci. Nat., Bot.","IX, 1: 301","","1905"
