ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2719526,A,Iteaceae,,Choristylis,,"rhamnoides",,"","Harv.",Accepted,,M,WCSP (in review),841635,790529-1,"London J. Bot.","1: 19","","1842"
tro-29102365,A,Iteaceae,,Itea,,"amoena",,"","Chun",Accepted,,M,TRO,29102365,791718-1,"Sunyatsenia","1(4): 238-241, f. 2","238","1934"
tro-29102353,A,Iteaceae,,Itea,,"chinensis",,"","Hook. & Arn.",Accepted,,M,TRO,29102353,791722-1,"Bot. Beechey Voy.","189, pl. 39","189","1833"
tro-50009330,A,Iteaceae,,Itea,,"coriacea",,"","Y.C. Wu",Accepted,,M,TRO,50009330,791723-1,"Bot. Jahrb. Syst.","71(2): 177","177","1940"
tro-50077915,A,Iteaceae,,Itea,,"glutinosa",,"","Hand.-Mazz.",Accepted,,M,TRO,50077915,791730-1,"Akad. Wiss. Wien, Math.-Naturwiss. Kl., Anz.","58: 91","91","1921"
tro-50077911,A,Iteaceae,,Itea,,"ilicifolia",,"","Oliv.",Accepted,,M,TRO,50077911,791732-1,"Hooker's Icon. Pl.","16(2): , pl. 1538","","1886"
tro-50077921,A,Iteaceae,,Itea,,"indochinensis",,"","Merr.",Accepted,,M,TRO,50077921,791733-1,"Univ. Calif. Publ. Bot.","8: 134","134","1926"
tro-50077922,A,Iteaceae,,Itea,,"indochinensis",var.,"indochinensis","",Accepted,,L,TRO,50077922,,"","","",""
tro-50077924,A,Iteaceae,,Itea,,"indochinensis",var.,"pubinervia","C.Y. Wu ex H. Chuang",Accepted,,L,TRO,50077924,,"Fl. Yunnan.","1: 106, pl. 27, f. 7","106","1977"
tro-50077914,A,Iteaceae,,Itea,,"kiukiangensis",,"","C.C. Huang & S.C. Huang ex H. Chuang",Accepted,,M,TRO,50077914,,"Fl. Yunnan.","1: 105, pl. 27, f. 2, 3","105","1977"
tro-50209441,A,Iteaceae,,Itea,,"kwangsiensis",,"","H.T. Chang",Accepted,,M,TRO,50209441,337089-1,"J. Sun Yatsen Univ., Nat. Sci.","1959(2): 30","30","1959"
tro-50077912,A,Iteaceae,,Itea,,"macrophylla",,"","Wall.",Accepted,,M,TRO,50077912,791740-1,"Fl. Ind., ed. 1820","2: 419","419","1824"
tro-29101551,A,Iteaceae,,Itea,,"oldhamii",,"","C.K. Schneid.",Accepted,,M,TRO,29101551,,"Ill. Handb. Laubholzk.","1: 396","396","1905"
tro-50078503,A,Iteaceae,,Itea,,"omeiensis",,"","C.K. Schneid.",Accepted,,M,TRO,50078503,791744-1,"Pl. Wilson.","3(2): 421-422","421","1917"
tro-29101190,A,Iteaceae,,Itea,,"parviflora",,"","Hemsl.",Accepted,,M,TRO,29101190,791746-1,"Ann. Bot. (Oxford)","9(33): 153-154","153","1895"
tro-50077908,A,Iteaceae,,Itea,,"riparia",,"","Collett & Hemsl.",Accepted,,M,TRO,50077908,791749-1,"J. Linn. Soc., Bot.","28(189-191): 57","57","1890"
tro-50190629,A,Iteaceae,,Itea,,"tenuinervia",,"","S.Y. Liu",Accepted,,M,TRO,50190629,1019517-1,"Guihaia","21(1): 35-36, f. 1","35","2001"
tro-50077916,A,Iteaceae,,Itea,,"yangchunensis",,"","S.Y. Jin",Accepted,,M,TRO,50077916,987581-1,"Acta Phytotax. Sin.","33(5): 497, pl. 1","497","1995"
tro-29102374,A,Iteaceae,,Itea,,"yunnanensis",,"","Franch.",Accepted,,M,TRO,29102374,791758-1,"J. Bot. (Morot)","10(16): 268-269","268","1896"
tro-50158921,A,Iteaceae,,Pterostemon,,"bravoanus",,"","J. Jiménez Ram. & M. Martínez",Accepted,,M,TRO,50158921,,"Acta Bot. Mex.","41: 21-24, f. 1","21","1997"
