ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2628596,A,Ixonanthaceae,,Allantospermum,,"borneense",,"","Forman",Accepted,,M,WCSP (in review),752422,442125-1,"Kew Bull.","19: 517","","1965"
kew-2628598,A,Ixonanthaceae,,Allantospermum,,"multicaule",,"","(Capuron) Noot.",Accepted,,M,WCSP (in review),752424,442126-1,"Adansonia","n.s., 7: 163","","1967"
kew-2752998,A,Ixonanthaceae,,Cyrillopsis,,"micrantha",,"","(Steyerm.) P.E.Berry & N.Ramírez",Accepted,,M,WCSP (in review),874492,984376-1,"Novon","5: 227","","1995"
kew-2752999,A,Ixonanthaceae,,Cyrillopsis,,"paraensis",,"","Kuhlm.",Accepted,,M,WCSP (in review),874493,75419-2,"Arch. Jard. Bot. Rio de Janeiro","4: 357","","1925"
tro-50171534,A,Ixonanthaceae,,Ixonanthes,,"reticulata",,"","Jack",Accepted,,L,TRO,50171534,544286-1,"Malayan Misc.","2(7): 51","51","1822"
kew-2387566,A,Ixonanthaceae,,Ochthocosmus,,"attenuatus",,"","Steyerm. & Luteyn",Accepted,,M,WCSP (in review),516897,171464-2,"Brittonia","32: 142","","1980"
kew-2387539,A,Ixonanthaceae,,Ochthocosmus,,"berryi",,"","Steyerm.",Accepted,,M,WCSP (in review),516871,281454-2,"Ann. Missouri Bot. Gard.","71: 313","","1984"
kew-2387549,A,Ixonanthaceae,,Ochthocosmus,,"cuanzensis",,"","Exell & Mendonça",Accepted,,M,WCSP (in review),516881,544827-1,"Bol. Soc. Brot.","II, 25: 106","","1951"
kew-2387547,A,Ixonanthaceae,,Ochthocosmus,,"floribundus",,"","Gleason",Accepted,,M,WCSP (in review),516879,171466-2,"Brittonia","3: 166","","1939"
kew-2387544,A,Ixonanthaceae,,Ochthocosmus,,"gossweileri",,"","Exell & Mendonça",Accepted,,M,WCSP (in review),516876,544832-1,"Bol. Soc. Brot.","II, 25: 105","","1951"
kew-2387541,A,Ixonanthaceae,,Ochthocosmus,,"longipedicellatus",,"","Steyerm. & Luteyn",Accepted,,M,WCSP (in review),516873,171468-2,"Brittonia","32: 141","","1980"
kew-2387027,A,Ixonanthaceae,,Ochthocosmus,,"multiflorus",,"","Ducke",Accepted,,M,WCSP (in review),516368,171469-2,"Trop. Woods","50: 33","","1937"
kew-2386368,A,Ixonanthaceae,,Ochthocosmus,,"roraimae",,"","Benth.",Accepted,,M,WCSP (in review),515713,544836-1,"London J. Bot.","2: 266","","1843"
kew-2386367,A,Ixonanthaceae,,Ochthocosmus,,"roraimae",var.,"grandifolius","(Steyerm.) Steyerm. & Luteyn",Accepted,,L,WCSP (in review),515712,171472-2,"Brittonia","32: 135","","1980"
tro-50057633,A,Ixonanthaceae,,Phyllocosmus,,"africanus",,"","(Hook. f.) Klotzsch",Accepted,,M,TRO,50057633,544848-1,"Abh. Königl. Akad. Wiss. Berlin","1856: 233","233","1857"
tro-50181763,A,Ixonanthaceae,,Phyllocosmus,,"congolensis",,"","(De Wild. & T. Durand) T. Durand & H. Durand",Accepted,,M,TRO,50181763,,"Syll. Fl. Congol.","76","76","1909"
kew-2529431,A,Ixonanthaceae,,Phyllocosmus,,"lemaireanus",,"","(De Wild. & T.Durand) T.Durand & H.Durand",Accepted,,M,WCSP (in review),656600,,"Syll. Fl. Congol.","76","","1909"
kew-2529429,A,Ixonanthaceae,,Phyllocosmus,,"sessiliflorus",,"","Oliv.",Accepted,,M,WCSP (in review),656598,544855-1,"Fl. Trop. Afr.","1: 273","","1868"
