ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2628324,A,Juglandaceae,,Alfaroa,,"colombiana",,"","Lazano, J.Hern. & Espinal",Accepted,,M,WCSP (in review),752150,,"Mutisia","49: 2","","1981"
kew-2628325,A,Juglandaceae,,Alfaroa,,"costaricensis",,"","Standl.",Accepted,,M,WCSP (in review),752151,8330-2,"J. Wash. Acad. Sci.","17: 78","","1927"
kew-2628327,A,Juglandaceae,,Alfaroa,,"guanacastensis",,"","D.E.Stone",Accepted,,M,WCSP (in review),752153,442133-1,"Fieldiana, Bot.","40: 40","","1977"
kew-2628328,A,Juglandaceae,,Alfaroa,,"guatemalensis",,"","(Standl.) L.O.Williams & A.R.Molina",Accepted,,L,WCSP (in review),752154,,"Fieldiana, Bot.","32: 208","","1970"
kew-2628329,A,Juglandaceae,,Alfaroa,,"hondurensis",,"","L.O.Williams ex W.E.Manning",Accepted,,M,WCSP (in review),752155,,"Bull. Torrey Bot. Club","86: 194","","1959"
kew-2628330,A,Juglandaceae,,Alfaroa,,"manningii",,"","J.León",Accepted,,M,WCSP (in review),752156,8334-2,"Ceiba","4: 44","","1953"
kew-2628331,A,Juglandaceae,,Alfaroa,,"mexicana",,"","D.E.Stone",Accepted,,M,WCSP (in review),752157,8335-2,"Amer. J. Bot.","60: 477","","1968"
kew-2628333,A,Juglandaceae,,Alfaroa,,"williamsii",,"","Ant.Molina",Accepted,,M,WCSP (in review),752159,8336-2,"Fieldiana, Bot.","31: 357","","1968"
kew-2701739,A,Juglandaceae,,Carya,,"alba",,"","(L.) Nutt. ex Elliott",Accepted,,M,WCSP (in review),824787,,"Gen. N. Amer. Pl.","2: 221","","1818"
kew-2701748,A,Juglandaceae,,Carya,,"aquatica",,"","(F.Michx.) Nutt. ex Elliott",Accepted,,M,WCSP (in review),824796,47778-2,"Sketch Bot. S. Carolina","2: 627","","1824"
kew-2701755,A,Juglandaceae,,Carya,×,"brownii",,"","Sarg.",Accepted,,M,WCSP (in review),824803,442151-1,"Trees & Shrubs","2: 195","","1913"
kew-2701763,A,Juglandaceae,,Carya,,"cathayensis",,"","Sarg.",Accepted,,M,WCSP (in review),824811,442154-1,"Pl. Wilson.","3: 187","","1916"
kew-2701764,A,Juglandaceae,,Carya,×,"collina",,"","Laughlin",Accepted,,M,WCSP (in review),824812,442155-1,"Phytologia","16: 343","","1968"
kew-2701766,A,Juglandaceae,,Carya,,"cordiformis",,"","(Wangenh.) K.Koch",Accepted,,M,WCSP (in review),824814,30187393-2,"Dendrologie","1: 597","","1869"
kew-2701770,A,Juglandaceae,,Carya,×,"demareei",,"","E.J.Palmer",Accepted,,M,WCSP (in review),824818,442160-1,"J. Arnold Arbor.","18: 135","","1937"
kew-2701772,A,Juglandaceae,,Carya,×,"dunbarii",,"","Sarg.",Accepted,,M,WCSP (in review),824820,442162-1,"Bot. Gaz.","66: 254","","1918"
kew-2701774,A,Juglandaceae,,Carya,,"floridana",,"","Sarg.",Accepted,,M,WCSP (in review),824822,47794-2,"Trees & Shrubs","2: 193","","1913"
kew-2701775,A,Juglandaceae,,Carya,,"glabra",,"","(Mill.) Sweet",Accepted,,M,WCSP (in review),824823,30055752-2,"Hort. Brit.","97","","1826"
kew-2701778,A,Juglandaceae,,Carya,,"glabra",var.,"megacarpa","(Sarg.) Sarg.",Accepted,,L,WCSP (in review),824826,47797-2,"Bot. Gaz.","66: 244","","1918"
kew-2701780,A,Juglandaceae,,Carya,,"glabra",var.,"odorata","(Marshall) Little",Accepted,,L,WCSP (in review),824828,47798-2,"Phytologia","19: 189","","1969"
kew-2701783,A,Juglandaceae,,Carya,,"hunanensis",,"","C.C.Cheng & R.H.Chang",Accepted,,M,WCSP (in review),824831,442166-1,"Acta Phytotax. Sin.","17(2): 42","","1979"
kew-2701784,A,Juglandaceae,,Carya,,"illinoinensis",,"","(Wangenh.) K.Koch",Accepted,,M,WCSP (in review),824832,442167-1,"Dendrologie","1: 593","","1869"
kew-2701788,A,Juglandaceae,,Carya,,"kweichowensis",,"","Kuang & A.M.Lu",Accepted,,M,WCSP (in review),824836,442171-1,"Acta Phytotax. Sin.","17(2): 43","","1979"
kew-2701789,A,Juglandaceae,,Carya,,"laciniosa",,"","(F.Michx.) G.Don",Accepted,,M,WCSP (in review),824837,442172-1,"Hort. Brit.","1: 384","","1830"
kew-2701790,A,Juglandaceae,,Carya,×,"laneyi",,"","Sarg.",Accepted,,M,WCSP (in review),824838,30403013-2,"Trees & Shrubs","2: 196","","1913"
kew-2701792,A,Juglandaceae,,Carya,×,"lecontei",,"","Little",Accepted,,M,WCSP (in review),824840,442174-1,"Amer. Midl. Naturalist","29: 503","","1943"
kew-2701796,A,Juglandaceae,,Carya,×,"ludoviciana",,"","(Ashe) Little",Accepted,,M,WCSP (in review),824844,1217408-2,"Amer. Midl. Naturalist","29: 504","","1943"
kew-2701803,A,Juglandaceae,,Carya,,"myristiciformis",,"","(F.Michx.) Nutt. ex Elliott",Accepted,,M,WCSP (in review),824851,47809-2,"Sketch Bot. S. Carolina","2: 628","","1824"
kew-2701804,A,Juglandaceae,,Carya,×,"nussbaumeri",,"","Sarg.",Accepted,,M,WCSP (in review),824852,442184-1,"Bot. Gaz.","66: 251","","1918"
kew-2701831,A,Juglandaceae,,Carya,,"ovata",,"","(Mill.) K.Koch",Accepted,,M,WCSP (in review),824879,30122806-2,"Dendrologie","1: 598","","1869"
kew-2701832,A,Juglandaceae,,Carya,,"ovata",var.,"australis","(Ashe) Little",Accepted,,L,WCSP (in review),824880,1077357-2,"Phytologia","19: 188","","1969"
kew-2701841,A,Juglandaceae,,Carya,,"ovata",var.,"mexicana","(Engelm. ex Hemsl.) Manning",Accepted,,L,WCSP (in review),824889,1070742-2,"J. Arnold Arbor.","30: 431","","1949"
kew-2701846,A,Juglandaceae,,Carya,,"pallida",,"","(Ashe) Engelm. & Graebn.",Accepted,,M,WCSP (in review),824894,,"Notizbl. Königl. Bot. Gart. Berlin","3(App. 9): 19","","1902"
kew-2701850,A,Juglandaceae,,Carya,,"palmeri",,"","Manning",Accepted,,M,WCSP (in review),824898,47838-2,"J. Arnold Arbor.","30: 429","","1949"
kew-2701853,A,Juglandaceae,,Carya,,"poilanei",,"","(A.Chev.) Leroy",Accepted,,L,WCSP (in review),824901,442194-1,"Rev. Int. Bot. Appl. Agric. Trop.","30: 428","","1950"
kew-2701859,A,Juglandaceae,,Carya,×,"schneckii",,"","Sarg.",Accepted,,M,WCSP (in review),824907,442198-1,"Bot. Gaz.","66: 253","","1918"
kew-2701860,A,Juglandaceae,,Carya,,"sinensis",,"","Dode",Accepted,,M,WCSP (in review),824908,442199-1,"Bull. Soc. Dendrol. France","1912: 59","","1912"
kew-2701863,A,Juglandaceae,,Carya,,"texana",,"","Buckley",Accepted,,M,WCSP (in review),824911,77094433-1,"Proc. Acad. Nat. Sci. Philadelphia","12: 444","","1861 publ. 1860"
kew-2701873,A,Juglandaceae,,Carya,,"tonkinensis",,"","Lecomte",Accepted,,M,WCSP (in review),824921,442204-1,"Bull. Écon. Indochine","n.s., 23: 2","","1921"
