ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-314131,A,Juncaceae,,Distichia,,"acicularis",,"","Balslev & Laegaard",Accepted,,H,IOPI,314131,275984-2,"Nord. J. Bot.","6: 151","","1986"
kew-314134,A,Juncaceae,,Distichia,,"filamentosa",,"","Buchenau",Accepted,,H,IOPI,314134,,"Junc. S. Amer.","369","","1879"
kew-314137,A,Juncaceae,,Distichia,,"muscoides",,"","Nees & Meyen",Accepted,,H,IOPI,314137,,"Observ. Bot.","129","","1843"
kew-314237,A,Juncaceae,,Juncus,,"acuminatus",,"","Michx.",Accepted,,H,IOPI,314237,442622-1,"Fl. Bor.-Amer.","1: 192","","1803"
kew-314248,A,Juncaceae,,Juncus,,"acutiflorus",,"","Ehrh. ex Hoffm.",Accepted,,H,IOPI,314248,133720-3,"Deutschl. Fl.","125","","1791"
kew-314249,A,Juncaceae,,Juncus,,"acutiflorus",subsp.,"acutiflorus","",Accepted,,L,IOPI,314249,,"Unknown","","",""
kew-314267,A,Juncaceae,,Juncus,,"acutiflorus",subsp.,"rugosus","(Steud.) Cout.",Accepted,,L,IOPI,314267,,"Fl. Port.","118","","1913"
kew-314275,A,Juncaceae,,Juncus,,"acutus",,"","L.",Accepted,,H,IOPI,314275,442636-1,"Sp. Pl.","325","","1753"
kew-314276,A,Juncaceae,,Juncus,,"acutus",subsp.,"acutus","",Accepted,,L,IOPI,314276,,"Unknown","","",""
kew-314285,A,Juncaceae,,Juncus,,"acutus",subsp.,"leopoldii","(Parl.) Snogerup",Accepted,,L,IOPI,314285,883662-1,"Bot. Not.","130: 187","","1978"
kew-314304,A,Juncaceae,,Juncus,,"aemulans",,"","Liebm.",Accepted,,H,IOPI,314304,307717-2,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","2: 38","","1850"
kew-314309,A,Juncaceae,,Juncus,,"alatus",,"","Franch. & Sav.",Accepted,,H,IOPI,314309,442645-1,"Enum. Pl. Jap.","2: 98","","1879"
kew-314315,A,Juncaceae,,Juncus,,"alexandri",,"","L.A.S.Johnson",Accepted,,H,IOPI,314315,959491-1,"Aspects Tasmanian Bot.","37","","1991"
kew-314318,A,Juncaceae,,Juncus,,"allioides",,"","Franch.",Accepted,,H,IOPI,314318,442652-1,"Nouv. Arch. Mus. Hist. Nat.","II, 10: 99","","1887"
kew-314321,A,Juncaceae,,Juncus,,"alpigenus",,"","K.Koch",Accepted,,H,IOPI,314321,,"Ot Sist. Bot. Dergisi","21: 627","","1848"
kew-339994,A,Juncaceae,,Juncus,×,"alpiniformis",,"","Fernald",Accepted,,H,IOPI,339994,287857-2,"Rhodora","35: 235","","1933"
kew-314322,A,Juncaceae,,Juncus,,"alpinoarticulatus",,"","Chaix",Accepted,,H,IOPI,314322,442658-1,"Pl. Vapinc.","74","","1785"
kew-314323,A,Juncaceae,,Juncus,,"alpinoarticulatus",subsp.,"alpestris","(Hartm.) Hämet-Ahti",Accepted,,L,IOPI,314323,883663-1,"Ann. Bot. Fenn.","17: 342","","1980"
kew-314324,A,Juncaceae,,Juncus,,"alpinoarticulatus",subsp.,"alpinoarticulatus","",Accepted,,L,IOPI,314324,,"Unknown","","",""
kew-314325,A,Juncaceae,,Juncus,,"alpinoarticulatus",subsp.,"americanus","(Farw.) Hämet-Ahti",Accepted,,L,IOPI,314325,1219363-2,"Ann. Bot. Fenn.","23: 277","","1986"
kew-314327,A,Juncaceae,,Juncus,,"alpinoarticulatus",subsp.,"fischerianus","(Turcz. ex V.I.Krecz.) Hämet-Ahti",Accepted,,L,IOPI,314327,883664-1,"Memoranda Soc. Fauna Fl. Fenn.","56: 97","","1980"
kew-314328,A,Juncaceae,,Juncus,,"alpinoarticulatus",subsp.,"fuscescens","(Fernald) Hämet-Ahti",Accepted,,L,IOPI,314328,1173137-2,"Ann. Bot. Fenn.","23: 280","","1986"
kew-314332,A,Juncaceae,,Juncus,,"alpinoarticulatus",subsp.,"rariflorus","(Hartm.) Holub",Accepted,,L,IOPI,314332,,"Folia Geobot. Phytotax.","23: 413","","1988"
kew-314366,A,Juncaceae,,Juncus,,"amabilis",,"","Edgar",Accepted,,H,IOPI,314366,442663-1,"New Zealand J. Bot.","2: 186","","1964"
kew-314372,A,Juncaceae,,Juncus,,"amplifolius",,"","A.Camus",Accepted,,H,IOPI,314372,442666-1,"Notul. Syst. (Paris)","1: 281","","1910"
kew-314374,A,Juncaceae,,Juncus,,"amuricus",,"","(Maxim.) V.I.Krecz. & Gontsch.",Accepted,,H,IOPI,314374,442667-1,"Fl. URSS","3: 623","","1935"
kew-314376,A,Juncaceae,,Juncus,,"anatolicus",,"","Snogerup",Accepted,,H,IOPI,314376,442668-1,"Bot. Not.","131: 194","","1978"
kew-314377,A,Juncaceae,,Juncus,,"anceps",,"","Laharpe",Accepted,,H,IOPI,314377,,"Essai Monogr. Jonc.","38","","1825"
kew-314385,A,Juncaceae,,Juncus,,"andersonii",,"","Buchenau",Accepted,,H,IOPI,314385,131978-2,"Pflanzenr.","IV, 36: 202","","1906"
kew-314392,A,Juncaceae,,Juncus,,"antarcticus",,"","Hook.f.",Accepted,,H,IOPI,314392,442677-1,"Fl. Antarct.","1: 79","","1844"
kew-314393,A,Juncaceae,,Juncus,,"anthelatus",,"","(Wiegand) R.E.Brooks & Whittem.",Accepted,,H,IOPI,314393,1107238-2,"Novon","9: 11","","1999"
kew-314399,A,Juncaceae,,Juncus,,"arcticus",,"","Willd.",Accepted,,H,IOPI,314399,442684-1,"Sp. Pl.","2: 206","","1799"
kew-314400,A,Juncaceae,,Juncus,,"arcticus",subsp.,"alaskanus","Hultén",Accepted,,L,IOPI,314400,131982-2,"Acta Univ. Lund.","n.s., 39(2): 441","","1943"
kew-314403,A,Juncaceae,,Juncus,,"arcticus",subsp.,"arcticus","",Accepted,,L,IOPI,314403,,"Unknown","","",""
kew-314408,A,Juncaceae,,Juncus,,"arcticus",subsp.,"grubovii","(Novikov) Novikov, Kirschner & Snogerup",Accepted,,L,IOPI,314408,20008353-1,"Preslia","74: 252","","2002"
kew-314421,A,Juncaceae,,Juncus,,"aridicola",,"","L.A.S.Johnson",Accepted,,H,IOPI,314421,442690-1,"Fl. S. Austral.","ed. 3, 1: 322","","1978"
kew-314426,A,Juncaceae,,Juncus,,"articulatus",,"","L.",Accepted,,H,IOPI,314426,442698-1,"Sp. Pl.","327","","1753"
kew-314431,A,Juncaceae,,Juncus,,"articulatus",subsp.,"articulatus","",Accepted,,L,IOPI,314431,,"Unknown","","",""
kew-314439,A,Juncaceae,,Juncus,,"articulatus",subsp.,"limosus","(Vorosch.) Vorosch.",Accepted,,L,IOPI,314439,987712-1,"Florist. Issl. Razn. Raionakh SSSR","157","","1985"
kew-314466,A,Juncaceae,,Juncus,,"astreptus",,"","L.A.S.Johnson",Accepted,,H,IOPI,314466,959494-1,"Aspects Tasmanian Bot.","37","","1991"
kew-314469,A,Juncaceae,,Juncus,,"atratus",,"","Krock.",Accepted,,H,IOPI,314469,442706-1,"Fl. Siles.","1: 562","","1787"
kew-314482,A,Juncaceae,,Juncus,,"australis",,"","Hook.f.",Accepted,,H,IOPI,314482,442717-1,"Fl. Tasman.","2: 66","","1858"
kew-314486,A,Juncaceae,,Juncus,,"balticus",,"","Willd.",Accepted,,H,IOPI,314486,324783-2,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","3: 298","","1809"
kew-314487,A,Juncaceae,,Juncus,,"balticus",subsp.,"andicola","(Hook.) Snogerup",Accepted,,L,IOPI,314487,1176140-2,"Preslia","74: 258","","2002"
kew-314488,A,Juncaceae,,Juncus,,"balticus",subsp.,"ater","(Rydb.) Snogerup",Accepted,,L,IOPI,314488,1012242-2,"Preslia","74: 258","","2002"
