ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-280549,A,Juncaginaceae,,Lilaea,,"scilloides",,"","(Poir.) Hauman",Accepted,,H,WCSP,280549,140073-2,"Publ. Inst. Invest. Geogr. Fac. Filos. Letras Univ. Buenos Aires, A","10: 26","","1925"
kew-308870,A,Juncaginaceae,,Tetroncium,,"magellanicum",,"","Willd.",Accepted,,H,WCSP,308870,603511-1,"Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin","2: 17","","1808"
kew-290034,A,Juncaginaceae,,Triglochin,,"alcockiae",,"","Aston",Accepted,,H,WCSP,290034,972766-1,"Muelleria","8: 85","","1993"
kew-308891,A,Juncaginaceae,,Triglochin,,"bulbosa",,"","L.",Accepted,,H,WCSP,308891,603517-1,"Mant. Pl.","226","","1771"
kew-309060,A,Juncaginaceae,,Triglochin,,"bulbosa",subsp.,"barrelieri","(Loisel.) Rouy",Accepted,,L,WCSP,309060,,"Fl. France","13: 271","","1912"
kew-309059,A,Juncaginaceae,,Triglochin,,"bulbosa",subsp.,"bulbosa","",Accepted,,L,WCSP,309059,,"Unknown","","",""
kew-309061,A,Juncaginaceae,,Triglochin,,"bulbosa",subsp.,"laxiflora","(Guss.) Rouy",Accepted,,L,WCSP,309061,,"Fl. France","13: 272","","1912"
kew-308893,A,Juncaginaceae,,Triglochin,,"calcitrapa",,"","Hook.",Accepted,,H,WCSP,308893,603519-1,"Hooker's Icon. Pl.","8: t. 731","","1845"
kew-308894,A,Juncaginaceae,,Triglochin,,"centrocarpa",,"","Hook.",Accepted,,H,WCSP,308894,603520-1,"Hooker's Icon. Pl.","8: t. 728","","1845"
kew-308900,A,Juncaginaceae,,Triglochin,,"dubia",,"","R.Br.",Accepted,,H,WCSP,308900,603526-1,"Prodr. Fl. Nov. Holl.","343","","1810"
kew-289472,A,Juncaginaceae,,Triglochin,,"gaspensis",,"","Lieth & D.Löve",Accepted,,H,WCSP,289472,258177-2,"Canad. J. Bot.","39: 1271","","1961"
kew-289521,A,Juncaginaceae,,Triglochin,,"hexagona",,"","J.M.Black",Accepted,,H,WCSP,289521,444142-1,"Trans. & Proc. Roy. Soc. South Australia","49: 270","","1925"
kew-290084,A,Juncaginaceae,,Triglochin,,"huegelii",,"","(Endl.) Aston",Accepted,,H,WCSP,290084,984156-1,"Muelleria","8: 346","","1995"
kew-374431,A,Juncaginaceae,,Triglochin,,"isingiana",,"","(J.M.Black) Aston",Accepted,,H,WCSP,374431,77091438-1,"Muelleria","26(2): 99","","2008"
kew-308910,A,Juncaginaceae,,Triglochin,,"linearis",,"","Endl.",Accepted,,H,WCSP,308910,603536-1,"Pl. Preiss.","2: 54","","1846"
kew-374432,A,Juncaginaceae,,Triglochin,,"longicarpa",,"","(Ostenf.) Aston",Accepted,,H,WCSP,374432,77091439-1,"Muelleria","26(2): 100","","2008"
kew-308914,A,Juncaginaceae,,Triglochin,,"maritima",,"","L.",Accepted,,H,WCSP,308914,258178-2,"Sp. Pl.","105","","1753"
kew-308916,A,Juncaginaceae,,Triglochin,,"mexicana",,"","Kunth",Accepted,,H,WCSP,308916,603543-1,"Nov. Gen. Sp.","1: 244","","1816"
kew-290025,A,Juncaginaceae,,Triglochin,,"microtuberosa",,"","Aston",Accepted,,H,WCSP,290025,972767-1,"Muelleria","8: 88","","1993"
kew-308917,A,Juncaginaceae,,Triglochin,,"minutissima",,"","F.Muell.",Accepted,,H,WCSP,308917,142192-3,"Fragm.","6: 82","","1867"
kew-308919,A,Juncaginaceae,,Triglochin,,"mucronata",,"","R.Br.",Accepted,,H,WCSP,308919,603546-1,"Prodr. Fl. Nov. Holl.","343","","1810"
kew-308920,A,Juncaginaceae,,Triglochin,,"muelleri",,"","Buchenau",Accepted,,H,WCSP,308920,603547-1,"Pflanzenr.","IV, 14: 12","","1903"
kew-290018,A,Juncaginaceae,,Triglochin,,"multifructa",,"","Aston",Accepted,,H,WCSP,290018,972768-1,"Muelleria","8: 90","","1993"
kew-308924,A,Juncaginaceae,,Triglochin,,"palustris",,"","L.",Accepted,,H,WCSP,308924,603552-1,"Sp. Pl.","338","","1753"
kew-308926,A,Juncaginaceae,,Triglochin,,"procera",,"","R.Br.",Accepted,,H,WCSP,308926,603556-1,"Prodr. Fl. Nov. Holl.","343","","1810"
kew-289491,A,Juncaginaceae,,Triglochin,,"protuberans",,"","Aston",Accepted,,H,WCSP,289491,1012595-1,"Muelleria","12: 215","","1999"
kew-290027,A,Juncaginaceae,,Triglochin,,"rheophila",,"","Aston",Accepted,,H,WCSP,290027,972769-1,"Muelleria","8: 94","","1993"
kew-289420,A,Juncaginaceae,,Triglochin,,"stowardii",,"","N.E.Br.",Accepted,,H,WCSP,289420,444154-1,"Bull. Misc. Inform. Kew","1914: 189","","1914"
kew-308933,A,Juncaginaceae,,Triglochin,,"striata",,"","Ruiz & Pav.",Accepted,,H,WCSP,308933,603563-1,"Fl. Peruv.","3: 72","","1802"
kew-308935,A,Juncaginaceae,,Triglochin,,"trichophora",,"","Nees ex Endl.",Accepted,,H,WCSP,308935,,"Pl. Preiss.","2: 54","","1846"
kew-289417,A,Juncaginaceae,,Triglochin,,"triglochinoides",,"","(F.Muell.) Druce",Accepted,,H,WCSP,289417,143010-3,"Bot. Soc. Exch. Club Brit. Isles","4: 651","","1916 publ. 1917"
kew-289427,A,Juncaginaceae,,Triglochin,,"turrifera",,"","Ewart",Accepted,,H,WCSP,289427,444158-1,"Fl. Victoria","94","","1931"
