ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-17200003,A,Krameriaceae,,Krameria,,"argentea",,"","Mart. ex Spreng.",Accepted,,M,TRO,17200003,279236-2,"Syst. Veg.","2: 844","844","1825"
tro-17200009,A,Krameriaceae,,Krameria,,"cistoidea",,"","Hook. & Arn.",Accepted,,M,TRO,17200009,279242-2,"Bot. Beechey Voy.","8, t. 5","8","1830"
tro-17200012,A,Krameriaceae,,Krameria,,"cytisoides",,"","Cav.",Accepted,,M,TRO,17200012,279244-2,"Icon.","4: 61, t. 390","61","1798"
tro-17200017,A,Krameriaceae,,Krameria,,"erecta",,"","Willd. ex Schult.",Accepted,,M,TRO,17200017,279247-2,"Mant.","3: 303","303","1827"
tro-17200021,A,Krameriaceae,,Krameria,,"grandiflora",,"","A. St.-Hil.",Accepted,,M,TRO,17200021,279248-2,"Ann. Soc. Sci. Orleáns","9: 18","18","1828"
tro-17200023,A,Krameriaceae,,Krameria,,"grayi",,"","Rose & Painter",Accepted,,M,TRO,17200023,133878-2,"Contr. U.S. Natl. Herb.","10(3): 108","108","1906"
kew-2336113,A,Krameriaceae,,Krameria,,"ixine",,"","L.",Accepted,,M,WCSP (in review),466300,690428-1,"Syst. Nat. ed. 10","2: 899","","1759"
tro-17200078,A,Krameriaceae,,Krameria,,"lanceolata",,"","Torr.",Accepted,,M,TRO,17200078,279251-2,"Ann. Lyceum Nat. Hist. New York","2: 168-169","168","1827"
tro-17200083,A,Krameriaceae,,Krameria,,"lappacea",,"","(Dombey) Burdet & B.B. Simpson",Accepted,,M,TRO,17200083,912741-1,"Candollea","38: 696","696","1983"
tro-17200040,A,Krameriaceae,,Krameria,,"pauciflora",,"","DC.",Accepted,,M,TRO,17200040,690438-1,"Prodr.","1: 341","341","1824"
tro-17200041,A,Krameriaceae,,Krameria,,"paucifolia",,"","(Rose) Rose",Accepted,,M,TRO,17200041,133891-2,"Contr. U.S. Natl. Herb.","10(3): 108","108","1906"
tro-17200044,A,Krameriaceae,,Krameria,,"ramosissima",,"","(A. Gray) S. Watson",Accepted,,M,TRO,17200044,690441-1,"Proc. Amer. Acad. Arts","17: 326","326","1882"
tro-17200045,A,Krameriaceae,,Krameria,,"revoluta",,"","O. Berg",Accepted,,M,TRO,17200045,279262-2,"Bot. Zeitung (Berlin)","14(43): 751","751","1856"
tro-17200072,A,Krameriaceae,,Krameria,,"secundiflora",,"","DC.",Accepted,,M,TRO,17200072,690444-1,"Prodr.","1: 341","341","1824"
kew-2336135,A,Krameriaceae,,Krameria,,"spartioides",,"","Klotzsch ex O.Berg",Accepted,,M,WCSP (in review),466322,279266-2,"Bot. Zeitung (Berlin)","14: 761","","1856"
tro-17200052,A,Krameriaceae,,Krameria,,"tomentosa",,"","A. St.-Hil.",Accepted,,M,TRO,17200052,279267-2,"Ann. Soc. Sci. Orleáns","9: 18","18","1828"
