ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-1483,A,Lamiaceae,,Acanthomintha,,"duttonii",,"","(Abrams) Jokerst",Accepted,,H,WCSP,1483,1174457-2,"Madroño","38: 278","","1991"
kew-1484,A,Lamiaceae,,Acanthomintha,,"ilicifolia",,"","A.Gray",Accepted,,H,WCSP,1484,444161-1,"Syn. Fl. N. Amer.","2(1): 365","","1878"
kew-1485,A,Lamiaceae,,Acanthomintha,,"lanceolata",,"","Curran",Accepted,,H,WCSP,1485,444162-1,"Bull. Calif. Acad. Sci.","1: 4","","1884"
kew-1486,A,Lamiaceae,,Acanthomintha,,"obovata",,"","Jeps.",Accepted,,H,WCSP,1486,1668-2,"Man. Fl. Pl. Calif.","873","","1925"
kew-1814,A,Lamiaceae,,Achyrospermum,,"aethiopicum",,"","Welw.",Accepted,,H,WCSP,1814,444165-1,"Trans. Linn. Soc. London","27: 56","","1869"
kew-1815,A,Lamiaceae,,Achyrospermum,,"africanum",,"","Hook.f. ex Baker",Accepted,,H,WCSP,1815,444166-1,"Fl. Trop. Afr.","5: 465","","1910"
kew-1816,A,Lamiaceae,,Achyrospermum,,"axillare",,"","E.A.Bruce",Accepted,,H,WCSP,1816,444167-1,"Bull. Misc. Inform. Kew","1936: 56","","1936"
kew-1817,A,Lamiaceae,,Achyrospermum,,"carvalhoi",,"","Gürke",Accepted,,H,WCSP,1817,444168-1,"Pflanzenw. Ost-Afrikas","C: 343","","1895"
kew-456077,A,Lamiaceae,,Achyrospermum,,"carvalhoi",var.,"grandibracteatum","(E.A.Bruce) Polhill",Accepted,,L,WCSP,456077,77098755-1,"in Fl. Trop. E. Afr.","Lamiac.: 34","","2009"
kew-1818,A,Lamiaceae,,Achyrospermum,,"ciliatum",,"","Gürke",Accepted,,H,WCSP,1818,444169-1,"Bot. Jahrb. Syst.","36: 128","","1905"
kew-1819,A,Lamiaceae,,Achyrospermum,,"cryptanthum",,"","Baker",Accepted,,H,WCSP,1819,444171-1,"Bull. Misc. Inform. Kew","1898: 162","","1898"
kew-1820,A,Lamiaceae,,Achyrospermum,,"dasytrichum",,"","Perkins",Accepted,,H,WCSP,1820,444172-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 81","","1921"
kew-1821,A,Lamiaceae,,Achyrospermum,,"densiflorum",,"","Blume",Accepted,,H,WCSP,1821,444173-1,"Bijdr.","841","","1826"
kew-1822,A,Lamiaceae,,Achyrospermum,,"erythobotrys",,"","Perkins",Accepted,,H,WCSP,1822,,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 80","","1921"
kew-1823,A,Lamiaceae,,Achyrospermum,,"fruticosum",,"","Benth.",Accepted,,H,WCSP,1823,444175-1,"Labiat. Gen. Spec.","6: 643","","1834"
kew-1824,A,Lamiaceae,,Achyrospermum,,"laterale",,"","Baker",Accepted,,H,WCSP,1824,444176-1,"Fl. Trop. Afr.","5: 464","","1900"
kew-1826,A,Lamiaceae,,Achyrospermum,,"micranthum",,"","Perkins",Accepted,,H,WCSP,1826,444179-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 552","","1907-1908 publ. 1913"
kew-1827,A,Lamiaceae,,Achyrospermum,,"mildbraedii",,"","Perkins",Accepted,,H,WCSP,1827,444180-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 553","","1907-1908 publ. 1913"
kew-1828,A,Lamiaceae,,Achyrospermum,,"nyasanum",,"","Baker",Accepted,,H,WCSP,1828,444181-1,"Fl. Trop. Afr.","5: 465","","1900"
kew-1829,A,Lamiaceae,,Achyrospermum,,"oblongifolium",,"","Baker",Accepted,,H,WCSP,1829,444182-1,"Fl. Trop. Afr.","5: 464","","1900"
kew-1830,A,Lamiaceae,,Achyrospermum,,"parviflorum",,"","S.Moore",Accepted,,H,WCSP,1830,444184-1,"J. Bot.","45: 97","","1907"
kew-1834,A,Lamiaceae,,Achyrospermum,,"purpureum",,"","Phillipson",Accepted,,H,WCSP,1834,1003855-1,"in Fl. Madag.","175: 48","","1998"
kew-1835,A,Lamiaceae,,Achyrospermum,,"radicans",,"","Gürke",Accepted,,H,WCSP,1835,444188-1,"Pflanzenw. Ost-Afrikas","C: 343","","1895"
kew-456079,A,Lamiaceae,,Achyrospermum,,"scandens",,"","Polhill",Accepted,,H,WCSP,456079,77098756-1,"in Fl. Trop. E. Afr.","Lamiac.: 35","","2009"
kew-1836,A,Lamiaceae,,Achyrospermum,,"schimperi",,"","(Hochst. ex Briq.) Perkins",Accepted,,H,WCSP,1836,444189-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 553","","1907-1908 publ. 1913"
kew-1837,A,Lamiaceae,,Achyrospermum,,"schlechteri",,"","Gürke",Accepted,,H,WCSP,1837,444192-1,"Bot. Jahrb. Syst.","36: 127","","1905"
kew-1839,A,Lamiaceae,,Achyrospermum,,"serratum",,"","E.A.Bruce",Accepted,,H,WCSP,1839,444193-1,"Bull. Misc. Inform. Kew","1936: 58","","1936"
kew-1840,A,Lamiaceae,,Achyrospermum,,"seychellarum",,"","Baker",Accepted,,H,WCSP,1840,444194-1,"Fl. Mauritius","259","","1877"
kew-1841,A,Lamiaceae,,Achyrospermum,,"squamosum",,"","Chikuni",Accepted,,H,WCSP,1841,984209-1,"Kew Bull.","50: 605","","1995"
kew-1842,A,Lamiaceae,,Achyrospermum,,"swina",,"","Perkins",Accepted,,H,WCSP,1842,444195-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 80","","1921"
kew-1843,A,Lamiaceae,,Achyrospermum,,"tisserantii",,"","Letouzey",Accepted,,H,WCSP,1843,444196-1,"Adansonia","n.s., 7: 175","","1967"
kew-1844,A,Lamiaceae,,Achyrospermum,,"urens",,"","Baker",Accepted,,H,WCSP,1844,444197-1,"Bull. Misc. Inform. Kew","1893: 14","","1893"
kew-1845,A,Lamiaceae,,Achyrospermum,,"wallichianum",,"","(Benth.) Benth. ex Hook.f.",Accepted,,H,WCSP,1845,444198-1,"Fl. Brit. India","4: 673","","1885"
tro-17600002,A,Lamiaceae,,Acinos,,"alpinus",,"","Moench.",Accepted,,M,TRO,17600002,444204-1,"","","",""
kew-2666,A,Lamiaceae,,Acrotome,,"angustifolia",,"","G.Taylor",Accepted,,H,WCSP,2666,444366-1,"J. Bot.","73: 9","","1935"
kew-2668,A,Lamiaceae,,Acrotome,,"fleckii",,"","(Gürke) Launert",Accepted,,H,WCSP,2668,444368-1,"Mitt. Bot. Staatssamml. München","2: 360","","1957"
kew-2669,A,Lamiaceae,,Acrotome,,"hispida",,"","Benth.",Accepted,,H,WCSP,2669,444369-1,"Prodr.","12: 436","","1848"
kew-2670,A,Lamiaceae,,Acrotome,,"inflata",,"","Benth.",Accepted,,H,WCSP,2670,444370-1,"Prodr.","12: 436","","1848"
kew-2672,A,Lamiaceae,,Acrotome,,"mozambiquensis",,"","G.Taylor",Accepted,,H,WCSP,2672,444372-1,"J. Bot.","73: 12","","1935"
kew-2673,A,Lamiaceae,,Acrotome,,"pallescens",,"","Benth.",Accepted,,H,WCSP,2673,444373-1,"Prodr.","12: 436","","1848"
kew-2674,A,Lamiaceae,,Acrotome,,"tenuis",,"","G.Taylor",Accepted,,H,WCSP,2674,444374-1,"J. Bot.","70: 106","","1932"
kew-2675,A,Lamiaceae,,Acrotome,,"thorncroftii",,"","Skan",Accepted,,H,WCSP,2675,444375-1,"Fl. Cap.","5(1): 335","","1910"
kew-2677,A,Lamiaceae,,Acrymia,,"ajugiflora",,"","Prain",Accepted,,H,WCSP,2677,444376-1,"Bull. Misc. Inform. Kew","1908: 115","","1908"
kew-3350,A,Lamiaceae,,Aegiphila,,"aculeifera",,"","Moldenke",Accepted,,H,WCSP,3350,5659-2,"Repert. Spec. Nov. Regni Veg.","37: 209","","1934"
kew-3353,A,Lamiaceae,,Aegiphila,,"alba",,"","Moldenke",Accepted,,H,WCSP,3353,5660-2,"Phytologia","1: 185","","1937"
kew-3355,A,Lamiaceae,,Aegiphila,,"anomala",,"","Pittier",Accepted,,H,WCSP,3355,5662-2,"Contr. U. S. Natl. Herb.","22: 181","","1909"
kew-218332,A,Lamiaceae,,Aegiphila,,"aracaensis",,"","Aymard & Cuello",Accepted,,H,WCSP,218332,60429813-2,"Novon","14: 20","","2004"
kew-3360,A,Lamiaceae,,Aegiphila,,"arcta",,"","Moldenke",Accepted,,H,WCSP,3360,860803-1,"Acta Bot. Venez.","6: 93","","1971 publ. 1972"
kew-3362,A,Lamiaceae,,Aegiphila,,"australis",,"","Moldenke",Accepted,,H,WCSP,3362,860805-1,"Phytologia","1: 187","","1937"
kew-3366,A,Lamiaceae,,Aegiphila,,"bogotensis",,"","(Spreng.) Moldenke",Accepted,,H,WCSP,3366,860809-1,"Repert. Spec. Nov. Regni Veg.","33: 114","","1933"
kew-3369,A,Lamiaceae,,Aegiphila,,"boliviana",,"","Moldenke",Accepted,,H,WCSP,3369,5671-2,"Repert. Spec. Nov. Regni Veg.","33: 114","","1933"
kew-3370,A,Lamiaceae,,Aegiphila,,"brachiata",,"","Vell.",Accepted,,H,WCSP,3370,320988-2,"Fl. Flumin.","38: 1","","1829"
kew-3371,A,Lamiaceae,,Aegiphila,,"bracteolosa",,"","Moldenke",Accepted,,H,WCSP,3371,5672-2,"Repert. Spec. Nov. Regni Veg.","33: 115","","1933"
kew-3373,A,Lamiaceae,,Aegiphila,,"breviflora",,"","(Rusby) Moldenke",Accepted,,H,WCSP,3373,5674-2,"Phytologia","1: 95","","1934"
kew-3374,A,Lamiaceae,,Aegiphila,,"buchtienii",,"","Moldenke",Accepted,,H,WCSP,3374,5675-2,"Repert. Spec. Nov. Regni Veg.","33: 116","","1933"
kew-3375,A,Lamiaceae,,Aegiphila,,"candelabrum",,"","Briq.",Accepted,,H,WCSP,3375,5676-2,"Bull. Herb. Boissier","II, 4: 1167","","1904"
kew-3376,A,Lamiaceae,,Aegiphila,,"capitata",,"","Moldenke",Accepted,,H,WCSP,3376,5677-2,"Repert. Spec. Nov. Regni Veg.","33: 116","","1933"
