ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2627093,A,Lardizabalaceae,,Akebia,,"chingshuiensis",,"","T.Shimizu",Accepted,,M,WCSP (in review),750919,462093-1,"Quart. J. Taiwan Mus.","14: 201","","1961"
kew-2627099,A,Lardizabalaceae,,Akebia,,"longiracemosa",,"","Matsum.",Accepted,,M,WCSP (in review),750925,,"Bot. Mag. (Tokyo)","13: 18","","1899"
kew-2627101,A,Lardizabalaceae,,Akebia,×,"pentaphylla",,"","(Makino) Makino",Accepted,,M,WCSP (in review),750927,,"Bot. Mag. (Tokyo)","16: 30","","1902"
kew-2627104,A,Lardizabalaceae,,Akebia,,"quinata",,"","(Houtt.) Decne.",Accepted,,M,WCSP (in review),750930,106376-1,"Arch. Mus. Hist. Nat.","1: 195","","1839"
kew-2627108,A,Lardizabalaceae,,Akebia,,"trifoliata",,"","(Thunb.) Koidz.",Accepted,,M,WCSP (in review),750934,462097-1,"Bot. Mag. (Tokyo)","39: 310","","1925"
kew-2627109,A,Lardizabalaceae,,Akebia,,"trifoliata",subsp.,"australis","(Diels) T.Shimizu",Accepted,,L,WCSP (in review),750935,,"Quart. J. Taiwan Mus.","14: 201","","1961"
tro-50215406,A,Lardizabalaceae,,Akebia,,"trifoliata",subsp.,"trifoliata","",Accepted,,L,TRO,50215406,,"","","",""
kew-2646858,A,Lardizabalaceae,,Archakebia,,"apetala",,"","(Q.Xia, J.Z.Sun & Z.X.Peng) C.Y.Wu, T.C.Chen & H.N.Qin",Accepted,,M,WCSP (in review),770526,984273-1,"Acta Phytotax. Sin.","33: 240","","1995"
kew-2679653,A,Lardizabalaceae,,Boquila,,"trifoliolata",,"","(DC.) Decne.",Accepted,,M,WCSP (in review),803022,,"Ann. Sci. Nat., Bot.","II, 12: 103","","1839"
kew-2758557,A,Lardizabalaceae,,Decaisnea,,"insignis",,"","(Griff.) Hook.f. & Thomson",Accepted,,M,WCSP (in review),879954,107240-1,"Proc. Linn. Soc. London","2: 350","","1854"
kew-2852352,A,Lardizabalaceae,,Holboellia,,"angustifolia",,"","Wall.",Accepted,,M,WCSP (in review),971407,107339-1,"Tent. Fl. Napal.","25","","1824"
tro-50215427,A,Lardizabalaceae,,Holboellia,,"angustifolia",subsp.,"angustifolia","",Accepted,,L,TRO,50215427,,"","","",""
kew-2852353,A,Lardizabalaceae,,Holboellia,,"angustifolia",subsp.,"linearifolia","T.Chen & H.N.Qin",Accepted,,L,WCSP (in review),971408,999320-1,"Cathaya","8-9: 112","","1997"
kew-2852354,A,Lardizabalaceae,,Holboellia,,"angustifolia",subsp.,"obtusa","(Gagnep.) H.N.Qin",Accepted,,L,WCSP (in review),971409,999322-1,"Cathaya","8-9: 116","","1997"
kew-2852357,A,Lardizabalaceae,,Holboellia,,"brachyandra",,"","H.N.Qin",Accepted,,M,WCSP (in review),971412,999324-1,"Cathaya","8-9: 126","","1997"
kew-2852359,A,Lardizabalaceae,,Holboellia,,"chapaensis",,"","Gagnep.",Accepted,,M,WCSP (in review),971414,462099-1,"Bull. Soc. Bot. France","85: 165","","1938"
kew-2852361,A,Lardizabalaceae,,Holboellia,,"coriacea",,"","Diels",Accepted,,M,WCSP (in review),971416,107341-1,"Bot. Jahrb. Syst.","29: 342","","1900"
kew-2852367,A,Lardizabalaceae,,Holboellia,,"grandiflora",,"","Réaub.",Accepted,,M,WCSP (in review),971422,462103-1,"Bull. Soc. Bot. France","53: 453","","1906"
kew-2852369,A,Lardizabalaceae,,Holboellia,,"latifolia",,"","Wall.",Accepted,,M,WCSP (in review),971424,107343-1,"Tent. Fl. Napal.","24","","1824"
tro-50215442,A,Lardizabalaceae,,Holboellia,,"latifolia",var.,"latifolia","",Accepted,,L,TRO,50215442,,"","","",""
kew-2852375,A,Lardizabalaceae,,Holboellia,,"medogensis",,"","H.N.Qin",Accepted,,M,WCSP (in review),971430,999319-1,"Cathaya","8-9: 93","","1997"
kew-2852378,A,Lardizabalaceae,,Holboellia,,"parviflora",,"","(Hemsl.) Gagnep.",Accepted,,M,WCSP (in review),971433,462107-1,"Bull. Mus. Natl. Hist. Nat.","14: 68","","1908"
kew-2852379,A,Lardizabalaceae,,Holboellia,,"pterocaulis",,"","T.Chen & Q.H.Chen",Accepted,,M,WCSP (in review),971434,985291-1,"in Fl. Guizhouensis","2: 675","","1986"
kew-2348748,A,Lardizabalaceae,,Lardizabala,,"biternata",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),478852,107351-1,"Syst. Veg. Fl. Peruv. Chil.","286","","1798"
tro-17700006,A,Lardizabalaceae,,Sargentodoxa,,"cuneata",,"","(Oliv.) Rehder & E.H. Wilson",Accepted,,L,TRO,17700006,462111-1,"Pl. Wilson.","1(3): 351-352","351","1913"
tro-50064718,A,Lardizabalaceae,,Sinofranchetia,,"chinensis",,"","(Franch.) Hemsl.",Accepted,,M,TRO,50064718,462112-1,"Hooker's Icon. Pl.","29: , pl. 2842","","1907"
