ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620829,A,Lauraceae,,Actinodaphne,,"acutivena",,"","(Hayata) Nakai",Accepted,,M,WCSP (in review),744697,462201-1,"J. Jap. Bot.","14: 191","","1938"
kew-2620830,A,Lauraceae,,Actinodaphne,,"akoensis",,"","(Hayata) Tang S.Liu & J.C.Liao",Accepted,,M,WCSP (in review),744698,,"Sci. Ann. Taiwan Mus.","14: 5","","1971"
kew-2620831,A,Lauraceae,,Actinodaphne,,"albifrons",,"","Kosterm.",Accepted,,M,WCSP (in review),744699,462202-1,"Ceylon J. Sci., Biol. Sci.","9: 53","","1971"
kew-2620832,A,Lauraceae,,Actinodaphne,,"amabilis",,"","Kosterm.",Accepted,,M,WCSP (in review),744700,462203-1,"Nat. Hist. Bull. Siam Soc.","25(3-4): 29","","1974 publ. 1975"
kew-2620833,A,Lauraceae,,Actinodaphne,,"ambigua",,"","Hook.f.",Accepted,,M,WCSP (in review),744701,462204-1,"Fl. Brit. India","5: 153","","1886"
kew-2620834,A,Lauraceae,,Actinodaphne,,"angustifolia",,"","Nees",Accepted,,M,WCSP (in review),744702,462206-1,"Pl. Asiat. Rar.","3: 34","","1832"
kew-2620837,A,Lauraceae,,Actinodaphne,,"archboldiana",,"","C.K.Allen",Accepted,,M,WCSP (in review),744705,462207-1,"J. Arnold Arbor.","23: 117","","1942"
kew-2620838,A,Lauraceae,,Actinodaphne,,"areolata",,"","Blume",Accepted,,M,WCSP (in review),744706,462208-1,"Mus. Bot.","1: 34","","1849"
kew-2620840,A,Lauraceae,,Actinodaphne,,"bicolor",,"","(Merr.) Merr.",Accepted,,M,WCSP (in review),744708,462210-1,"Enum. Philipp. Fl. Pl.","2: 190","","1923"
kew-2620842,A,Lauraceae,,Actinodaphne,,"borneensis",,"","Meisn.",Accepted,,M,WCSP (in review),744710,462212-1,"Prodr.","15(1): 213","","1864"
