ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
ild-40848,A,Leguminosae,,Abarema,,"abbottii",,"","(Rose & Leonard) Barneby & J.W.",Accepted,,H,ILDIS,40848,1077629-2,"","","",""
ild-56563,A,Leguminosae,,Abarema,,"acreana",,"","(J.F.Macbr.) L.Rico",Accepted,,H,ILDIS,56563,1028677-2,"","","",""
tro-13076079,A,Leguminosae,,Abarema,,"adenophora",,"","(Ducke) Barneby & J.W. Grimes",Accepted,,M,TRO,13076079,1079119-2,"Mem. New York Bot. Gard.","74(1): 74","74","1996"
ild-40645,A,Leguminosae,,Abarema,,"adenophorum",,"","(Ducke) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40645,,"","","",""
ild-40857,A,Leguminosae,,Abarema,,"agropecuaria",,"","Barneby & J.W.Grimes",Accepted,,L,ILDIS,40857,319589-2,"","","",""
ild-40844,A,Leguminosae,,Abarema,,"alexandri",,"","(Urb.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40844,1018829-2,"","","",""
ild-40841,A,Leguminosae,,Abarema,,"alexandri",var.,"alexandri","(Urb.) Barneby & J.W.Grimes",Accepted,,L,ILDIS,40841,,"","","",""
ild-40843,A,Leguminosae,,Abarema,,"alexandri",var.,"troyana","(Urb.) Barneby & J.W.Grimes",Accepted,,L,ILDIS,40843,1208939-2,"","","",""
ild-40835,A,Leguminosae,,Abarema,,"asplenifolia",,"","(Griseb.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40835,,"","","",""
ild-40629,A,Leguminosae,,Abarema,,"auriculata",,"","(Benth.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40629,1207776-2,"","","",""
ild-40640,A,Leguminosae,,Abarema,,"barbouriana",,"","(Standl.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40640,1066500-2,"","","",""
ild-40643,A,Leguminosae,,Abarema,,"barbouriana",var.,"arenaria","(Ducke) Barneby & J.W.Grimes",Accepted,,L,ILDIS,40643,1212133-2,"","","",""
ild-40641,A,Leguminosae,,Abarema,,"barbouriana",var.,"barbouriana","(Standl.) Barneby & J.W.Grimes",Accepted,,L,ILDIS,40641,,"","","",""
ild-40819,A,Leguminosae,,Abarema,,"brachystachya",,"","(DC.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40819,1033228-2,"","","",""
ild-40808,A,Leguminosae,,Abarema,,"callejasii",,"","Barneby & J.W.Grimes",Accepted,,H,ILDIS,40808,319428-2,"","","",""
ild-40799,A,Leguminosae,,Abarema,,"campestris",,"","(Benth.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40799,1205579-2,"","","",""
ild-40855,A,Leguminosae,,Abarema,,"centiflora",,"","Barneby & J.W.Grimes",Accepted,,H,ILDIS,40855,319587-2,"","","",""
ild-40801,A,Leguminosae,,Abarema,,"cochleata",,"","(Willd.) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40801,1211892-2,"","","",""
ild-40803,A,Leguminosae,,Abarema,,"cochleata",var.,"cochleata","(Willd.) Barneby & J.W.Grimes",Accepted,,L,ILDIS,40803,,"","","",""
ild-40807,A,Leguminosae,,Abarema,,"cochleata",var.,"moniliformis","(Ducke) Barneby & J.W.Grimes",Accepted,,L,ILDIS,40807,1003043-2,"","","",""
ild-40830,A,Leguminosae,,Abarema,,"cochliocarpos",,"","(Gomes) Barneby & J.W.Grimes",Accepted,,H,ILDIS,40830,,"","","",""
ild-40637,A,Leguminosae,,Abarema,,"commutata",,"","Barneby & J.W.Grimes",Accepted,,H,ILDIS,40637,319420-2,"","","",""
ild-33572,A,Leguminosae,,Abarema,,"curvicarpa",,"","(H.S.Irwin) Barneby & J.W.Grime",Accepted,,H,ILDIS,33572,271441-2,"","","",""
ild-40623,A,Leguminosae,,Abarema,,"curvicarpa",var.,"curvicarpa","(H.S.Irwin) Barneby & J.W.Grime",Accepted,,L,ILDIS,40623,,"","","",""
tro-13062495,A,Leguminosae,,Abarema,,"cyclosperma",,"","(DC.) Kosterm.",Accepted,,M,TRO,13062495,469524-1,"Adansonia, n.s.","6: 355","355","1966"
ild-33576,A,Leguminosae,,Abarema,,"ferruginea",,"","(Benth.) Pittier",Accepted,,H,ILDIS,33576,469528-1,"","","",""
