ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2819768,A,Lentibulariaceae,,Genlisea,,"africana",,"","Oliv.",Accepted,,M,WCSP (in review),939041,526337-1,"J. Linn. Soc., Bot.","9: 145","","1867"
kew-2819769,A,Lentibulariaceae,,Genlisea,,"africana",subsp.,"stapfii","(A.Chev.) P.Taylor",Accepted,,L,WCSP (in review),939042,,"in Fl. Afr. Centr.","Lentibular.: 58","","1972"
kew-2819771,A,Lentibulariaceae,,Genlisea,,"angolensis",,"","R.D.Good",Accepted,,M,WCSP (in review),939044,526339-1,"J. Bot.","62: 165","","1924"
kew-2819772,A,Lentibulariaceae,,Genlisea,,"aurea",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),939045,526340-1,"Voy. Distr. Diam.","2: 429","","1833"
kew-2819773,A,Lentibulariaceae,,Genlisea,,"barthlottii",,"","Porembski, Eb.Fisch. & Gemmel",Accepted,,M,WCSP (in review),939046,990110-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","18: 152","","1996"
kew-2819774,A,Lentibulariaceae,,Genlisea,,"biloba",,"","Benj.",Accepted,,M,WCSP (in review),939047,526341-1,"Fl. Bras.","10: 254","","1847"
kew-2819775,A,Lentibulariaceae,,Genlisea,,"cylindrica",,"","Sylvén",Accepted,,M,WCSP (in review),939048,526342-1,"Ark. Bot.","8(6): 4","","1909"
kew-2819777,A,Lentibulariaceae,,Genlisea,,"filiformis",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),939050,324243-2,"Voy. Distr. Diam.","2: 430","","1833"
kew-2819778,A,Lentibulariaceae,,Genlisea,,"glabra",,"","P.Taylor",Accepted,,M,WCSP (in review),939051,526345-1,"Mem. New York Bot. Gard.","17(1): 203","","1967"
kew-2819779,A,Lentibulariaceae,,Genlisea,,"glandulosissima",,"","R.E.Fr.",Accepted,,M,WCSP (in review),939052,526346-1,"Wiss. Erg. Schwed. Rhod.-Kongo Exped.","1: 301","","1916"
kew-2819780,A,Lentibulariaceae,,Genlisea,,"guianensis",,"","N.E.Br.",Accepted,,M,WCSP (in review),939053,526347-1,"Hooker's Icon. Pl.","27: t. 2629","","1899"
kew-2819781,A,Lentibulariaceae,,Genlisea,,"hispidula",,"","Stapf",Accepted,,M,WCSP (in review),939054,526348-1,"Fl. Cap.","4(2): 437","","1904"
kew-2819782,A,Lentibulariaceae,,Genlisea,,"hispidula",subsp.,"subglabra","(Stapf) P.Taylor",Accepted,,L,WCSP (in review),939055,,"Kew Bull.","26: 444","","1972"
kew-2819783,A,Lentibulariaceae,,Genlisea,,"lobata",,"","Fromm",Accepted,,M,WCSP (in review),939056,277359-2,"Bradea","5: 152","","1989"
kew-2819785,A,Lentibulariaceae,,Genlisea,,"margaretae",,"","Hutch.",Accepted,,M,WCSP (in review),939058,526352-1,"Botanist S. Afr.","529","","1946"
kew-2819786,A,Lentibulariaceae,,Genlisea,,"minor",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),939059,526353-1,"Voy. Distr. Diam.","2: 430","","1833"
kew-2819788,A,Lentibulariaceae,,Genlisea,,"ornata",,"","Mart. ex Benj.",Accepted,,M,WCSP (in review),939061,526355-1,"Fl. Bras.","10: 252","","1847"
kew-2819790,A,Lentibulariaceae,,Genlisea,,"pallida",,"","Fromm & P.Taylor",Accepted,,M,WCSP (in review),939063,,"Bradea","4: 177","","1985"
kew-2819793,A,Lentibulariaceae,,Genlisea,,"pygmaca",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),939066,,"Voy. Distr. Diam.","2: 431","","1833"
tro-18300016,A,Lentibulariaceae,,Genlisea,,"pygmaea",,"","A. St.-Hil.",Accepted,,M,TRO,18300016,526359-1,"Voy. Distr. Diam.","2: 431","431","1833"
kew-2819795,A,Lentibulariaceae,,Genlisea,,"reflexa",,"","Benj.",Accepted,,M,WCSP (in review),939068,526361-1,"Fl. Bras.","10: 254","","1847"
kew-2819796,A,Lentibulariaceae,,Genlisea,,"repens",,"","Benj.",Accepted,,M,WCSP (in review),939069,526362-1,"Fl. Bras.","10: 253","","1847"
kew-2819797,A,Lentibulariaceae,,Genlisea,,"roraimensis",,"","N.E.Br.",Accepted,,M,WCSP (in review),939070,526363-1,"Trans. Linn. Soc. London, Bot.","6: 56","","1901"
kew-2819798,A,Lentibulariaceae,,Genlisea,,"sanariapoana",,"","Steyerm.",Accepted,,M,WCSP (in review),939071,526364-1,"Fieldiana, Bot.","28: 534","","1953"
kew-2819802,A,Lentibulariaceae,,Genlisea,,"taylorii",,"","Eb.Fisch., Porembski & Barthlott",Accepted,,M,WCSP (in review),939075,1016175-1,"Nordic J. Bot.","20: 311","","2000"
kew-2819803,A,Lentibulariaceae,,Genlisea,,"uncinata",,"","P.Taylor & Fromm",Accepted,,M,WCSP (in review),939076,902093-1,"Bradea","3: 365","","1983"
kew-2819804,A,Lentibulariaceae,,Genlisea,,"violacea",,"","A.St.-Hil.",Accepted,,M,WCSP (in review),939077,526368-1,"Voy. Distr. Diam.","2: 429","","1833"
tro-100353960,A,Lentibulariaceae,,Isoloba,,"elatior",,"","(Michx.) Raf.",Accepted,,M,TRO,100353960,526371-1,"Fl. Tellur.","4: 59","59","1836"
tro-50158203,A,Lentibulariaceae,,Pinguicula,,"acuminata",,"","Benth.",Accepted,,M,TRO,50158203,526401-1,"Pl. Hartw.","71","71","1839"
tro-50092742,A,Lentibulariaceae,,Pinguicula,,"agnata",,"","Casper",Accepted,,M,TRO,50092742,196859-2,"Feddes Repert. Spec. Nov. Regni Veg.","67(1-3): 14","14","1963"
tro-18300002,A,Lentibulariaceae,,Pinguicula,,"bicolor",,"","Wot.",Accepted,,M,TRO,18300002,,"","","",""
tro-50337559,A,Lentibulariaceae,,Pinguicula,,"calderoniae",,"","Zamudio",Accepted,,M,TRO,50337559,77065797-1,"Bol. Soc. Bot. México","68: 85","85","2001"
tro-18300017,A,Lentibulariaceae,,Pinguicula,,"calyptrata",,"","Kunth",Accepted,,M,TRO,18300017,526426-1,"Nov. Gen. Sp. (quarto ed.)","2: 226","226","1817"
tro-18300167,A,Lentibulariaceae,,Pinguicula,,"chilensis",,"","Clos",Accepted,,M,TRO,18300167,526431-1,"Fl. Chil.","4: 365","365","1849"
tro-50158208,A,Lentibulariaceae,,Pinguicula,,"colimensis",,"","McVaugh & Mickel",Accepted,,M,TRO,50158208,196866-2,"Brittonia","15(2): 138, f. 3, 6-7","138","1963"
tro-50229873,A,Lentibulariaceae,,Pinguicula,,"conzattii",,"","Zamudio & van Marm",Accepted,,M,TRO,50229873,326513-2,"Acta Bot. Mex.","62: 16-19, f. 1","16","2003"
tro-50173443,A,Lentibulariaceae,,Pinguicula,,"crassifolia",,"","Zamudio",Accepted,,M,TRO,50173443,282853-2,"Acta Bot. Mex.","3: 21-25, f. 1-2","21","1988"
tro-18300018,A,Lentibulariaceae,,Pinguicula,,"crenatiloba",,"","A. DC.",Accepted,,M,TRO,18300018,526437-1,"Prodr.","8: 30","30","1844"
