ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-312716,A,Liliaceae,,Amana,,"anhuiensis",,"","(X.S.Shen) ined.",Accepted,,H,WCSP,312716,,"Unknown","","",""
kew-298508,A,Liliaceae,,Amana,,"edulis",,"","(Miq.) Honda",Accepted,,H,WCSP,298508,530059-1,"Bull. Biogeogr. Soc. Japan","6: 20","","1935"
kew-312717,A,Liliaceae,,Amana,,"erythronioides",,"","(Baker) D.Y.Tan & D.Y.Hong",Accepted,,H,WCSP,312717,77083767-1,"Bot. J. Linn. Soc.","154: 441","","2007"
kew-345875,A,Liliaceae,,Amana,,"kuocangshanica",,"","D.Y.Tan & D.Y.Hong",Accepted,,H,WCSP,345875,77083766-1,"Bot. J. Linn. Soc.","154: 437","","2007"
kew-301627,A,Liliaceae,,Calochortus,,"albus",,"","(Benth.) Douglas ex Benth.",Accepted,,H,WCSP,301627,42550-2,"Botanist","2: t. 98","","1838"
kew-301629,A,Liliaceae,,Calochortus,,"amabilis",,"","Purdy",Accepted,,H,WCSP,301629,532373-1,"Proc. Calif. Acad. Sci.","III, 2: 119","","1901"
kew-301630,A,Liliaceae,,Calochortus,,"ambiguus",,"","(M.E.Jones) Ownbey",Accepted,,H,WCSP,301630,42554-2,"Ann. Missouri Bot. Gard.","27: 505","","1940"
kew-301631,A,Liliaceae,,Calochortus,,"amoenus",,"","Greene",Accepted,,H,WCSP,301631,42555-2,"Pittonia","2: 71","","1890"
kew-301632,A,Liliaceae,,Calochortus,,"apiculatus",,"","Baker",Accepted,,H,WCSP,301632,532376-1,"J. Linn. Soc., Bot.","14: 305","","1875"
kew-301633,A,Liliaceae,,Calochortus,,"argillosus",,"","(Hoover) Zebzll & Fielder",Accepted,,H,WCSP,301633,,"Madroño","39: 306","","1992"
kew-301634,A,Liliaceae,,Calochortus,,"aureus",,"","S.Watson",Accepted,,H,WCSP,301634,532377-1,"Amer. Naturalist","7: 303","","1873"
kew-301635,A,Liliaceae,,Calochortus,,"balsensis",,"","García-Mend.",Accepted,,H,WCSP,301635,304157-2,"Sida","14: 525","","1991"
kew-301636,A,Liliaceae,,Calochortus,,"barbatus",,"","(Kunth) Painter",Accepted,,H,WCSP,301636,42557-2,"Contr. U. S. Natl. Herb.","13: 348","","1911"
tro-50337191,A,Liliaceae,,Calochortus,,"barbatus",subsp.,"barbatus","",Accepted,,L,TRO,50337191,,"Nov. Stirp. Pug.","","",""
kew-301642,A,Liliaceae,,Calochortus,,"bruneaunis",,"","A.Nelson & J.F.Macbr.",Accepted,,H,WCSP,301642,42560-2,"Bot. Gaz.","55: 372","","1913"
kew-301648,A,Liliaceae,,Calochortus,,"catalinae",,"","S.Watson",Accepted,,H,WCSP,301648,532385-1,"Proc. Amer. Acad. Arts","14: 268","","1879"
kew-301649,A,Liliaceae,,Calochortus,,"cernuus",,"","Painter",Accepted,,H,WCSP,301649,42566-2,"Contr. U. S. Natl. Herb.","13: 347","","1911"
kew-456791,A,Liliaceae,,Calochortus,,"ciscoensis",,"","S.L.Welsh & N.D.Atwood",Accepted,,H,WCSP,456791,77098018-1,"Utah Fl.","ed. 4: 923","","2008"
kew-301652,A,Liliaceae,,Calochortus,,"clavatus",,"","S.Watson",Accepted,,H,WCSP,301652,532389-1,"Proc. Amer. Acad. Arts","14: 265","","1879"
kew-311751,A,Liliaceae,,Calochortus,,"clavatus",var.,"clavatus","",Accepted,,L,WCSP,311751,,"Unknown","","",""
kew-301656,A,Liliaceae,,Calochortus,,"clavatus",var.,"pallidus","(Hoover) P.L.Fiedl. & Zebell",Accepted,,L,WCSP,301656,1082943-2,"Madroño","42: 406","","1995"
kew-301658,A,Liliaceae,,Calochortus,,"clavatus",var.,"recurvifolius","(Hoover) P.L.Fiedl. & Zebell",Accepted,,L,WCSP,301658,1082942-2,"Madroño","42: 406","","1995"
kew-301643,A,Liliaceae,,Calochortus,,"coeruleus",,"","(Kellogg) S.Watson",Accepted,,H,WCSP,301643,,"Proc. Amer. Acad. Arts","14: 263","","1879"
kew-301661,A,Liliaceae,,Calochortus,,"concolor",,"","(Baker) Purdy & L.H.Bailey",Accepted,,H,WCSP,301661,,"Cycl. Amer. Hort.","1: 220","","1900"
kew-301662,A,Liliaceae,,Calochortus,,"coxii",,"","M.R.Godfrey & Callahan",Accepted,,H,WCSP,301662,273909-2,"Phytologia","65: 216","","1988"
kew-301667,A,Liliaceae,,Calochortus,,"dunnii",,"","Purdy",Accepted,,H,WCSP,301667,42580-2,"Proc. Calif. Acad. Sci.","III, 2: 147","","1901"
kew-301668,A,Liliaceae,,Calochortus,,"elegans",,"","Pursh",Accepted,,H,WCSP,301668,317379-2,"Fl. Amer. Sept.","1: 240","","1814"
kew-311752,A,Liliaceae,,Calochortus,,"elegans",var.,"elegans","",Accepted,,L,WCSP,311752,,"Unknown","","",""
kew-301674,A,Liliaceae,,Calochortus,,"elegans",var.,"nanus","Alph.Wood",Accepted,,L,WCSP,301674,42584-2,"Proc. Acad. Nat. Sci. Philadelphia","20: 168","","1868"
kew-301676,A,Liliaceae,,Calochortus,,"elegans",var.,"selwayensis","(H.St.John) Ownbey",Accepted,,L,WCSP,301676,42586-2,"Ann. Missouri Bot. Gard.","27: 419","","1940"
kew-301679,A,Liliaceae,,Calochortus,,"eurycarpus",,"","S.Watson",Accepted,,H,WCSP,301679,532401-1,"Botany [Fortieth Parallel]","348","","1871"
kew-301681,A,Liliaceae,,Calochortus,,"excavatus",,"","Greene",Accepted,,H,WCSP,301681,42590-2,"Pittonia","2: 71","","May 1890"
kew-301682,A,Liliaceae,,Calochortus,,"exilis",,"","Painter",Accepted,,H,WCSP,301682,42591-2,"Contr. U. S. Natl. Herb.","13: 346","","1911"
kew-301683,A,Liliaceae,,Calochortus,,"fimbriatus",,"","H.P.McDonald",Accepted,,H,WCSP,301683,321885-2,"Herbertia","55: 41","","2000 publ. 2001"
kew-301685,A,Liliaceae,,Calochortus,,"flexuosus",,"","S.Watson",Accepted,,H,WCSP,301685,532405-1,"Amer. Naturalist","7: 303","","1873"
kew-301686,A,Liliaceae,,Calochortus,,"foliosus",,"","Ownbey",Accepted,,H,WCSP,301686,42592-2,"Ann. Missouri Bot. Gard.","27: 535","","1940"
kew-301687,A,Liliaceae,,Calochortus,,"fuscus",,"","Schult.f.",Accepted,,H,WCSP,301687,,"Bijdr. Natuurk. Wetensch.","4: 131","","1829"
kew-301689,A,Liliaceae,,Calochortus,,"ghiesbreghtii",,"","S.Watson",Accepted,,H,WCSP,301689,,"Proc. Amer. Acad. Arts","14: 268","","1879"
kew-301692,A,Liliaceae,,Calochortus,,"greenei",,"","S.Watson",Accepted,,H,WCSP,301692,532412-1,"Proc. Amer. Acad. Arts","14: 264","","1879"
kew-301694,A,Liliaceae,,Calochortus,,"gunnisonii",,"","S.Watson",Accepted,,H,WCSP,301694,532413-1,"Botany [Fortieth Parallel]","348","","1871"
kew-311753,A,Liliaceae,,Calochortus,,"gunnisonii",var.,"gunnisonii","",Accepted,,L,WCSP,311753,,"Unknown","","",""
kew-301700,A,Liliaceae,,Calochortus,,"hartwegii",,"","Benth.",Accepted,,H,WCSP,301700,532414-1,"Pl. Hartw.","26","","1840"
kew-301702,A,Liliaceae,,Calochortus,,"howellii",,"","S.Watson",Accepted,,H,WCSP,301702,42602-2,"Proc. Amer. Acad. Arts","23: 266","","1888"
kew-301703,A,Liliaceae,,Calochortus,×,"indecorus",,"","Ownbey & M.Peck",Accepted,,H,WCSP,301703,42603-2,"Leafl. W. Bot.","7: 191","","1954"
kew-301704,A,Liliaceae,,Calochortus,,"invenustus",,"","Greene",Accepted,,H,WCSP,301704,42604-2,"Pittonia","2: 71","","1890"
kew-301706,A,Liliaceae,,Calochortus,,"kennedyi",,"","Porter",Accepted,,H,WCSP,301706,532420-1,"Bot. Gaz.","2: 79","","1877"
kew-301708,A,Liliaceae,,Calochortus,,"leichtlinii",,"","Hook.f.",Accepted,,H,WCSP,301708,532422-1,"Bot. Mag.","96: t. 5862","","1870"
kew-301711,A,Liliaceae,,Calochortus,,"longibarbatus",,"","S.Watson",Accepted,,H,WCSP,301711,,"Proc. Amer. Acad. Arts","17: 381","","1882"
kew-301713,A,Liliaceae,,Calochortus,,"luteus",,"","Douglas ex Lindl.",Accepted,,H,WCSP,301713,532428-1,"Edwards's Bot. Reg.","19: t. 1567","","1833"
kew-301720,A,Liliaceae,,Calochortus,,"lyallii",,"","Baker",Accepted,,H,WCSP,301720,532429-1,"J. Linn. Soc., Bot.","14: 305","","1875"
kew-301722,A,Liliaceae,,Calochortus,,"macrocarpus",,"","Douglas",Accepted,,H,WCSP,301722,532431-1,"Trans. Hort. Soc. London","7: 276","","1828"
kew-311755,A,Liliaceae,,Calochortus,,"macrocarpus",var.,"macrocarpus","",Accepted,,L,WCSP,311755,,"Unknown","","",""
kew-301724,A,Liliaceae,,Calochortus,,"macrocarpus",var.,"maculosus","(A.Nelson & J.F.Macbr.) A.Nelson & J.F.Macbr.",Accepted,,L,WCSP,301724,42621-2,"Contr. Gray Herb.","56: 14","","1918"
kew-301728,A,Liliaceae,,Calochortus,,"marcellae",,"","G.L.Nesom",Accepted,,H,WCSP,301728,42625-2,"Madroño","30: 250","","1983"
kew-330583,A,Liliaceae,,Calochortus,,"mendozae",,"","Espejo, López-Ferr. & Ceja",Accepted,,H,WCSP,330583,60439303-2,"Novon","15: 279","","2005"
kew-301730,A,Liliaceae,,Calochortus,,"minimus",,"","Ownbey",Accepted,,H,WCSP,301730,532436-1,"Ann. Missouri Bot. Gard.","27: 430","","1940"
kew-301731,A,Liliaceae,,Calochortus,,"monanthus",,"","Ownbey",Accepted,,H,WCSP,301731,42629-2,"Ann. Missouri Bot. Gard.","27: 465","","1940"
kew-301732,A,Liliaceae,,Calochortus,,"monophyllus",,"","(Lindl.) Lem.",Accepted,,H,WCSP,301732,532438-1,"Fl. Serres Jard. Paris","5: 430b","","1849"
kew-301735,A,Liliaceae,,Calochortus,,"nigrescens",,"","Ownbey",Accepted,,H,WCSP,301735,42632-2,"Ann. Missouri Bot. Gard.","27: 530","","1940"
kew-301736,A,Liliaceae,,Calochortus,,"nitidus",,"","Douglas",Accepted,,H,WCSP,301736,532445-1,"Trans. Hort. Soc. London","7: 277","","1828"
kew-301740,A,Liliaceae,,Calochortus,,"nudus",,"","S.Watson",Accepted,,H,WCSP,301740,532446-1,"Proc. Amer. Acad. Arts","14: 263","","1879"
kew-301742,A,Liliaceae,,Calochortus,,"nuttallii",,"","Torr.",Accepted,,H,WCSP,301742,,"Exped. Great Salt Lake","397","","1852"
kew-301749,A,Liliaceae,,Calochortus,,"obispoensis",,"","Lemmon",Accepted,,H,WCSP,301749,42641-2,"Bot. Gaz.","11: 180","","1886"
kew-301752,A,Liliaceae,,Calochortus,,"palmeri",,"","S.Watson",Accepted,,H,WCSP,301752,532450-1,"Proc. Amer. Acad. Arts","14: 266","","1879"
kew-311756,A,Liliaceae,,Calochortus,,"palmeri",var.,"palmeri","",Accepted,,L,WCSP,311756,,"Unknown","","",""
kew-301756,A,Liliaceae,,Calochortus,,"panamintensis",,"","(Ownbey) Reveal",Accepted,,H,WCSP,301756,42647-2,"Intermountain Fl. Vasc. Pl. Intermountain West U.S.A.","6: 501","","1977"
kew-301759,A,Liliaceae,,Calochortus,,"persistens",,"","Ownbey",Accepted,,H,WCSP,301759,42649-2,"Ann. Missouri Bot. Gard.","27: 448","","1940"
kew-301760,A,Liliaceae,,Calochortus,,"plummerae",,"","Greene",Accepted,,H,WCSP,301760,42650-2,"Pittonia","2: 70","","1890"
kew-301762,A,Liliaceae,,Calochortus,,"pringlei",,"","B.L.Rob.",Accepted,,H,WCSP,301762,42652-2,"Proc. Amer. Acad. Arts","36: 472","","1901"
kew-301763,A,Liliaceae,,Calochortus,,"pulchellus",,"","(Benth.) Alph.Wood",Accepted,,H,WCSP,301763,,"Proc. Acad. Nat. Sci. Philadelphia","20: 168","","1868"
kew-301768,A,Liliaceae,,Calochortus,,"purpureus",,"","(Kunth) Baker",Accepted,,H,WCSP,301768,532462-1,"J. Linn. Soc., Bot.","14: 308","","1875"
kew-301769,A,Liliaceae,,Calochortus,,"raichei",,"","Farwig & V.Girard",Accepted,,H,WCSP,301769,314326-2,"Herbertia","43: 2","","1987"
kew-301773,A,Liliaceae,,Calochortus,,"simulans",,"","(Hoover) Munz",Accepted,,H,WCSP,301773,42661-2,"Suppl. Calif. Fl.","174","","1968"
kew-301774,A,Liliaceae,,Calochortus,,"spatulatus",,"","S.Watson",Accepted,,H,WCSP,301774,532468-1,"Proc. Amer. Acad. Arts","14: 267","","1879"
kew-301776,A,Liliaceae,,Calochortus,,"splendens",,"","Douglas ex Benth.",Accepted,,H,WCSP,301776,532470-1,"Trans. Hort. Soc. London","II, 1: 411","","1834 publ. 1835"
kew-301778,A,Liliaceae,,Calochortus,,"striatus",,"","Parish",Accepted,,H,WCSP,301778,42667-2,"Bull. S. Calif. Acad. Sci.","1: 112","","1902"
kew-301779,A,Liliaceae,,Calochortus,,"subalpinus",,"","Piper",Accepted,,H,WCSP,301779,42668-2,"Contr. U. S. Natl. Herb.","11: 195","","1906"
kew-301780,A,Liliaceae,,Calochortus,,"superbus",,"","Purdy ex Howell",Accepted,,H,WCSP,301780,42669-2,"Leafl. W. Bot.","1: 11","","1932"
kew-301782,A,Liliaceae,,Calochortus,,"syntrophus",,"","Callahan",Accepted,,H,WCSP,301782,314340-2,"Herbertia","49: 20","","1993 publ. 1994"
kew-301783,A,Liliaceae,,Calochortus,,"tiburonensis",,"","A.J.Hill",Accepted,,H,WCSP,301783,42671-2,"Madroño","22: 100","","1973"
kew-301784,A,Liliaceae,,Calochortus,,"tolmiei",,"","Hook. & Arn.",Accepted,,H,WCSP,301784,532475-1,"Bot. Beechey Voy.","398","","1840"
kew-301785,A,Liliaceae,,Calochortus,,"umbellatus",,"","Alph.Wood",Accepted,,H,WCSP,301785,532476-1,"Proc. Acad. Nat. Sci. Philadelphia","1868: 168","","1868"
kew-301787,A,Liliaceae,,Calochortus,,"umpquaensis",,"","Fredricks",Accepted,,H,WCSP,301787,273910-2,"Syst. Bot.","14: 12","","1989"
kew-301788,A,Liliaceae,,Calochortus,,"uniflorus",,"","Hook. & Arn.",Accepted,,H,WCSP,301788,532479-1,"Bot. Beechey Voy.","398","","1840"
kew-301790,A,Liliaceae,,Calochortus,,"venustulus",,"","Greene",Accepted,,H,WCSP,301790,42673-2,"Pittonia","1: 158","","1888"
kew-311757,A,Liliaceae,,Calochortus,,"venustulus",var.,"venustulus","",Accepted,,L,WCSP,311757,,"Unknown","","",""
kew-301793,A,Liliaceae,,Calochortus,,"venustus",,"","Douglas ex Benth.",Accepted,,H,WCSP,301793,532481-1,"Trans. Hort. Soc. London","II, 1: 412","","1834 publ. 1835"
kew-301804,A,Liliaceae,,Calochortus,,"vestae",,"","(Purdy) Wallace",Accepted,,H,WCSP,301804,,"Gard. Chron.","III, 18: 14","","1895"
kew-301807,A,Liliaceae,,Calochortus,,"weedii",,"","Alph.Wood",Accepted,,H,WCSP,301807,532485-1,"Proc. Acad. Nat. Sci. Philadelphia","1868: 169","","1868"
kew-311758,A,Liliaceae,,Calochortus,,"weedii",var.,"weedii","",Accepted,,L,WCSP,311758,,"Unknown","","",""
kew-301812,A,Liliaceae,,Calochortus,,"westonii",,"","Eastw.",Accepted,,H,WCSP,301812,42694-2,"Proc. Calif. Acad. Sci.","IV, 20: 136","","1931"
kew-301917,A,Liliaceae,,Cardiocrinum,,"cathayanum",,"","(E.H.Wilson) Stearn",Accepted,,H,WCSP,301917,532547-1,"Gard. Chron.","III, 124: 4","","1948"
kew-301918,A,Liliaceae,,Cardiocrinum,,"cordatum",,"","(Thunb.) Makino",Accepted,,H,WCSP,301918,532548-1,"Bot. Mag. (Tokyo)","27: 124","","1913"
kew-301920,A,Liliaceae,,Cardiocrinum,,"giganteum",,"","(Wall.) Makino",Accepted,,H,WCSP,301920,532549-1,"Bot. Mag. (Tokyo)","27: 125","","1913"
kew-311759,A,Liliaceae,,Cardiocrinum,,"giganteum",var.,"giganteum","",Accepted,,L,WCSP,311759,,"Unknown","","",""
kew-301921,A,Liliaceae,,Cardiocrinum,,"giganteum",var.,"yunnanense","(Leichtlin ex Elwes) Stearn",Accepted,,L,WCSP,301921,,"Gard. Chron.","III, 124: 4","","1948"
kew-305737,A,Liliaceae,,Erythronium,,"albidum",,"","Nutt.",Accepted,,H,WCSP,305737,534904-1,"Gen. N. Amer. Pl.","1: 223","","1818"
kew-305739,A,Liliaceae,,Erythronium,,"americanum",,"","Ker Gawl.",Accepted,,H,WCSP,305739,276827-2,"Bot. Mag.","28: t. 1113","","1808"
kew-311761,A,Liliaceae,,Erythronium,,"americanum",subsp.,"americanum","",Accepted,,L,WCSP,311761,,"Unknown","","",""
kew-305740,A,Liliaceae,,Erythronium,,"americanum",subsp.,"harperi","(W.Wolf) C.R.Parks & Hardin",Accepted,,L,WCSP,305740,96808-2,"Brittonia","15: 252","","1963"
kew-305748,A,Liliaceae,,Erythronium,,"californicum",,"","Purdy",Accepted,,H,WCSP,305748,96812-2,"Fl. & Sylva","2: 253","","1904"
kew-305752,A,Liliaceae,,Erythronium,,"caucasicum",,"","Woronow",Accepted,,H,WCSP,305752,534918-1,"Trudy Bot. Inst. Akad. Nauk S.S.S.R., Ser. 1, Fl. Sist. Vyssh. Rast.","1: 214","","1933"
kew-305753,A,Liliaceae,,Erythronium,,"citrinum",,"","S.Watson",Accepted,,H,WCSP,305753,96815-2,"Proc. Amer. Acad. Arts","22: 480","","1887"
kew-305755,A,Liliaceae,,Erythronium,,"dens-canis",,"","L.",Accepted,,H,WCSP,305755,534921-1,"Sp. Pl.","305","","1753"
kew-305760,A,Liliaceae,,Erythronium,,"elegans",,"","P.C.Hammond & K.L.Chambers",Accepted,,H,WCSP,305760,276828-2,"Madroño","32: 49","","1985"
kew-305765,A,Liliaceae,,Erythronium,,"grandiflorum",,"","Pursh",Accepted,,H,WCSP,305765,296483-2,"Fl. Amer. Sept.","1: 231","","1813"
tro-50200910,A,Liliaceae,,Erythronium,,"grandiflorum",subsp.,"grandiflorum","",Accepted,,L,TRO,50200910,,"","","",""
kew-305773,A,Liliaceae,,Erythronium,,"helenae",,"","Applegate",Accepted,,H,WCSP,305773,96835-2,"Contr. Dudley Herb.","1: 188","","1933"
kew-305774,A,Liliaceae,,Erythronium,,"hendersonii",,"","S.Watson",Accepted,,H,WCSP,305774,96836-2,"Proc. Amer. Acad. Arts","22: 479","","1887"
kew-305775,A,Liliaceae,,Erythronium,,"howellii",,"","S.Watson",Accepted,,H,WCSP,305775,96837-2,"Proc. Amer. Acad. Arts","22: 480","","1887"
kew-305777,A,Liliaceae,,Erythronium,,"idahoense",,"","H.St.John & G.N.Jones",Accepted,,H,WCSP,305777,96838-2,"Res. Stud. State Coll. Wash.","1: 91","","1929"
kew-305780,A,Liliaceae,,Erythronium,,"japonicum",,"","Decne.",Accepted,,H,WCSP,305780,534936-1,"Rev. Hort.","IV, 3: 284","","1854"
kew-305783,A,Liliaceae,,Erythronium,,"klamathense",,"","Applegate",Accepted,,H,WCSP,305783,96841-2,"Contr. Dudley Herb.","1: 151","","1930"
kew-305791,A,Liliaceae,,Erythronium,,"mesochoreum",,"","Knerr",Accepted,,H,WCSP,305791,96843-2,"Midl. Coll. Monthly","2: 5","","1891"
kew-305792,A,Liliaceae,,Erythronium,,"montanum",,"","S.Watson",Accepted,,H,WCSP,305792,96844-2,"Proc. Amer. Acad. Arts","26: 130","","1891"
kew-305793,A,Liliaceae,,Erythronium,,"multiscapideum",,"","(Kellogg) A.Nelson & P.B.Kenn.",Accepted,,H,WCSP,305793,96845-2,"Muhlenbergia","3: 137","","1908"
kew-305798,A,Liliaceae,,Erythronium,,"oregonum",,"","Applegate",Accepted,,H,WCSP,305798,96849-2,"Madroño","3: 99","","1935"
kew-305803,A,Liliaceae,,Erythronium,,"pluriflorum",,"","Shevock, Bartel & G.A.Allen",Accepted,,H,WCSP,305803,276830-2,"Madroño","37: 268","","1990 publ. 1991"
kew-305804,A,Liliaceae,,Erythronium,,"propullans",,"","A.Gray",Accepted,,H,WCSP,305804,534959-1,"Amer. Naturalist","5: 300","","1871"
kew-305805,A,Liliaceae,,Erythronium,,"purpurascens",,"","S.Watson",Accepted,,H,WCSP,305805,534960-1,"Proc. Amer. Acad. Arts","12: 277","","1877"
